contest_name,choice,votes
Adams County Commissioner - District 1 - DEM,Eva Henry,53059
Adams County Commissioner - District 1 - REP,"Alexander ""Skinny"" Winkler",29417
Adams County Commissioner - District 2 - DEM,"Charles ""Chaz"" Tedesco",52605
Adams County Commissioner - District 5 - DEM,Lynn Baca,53039
Adams County Commissioner - District 5 - REP,Phil Covarrubias,29379
Alamosa County Clerk and Recorder - DEM,Nicole Jaramillo,1538
Alamosa County Clerk and Recorder - DEM,Mario A. Linares,864
Alamosa County Clerk and Recorder - REP,Jaclyn (Gabbel) Hurst,1692
Alamosa County Commissioner - District 1 - DEM,Trudi Kretsinger,1988
Alamosa County Commissioner - District 1 - REP,Lori Laske,1050
Alamosa County Commissioner - District 1 - REP,Rusty Johnson,924
Alamosa County Commissioner - District 3 - DEM,Jan Vigil,1426
Alamosa County Commissioner - District 3 - DEM,Helen Sigmond,1035
Alamosa County Commissioner - District 3 - REP,Vern Heersink,1755
Arapahoe County Commissioner - District 1 - DEM,Carrie Warren-Gully,23157
Arapahoe County Commissioner - District 1 - REP,Kathleen Conti,11644
Arapahoe County Commissioner - District 3 - DEM,Idris Keith,20772
Arapahoe County Commissioner - District 3 - REP,Jeff Baker,13248
Arapahoe County Commissioner - District 5 - DEM,Bill Holen,13531
Arapahoe County Commissioner - District 5 - REP,Jim Parker,4133
Archuleta County Commissioner District 1 - REP,Warren M. Brown,1631
Archuleta County Commissioner District 1 - REP,June E. Marquez,595
Archuleta County Commissioner District 1 - REP,Nate Berman,469
Archuleta County Commissioner District 2 - REP,Ronnie Maez,2228
Baca County Commissioner 1 - REP,"Glen R ""Spike"" Ausmus",637
Baca County Commissioner 1 - REP,Mark A. Miranda,440
Baca County Commissioner 3 - REP,Rick Butler,717
Baca County Commissioner 3 - REP,Kirk D Guder,350
Bent County Commissioner-District 1 - REP,Kim MacDonnell,584
Bent County Commissioner-District 3 - REP,Jean Sykes,597
Chaffee County Commissioner - District 1 - DEM,Keith Baker,3833
Chaffee County Commissioner - District 1 - REP,Hannah Hannah,2630
Cheyenne County Commissioner - District 1 - REP,R. J. Jolly,539
Cheyenne County Commissioner - District 3 - REP,Darin C. Dickey,355
Clear Creek County Commissioner - District 2 - REP,Sean C. Wood,988
Clear Creek County Commissioner - District 3 - DEM,Randy Wheelock,1723
Clear Creek County Commissioner - District 3 - REP,Mike Spies,943
Conejos County Commissioner District 1 - DEM,Placido Erwin Romero,1037
Conejos County Commissioner District 1 - DEM,Rick Espinoza ,448
Conejos County Commissioner District 1 - REP,Carlos Garcia,1083
Conejos County Commissioner District 3 - DEM,Joseph Baroz ,1370
Conejos County Commissioner District 3 - REP,Dwight L. Larson,678
Conejos County Commissioner District 3 - REP,Lucas Moroni Larson,542
