name,filename,type,approx_count,size,status,timestamp,computed_hash,submitted_hash
Costilla,Ballot Manifest template.csv,manifest,60,1166,HASH_MISMATCH,2020-07-09 09:35:02.448,396D391535ADEED9DD3AA2874D2C4AF4D8B6FC5D2DCFD3F679BEB4224BBCBBE5,3D172744F33133B29FDE660D3D725EDAF06D2E4238A2C10EFAFE40D53E962256
Costilla,Ballot Manifest template.csv,manifest,60,1461,HASH_MISMATCH,2020-07-09 09:39:30.606,5D0734C4B2CCBEBE1DC3BABCEEF0E836D23D47006D3EE47FBE66F5264E85D687,3D172744F33133B29FDE660D3D725EDAF06D2E4238A2C10EFAFE40D53E962256
Hinsdale,2020 Primary Hinsdale Ballot Manifest.csv,manifest,17,390,HASH_MISMATCH,2020-07-09 09:40:20.783,CC5A86419A170BC037F0789EBB07E7A8252F1A436124B8826E730BFF30885FEF,A6ADA5E22B9064CBE469B3EC2A204DEB40C6343EAE88712806E483EA1B115CF7
Teller,Teller Primary 2020.csv,manifest,351,6594,HASH_MISMATCH,2020-07-09 11:24:00.974,96A872ED775B01D4792830FB1A526760DD3364C6658E50F8E515209A489D722E,85688B6F9686259ADA6FC9A527F860255CDF4E187F44D918DD1DF0C86A3ECF67
Teller,Teller Primary 2020.csv,manifest,351,6594,HASH_MISMATCH,2020-07-09 11:26:11.958,96A872ED775B01D4792830FB1A526760DD3364C6658E50F8E515209A489D722E,85688B6F9686259ADA6FC9A527F860255CDF4E187F44D918DD1DF0C86A3ECF67
Teller,Teller Primary 2020.csv,manifest,351,6594,HASH_MISMATCH,2020-07-09 11:27:54.587,96A872ED775B01D4792830FB1A526760DD3364C6658E50F8E515209A489D722E,85688B6F9686259ADA6FC9A527F860255CDF4E187F44D918DD1DF0C86A3ECF67
Yuma,Modified_Primary_CVR.csv,manifest,2755,173134,HASH_MISMATCH,2020-07-09 11:33:51.934,AD80852DEB97A8F142359646698DEE5AB7AE40908BAC53D6A382D1724B015D1E,AD80852DEB97A8F142359646698DEE5AB7AE40908BAC53D6A382D1724B015D1
Yuma,Ballot Manifest 2020 State Primary.csv,manifest,113,1848,HASH_MISMATCH,2020-07-09 11:34:35.02,42E48AABD3BEC4A83B12843946010621C339B05A1654B36EF6420A4AACD542B5,AD80852DEB97A8F142359646698DEE5AB7AE40908BAC53D6A382D1724B015D1
Yuma,Modified_Primary_CVR.csv,manifest,2755,173134,HASH_MISMATCH,2020-07-09 11:35:01.31,AD80852DEB97A8F142359646698DEE5AB7AE40908BAC53D6A382D1724B015D1E,AD80852DEB97A8F142359646698DEE5AB7AE40908BAC53D6A382D1724B015D1
Las Animas,June032020PrimaryBallotManifest.xlsx,manifest,93,13325,HASH_MISMATCH,2020-07-09 12:11:47.912,D0267F35B651BC9FBBBEC13AB98F829622D6BFC0BC29595B071A072F15DA2016,57AD9A0BD7B912DB0779A8AEE78DB6C57A94F3D66C5E067D68E8F605041B8681
Hinsdale,2020 Primary Hinsdale Ballot Manifest.csv,manifest,17,390,HASH_MISMATCH,2020-07-09 12:25:21.107,CC5A86419A170BC037F0789EBB07E7A8252F1A436124B8826E730BFF30885FEF,A6ADA5E22B9064CBE469B3EC2A204DEB40C6343EAE88712806E483EA1B115CF7
La Plata,LaPlata_BallotManifest.csv,manifest,336,10664,HASH_MISMATCH,2020-07-09 14:25:36.477,D2DE673122990BEEED41C388F9B0A7218CFC314789297DB7004C1D4829F62BC4,F1C6F8F525E687F5C268A1523BCA999B7272EA30FEED39C571D75A4545FCA9E7
La Plata,LaPlata_BallotManifest.csv,manifest,336,10664,HASH_MISMATCH,2020-07-09 14:26:18.289,D2DE673122990BEEED41C388F9B0A7218CFC314789297DB7004C1D4829F62BC4,F1C6F8F525E687F5C268A1523BCA999B7272EA30FEED39C571D75A4545FCA9E7
La Plata,Modified_CVR_Export_20200709135950.csv,manifest,16635,1096827,HASH_MISMATCH,2020-07-09 14:26:49.405,1FF83851D80A15631BFAF344CAFC98D3547EA560013182E60206FC50FB7A4962,3B47618E226D2A7D509854FED55D155D3CB929D894710E187A4F16F66D7C3651
Ouray,CVR_Export_20200709144539.csv,manifest,2615,304387,HASH_MISMATCH,2020-07-09 15:28:43.791,3EC2AD311FF06229758AA900888C91116C61821493D65B5BF81A2F0F1EE0EBEE,6F87DEEDC2887C369CC1138FFAC81415D25342CD08F4EB33591EB242102AE9FB
Adams,Adams_CVR_Export_20200709150034.csv,manifest,100676,9047725,HASH_MISMATCH,2020-07-09 16:12:50.966,449ABFFBA7A6DD8186762A62EDA5CFF954587791FE009224B5B27959182CC0D2,26670A55B4E7CA131C61C618476011DDC27DD6B1D8EB063D2D62A7829751B626
Lake,Ballot Manifest.csv,manifest,236,6092,HASH_VERIFIED,2020-07-09 10:57:07.399,B2C85CE7AC8DE230CDF8294510480DB67F7825D13D2A5CB608F1FCF057D2121D,B2C85CE7AC8DE230CDF8294510480DB67F7825D13D2A5CB608F1FCF057D2121D
Lake,Lake Ballot Manifest.csv,manifest,236,6092,HASH_VERIFIED,2020-07-09 10:57:43.131,B2C85CE7AC8DE230CDF8294510480DB67F7825D13D2A5CB608F1FCF057D2121D,B2C85CE7AC8DE230CDF8294510480DB67F7825D13D2A5CB608F1FCF057D2121D
Garfield,June Primary.csv,manifest,336,9038,HASH_VERIFIED,2020-07-09 11:41:29.553,F173DBA1CF65E79DA532A591A7DD12614B48FF025CD07D5A3F1C305915D94508,F173DBA1CF65E79DA532A591A7DD12614B48FF025CD07D5A3F1C305915D94508
Garfield,June Primary.csv,manifest,336,9038,HASH_VERIFIED,2020-07-09 11:42:30.414,F173DBA1CF65E79DA532A591A7DD12614B48FF025CD07D5A3F1C305915D94508,F173DBA1CF65E79DA532A591A7DD12614B48FF025CD07D5A3F1C305915D94508
Garfield,June Primary.csv,manifest,336,9038,HASH_VERIFIED,2020-07-09 11:43:30.038,F173DBA1CF65E79DA532A591A7DD12614B48FF025CD07D5A3F1C305915D94508,F173DBA1CF65E79DA532A591A7DD12614B48FF025CD07D5A3F1C305915D94508
Garfield,June Primary.csv,manifest,336,9038,HASH_VERIFIED,2020-07-09 11:45:06.189,F173DBA1CF65E79DA532A591A7DD12614B48FF025CD07D5A3F1C305915D94508,F173DBA1CF65E79DA532A591A7DD12614B48FF025CD07D5A3F1C305915D94508
Custer,Ballot Manifest_Master_2020 June Primary.csv,manifest,95,2118,HASH_VERIFIED,2020-07-09 11:59:19.715,A3DD5A94B58B45D478617F4A3649C40CD00C8B0FFD3EE3BDB527D8DE92054B78,A3DD5A94B58B45D478617F4A3649C40CD00C8B0FFD3EE3BDB527D8DE92054B78
Custer,Ballot Manifest_Master_2020 June Primary.csv,manifest,95,2118,HASH_VERIFIED,2020-07-09 12:01:27.57,A3DD5A94B58B45D478617F4A3649C40CD00C8B0FFD3EE3BDB527D8DE92054B78,A3DD5A94B58B45D478617F4A3649C40CD00C8B0FFD3EE3BDB527D8DE92054B78
Custer,Ballot Manifest_Master_2020 June Primary.csv,manifest,95,2118,HASH_VERIFIED,2020-07-09 12:04:53.256,A3DD5A94B58B45D478617F4A3649C40CD00C8B0FFD3EE3BDB527D8DE92054B78,A3DD5A94B58B45D478617F4A3649C40CD00C8B0FFD3EE3BDB527D8DE92054B78
Custer,Ballot Manifest_Master_2020 June Primary.csv,manifest,95,2118,HASH_VERIFIED,2020-07-09 12:09:07.048,A3DD5A94B58B45D478617F4A3649C40CD00C8B0FFD3EE3BDB527D8DE92054B78,A3DD5A94B58B45D478617F4A3649C40CD00C8B0FFD3EE3BDB527D8DE92054B78
Custer,Ballot Manifest_Master_2020 June Primary.csv,manifest,95,2118,HASH_VERIFIED,2020-07-09 12:18:23.896,A3DD5A94B58B45D478617F4A3649C40CD00C8B0FFD3EE3BDB527D8DE92054B78,A3DD5A94B58B45D478617F4A3649C40CD00C8B0FFD3EE3BDB527D8DE92054B78
Routt,Ballot Manifest.xlsx,manifest,114,15510,HASH_VERIFIED,2020-07-09 12:18:28.425,DE84D1D94B6F9221905DB489846BAACC2799A1A4026A83C8CC638FAA1A9D5963,DE84D1D94B6F9221905DB489846BAACC2799A1A4026A83C8CC638FAA1A9D5963
Custer,Ballot Manifest_Master_2020 June Primary.csv,manifest,95,2118,HASH_VERIFIED,2020-07-09 12:31:28.722,A3DD5A94B58B45D478617F4A3649C40CD00C8B0FFD3EE3BDB527D8DE92054B78,A3DD5A94B58B45D478617F4A3649C40CD00C8B0FFD3EE3BDB527D8DE92054B78
Morgan,Ballot Manifest.csv,manifest,1048576,6297073,HASH_VERIFIED,2020-07-09 13:17:33.278,18D396A53D3A29B94BAFD46726D9146DC4B87A07ED15349CD9EBB46A9F63A8BD,18D396A53D3A29B94BAFD46726D9146DC4B87A07ED15349CD9EBB46A9F63A8BD
Morgan,Ballot Manifest.csv,manifest,1048576,6297073,HASH_VERIFIED,2020-07-09 13:22:14.652,18D396A53D3A29B94BAFD46726D9146DC4B87A07ED15349CD9EBB46A9F63A8BD,18D396A53D3A29B94BAFD46726D9146DC4B87A07ED15349CD9EBB46A9F63A8BD
Morgan,Ballot Manifest.csv,manifest,1048576,6297073,HASH_VERIFIED,2020-07-09 13:26:37.18,18D396A53D3A29B94BAFD46726D9146DC4B87A07ED15349CD9EBB46A9F63A8BD,18D396A53D3A29B94BAFD46726D9146DC4B87A07ED15349CD9EBB46A9F63A8BD
Morgan,Ballot Manifest.csv,manifest,1048576,6297073,HASH_VERIFIED,2020-07-09 13:27:36.609,18D396A53D3A29B94BAFD46726D9146DC4B87A07ED15349CD9EBB46A9F63A8BD,18D396A53D3A29B94BAFD46726D9146DC4B87A07ED15349CD9EBB46A9F63A8BD
Gunnison,BallotManifestTemplate.csv.xlsx,manifest,76,14798,HASH_VERIFIED,2020-07-09 14:05:00.035,E1141D6745274F74EE9A45B9F552F5DAAC8EA12313D5E78F10A2CFFB74CB75F4,E1141D6745274F74EE9A45B9F552F5DAAC8EA12313D5E78F10A2CFFB74CB75F4
Gunnison,BallotManifestTemplate.xlsx,manifest,76,14776,HASH_VERIFIED,2020-07-09 14:09:42.047,476DD50D98B2CD6EA0A0A28054932AF9AB4B9DF9DEFAA1B2BE436C60FC4E540F,476DD50D98B2CD6EA0A0A28054932AF9AB4B9DF9DEFAA1B2BE436C60FC4E540F
