county_name,contest_name,choice,votes
Adams,United States Senator - DEM,John W. Hickenlooper,39364
Adams,United States Senator - DEM,Andrew Romanoff,27254
Adams,Representative to the 117th United States Congress-District 4 - DEM,Ike McCorkle,519
Adams,Representative to the 117th United States Congress-District 6 - DEM,Jason Crow,13580
Adams,Representative to the 117th United States Congress-District 7 - DEM,Ed Perlmutter,41922
Adams,State Board of Education Member - Congressional District 7 - DEM,Karla Esser,39933
Adams,Regent of the University of Colorado - Congressional District 6 - DEM,Ilana Spiegel,12743
Adams,Regent of the University of Colorado - Congressional District 7 - DEM,Nolbert Chavez,40035
Adams,State Senator - District 21 - DEM,Dominick Moreno,16154
Adams,State Senator - District 25 - DEM,Paula Dickerson,15477
Adams,State Representative - District 30 - DEM,Dafna Michaelson Jenet,8892
Adams,State Representative - District 31 - DEM,Yadira Caraveo,9677
Adams,State Representative - District 32 - DEM,Adrienne Benavidez,7782
Adams,State Representative - District 34 - DEM,Kyle Mullica,8667
Adams,State Representative - District 35 - DEM,Shannon Bird,12011
Adams,State Representative - District 56 - DEM,Giugi Carminati,6295
Adams,District Attorney - 17th Judicial District - DEM,Brian Mason,52714
Adams,Adams County Commissioner - District 1 - DEM,Eva Henry,53059
Adams,Adams County Commissioner - District 2 - DEM,"Charles ""Chaz"" Tedesco",52605
Adams,Adams County Commissioner - District 5 - DEM,Lynn Baca,53039
Adams,United States Senator - LBR,Raymon Anthony Doane,306
Adams,United States Senator - LBR,Gaylon Kent,189
Adams,United States Senator - REP,Cory Gardner,31981
Adams,Representative to the 117th United States Congress-District 4 - REP,Ken Buck,1358
Adams,Representative to the 117th United States Congress-District 6 - REP,Steve House,9064
Adams,Representative to the 117th United States Congress-District 7 - REP,"Charles ""Casper"" Stockham",17977
Adams,State Board of Education Member - Congressional District 7 - REP,Nancy Pallozzi,17749
Adams,Regent of the University of Colorado - Congressional District 6 - REP - Adams County,Richard Murray,5919
Adams,Regent of the University of Colorado - Congressional District 6 - REP - Adams County,Priscilla Rahn,3541
Adams,State Senator - District 21 - REP,Martín Mendez,6320
Adams,State Senator - District 25 - REP,Kevin Priola,11135
Adams,State Representative - District 30 - REP,Kerrie Gutierrez,2643
Adams,State Representative - District 30 - REP,Cynthia M. Sarmiento,2321
Adams,State Representative - District 31 - REP,David Elliott,5154
Adams,State Representative - District 32 - REP,Tony Caputo,2573
Adams,State Representative - District 34 - REP,Mark Bromley,2805
Adams,State Representative - District 34 - REP,Audrey Herman,2061
Adams,State Representative - District 35 - REP,Roger Lehman,5260
Adams,State Representative - District 56 - REP,Rod Bockenfeld,7062
Adams,District Attorney - 17th Judicial District - REP,Tim McCormack,29758
Adams,Adams County Commissioner - District 1 - REP,"Alexander ""Skinny"" Winkler",29417
Adams,Adams County Commissioner - District 5 - REP,Phil Covarrubias,29379
Alamosa,United States Senator - DEM,John W. Hickenlooper,1535
Alamosa,United States Senator - DEM,Andrew Romanoff,927
Alamosa,Representative to the 117th United States Congress-District 3 - DEM,James Iacino,1236
Alamosa,Representative to the 117th United States Congress-District 3 - DEM,Diane E. Mitsch Bush,1133
Alamosa,State Board of Education Member - Congressional District 3 - DEM,Mayling Simpson,1934
Alamosa,State Senator - District 35 - DEM,Carlos R. Lopez,2025
Alamosa,State Representative - District 62 - DEM,Donald E. Valdez,1572
Alamosa,State Representative - District 62 - DEM,Matthew Martinez,876
Alamosa,District Attorney - 12th Judicial District - DEM,Alonzo Christopher Payne,1257
Alamosa,District Attorney - 12th Judicial District - DEM,Robert S. Willett,1103
Alamosa,Alamosa County Commissioner - District 1 - DEM,Trudi Kretsinger,1988
Alamosa,Alamosa County Commissioner - District 3 - DEM,Jan Vigil,1426
Alamosa,Alamosa County Commissioner - District 3 - DEM,Helen Sigmond,1035
Alamosa,Alamosa County Clerk and Recorder - DEM,Nicole Jaramillo,1538
Alamosa,Alamosa County Clerk and Recorder - DEM,Mario A. Linares,864
Alamosa,United States Senator - LBR,Gaylon Kent,5
Alamosa,United States Senator - LBR,Raymon Anthony Doane,2
Alamosa,United States Senator - REP,Cory Gardner,1778
Alamosa,Representative to the 117th United States Congress-District 3 - REP,Scott R. Tipton,1071
Alamosa,Representative to the 117th United States Congress-District 3 - REP,Lauren Boebert,847
Alamosa,State Board of Education Member - Congressional District 3 - REP,Joyce Rankin,1592
Alamosa,State Senator - District 35 - REP,Cleave Simpson,1793
Alamosa,State Representative - District 62 - REP,Logan Taggart,1160
Alamosa,State Representative - District 62 - REP,Steven Rodriguez,569
Alamosa,Alamosa County Commissioner - District 1 - REP,Lori Laske,1050
Alamosa,Alamosa County Commissioner - District 1 - REP,Rusty Johnson,924
Alamosa,Alamosa County Commissioner - District 3 - REP,Vern Heersink,1755
Alamosa,Alamosa County Clerk and Recorder - REP,Jaclyn (Gabbel) Hurst,1692
Arapahoe,United States Senator - DEM,John W. Hickenlooper,69876
Arapahoe,United States Senator - DEM,Andrew Romanoff,47251
Arapahoe,Representative to the 117th United States Congress-District 1 - DEM,Diana DeGette,10475
Arapahoe,Representative to the 117th United States Congress-District 4 - DEM,Ike McCorkle,548
Arapahoe,Representative to the 117th United States Congress-District 6 - DEM,Jason Crow,92864
Arapahoe,State Board of Education Member - Congressional District 1 - DEM,Lisa Escárcega,7398
Arapahoe,State Board of Education Member - Congressional District 1 - DEM,Donna Morganstern,3098
