County,Tabulator ID,Batch,# of Ballot Cards,Location,Date,,,,
Mesa,1,1,75,Storage,6/12/2018,,,,
Mesa,1,2,78,Storage,6/12/2018,,,,
Mesa,1,3,100,Storage,6/12/2018,,,,
Mesa,1,4,100,Storage,6/12/2018,,,,
Mesa,1,5,100,Storage,6/12/2018,,,,
Mesa,1,6,100,Storage,6/12/2018,,,,
Mesa,1,7,100,Storage,6/12/2018,,,,
Mesa,1,8,100,Storage,6/12/2018,,,,
Mesa,1,9,46,Storage,6/12/2018,,,,
Mesa,1,10,100,Storage,6/12/2018,,,,
Mesa,1,11,74,Storage,6/12/2018,,,,
Mesa,1,12,100,Storage,6/12/2018,,,,
Mesa,1,13,89,Storage,6/12/2018,,,,
Mesa,1,14,100,Storage,6/12/2018,,,,
Mesa,1,15,100,Storage,6/12/2018,,,,
Mesa,1,16,100,Storage,6/12/2018,,,,
Mesa,1,17,77,Storage,6/12/2018,,,,
Mesa,1,18,100,Storage,6/12/2018,,,,
Mesa,1,19,18,Storage,6/12/2018,,,,
Mesa,1,20,10,Storage,6/12/2018,,,,
Mesa,1,21,15,Storage,6/12/2018,,,,
Mesa,1,22,24,Storage,6/12/2018,,,,
Mesa,1,23,100,Storage,6/12/2018,,,,
Mesa,1,24,94,Storage,6/12/2018,,,,
Mesa,1,25,100,Storage,6/12/2018,,,,
Mesa,1,26,99,Storage,6/12/2018,,,,
Mesa,1,27,99,Storage,6/12/2018,,,,
Mesa,1,28,32,Storage,6/12/2018,,,,
Mesa,1,29,22,Storage,6/12/2018,,,,
Mesa,1,30,100,Storage,6/12/2018,,,,
Mesa,1,31,89,Storage,6/12/2018,,,,
Mesa,1,32,100,Storage,6/12/2018,,,,
Mesa,1,33,41,Storage,6/12/2018,,,,
Mesa,1,34,49,Storage,6/12/2018,,,,
Mesa,1,35,100,Storage,6/12/2018,,,,
Mesa,1,36,98,Storage,6/12/2018,,,,
Mesa,1,37,98,Storage,6/12/2018,,,,
Mesa,1,38,98,Storage,6/12/2018,,,,
Mesa,1,39,99,Storage,6/12/2018,,,,
