county_name,cvr_export_hash
Adams,DF7E13A7DCE2226C52959D0AAFEA62630D42C29EB958CAB0E3D3A2107CF924B2
Alamosa,5891F04D0C950F750BFB7F29C1539572BA0F38B117E6F75C0C133B0F71EA2A3A
Arapahoe,427D4102ACC5661D04B5D1CDACDB9AD0D9C9D20A652B2BB49FD599113BE16FD0
Archuleta,889939A1814D66FC81FA59888366E192F08B94C0D68CD2A1FCDD33A5B5734BFF
Baca,B6DBD0FBF48DF1AFD13DE80EA2ECA7DD9DE525DF7DD5FB2C6A7A3AD2A49D5E83
Bent,EAF26C1B5D5C70EE81AFBFCA71F3DF5BD8897063A27755A4D33638945E2088D0
Boulder,D7BC2902D373C107487238010CDDDEACEE0FE6E7A2E5F2D7895B5B524F0DDDAA
Broomfield,FDBD496710EA9C500A922C45107EF1DD982A5873C3F34671279D94E0E6A21075
Chaffee,2F6C0BF1636139DC82A6E31C22D347A1444F817ABC95884034E426492995BDFC
Cheyenne,34CCB46D5E0C309D23CD0FB688A5B5EB3BD8769B70BF1C9F9C3BF7936806B2BF
Clear Creek,D826E06F6A13532ED84081B990B23265328B0F1212880D26EA6BD3F0B7762E1C
Conejos,D2825BFBC6ED1BCBEC5EC2082790CCC1A485C52FB7E9B6713FA11859485D26E6
Costilla,9F349BBB9493E4E88A22F25D786C2BFF0F12F89FF2AA69A2A00D3B4A1DF1C7F5
Crowley,4C2FF110BE54320FCC0D7F8C8861D293C80F1B4DB9F9E3078EE42489D8779A33
Custer,B6103EA8C789C3FD0B77113189944E1D7EFBA5F56C6EA9663E892B93ADEDF148
Delta,376D56AE2EC1959C1DB414EB3B34C49573E58FCE99F7EEAC0264FE3A9EDA305B
Denver,205C05403FD0C18611E973A3C802EE2EED916E7A26D53943D7BCCCA3A0732BB1
Dolores,3848A7EF1F64B7C24AEECA1AA4ABE3D3A8E6C2898A518C4A7865B5496349EA98
Douglas,6C63B405323F88815E092A2C1F39A4781A3C66D680C9B1258AC2EBA42D3095BF
Eagle,668B438D9AE7FE0A7708887A209DC521543B86EB1FC64FA5A6483BAAD3C42785
Elbert,F11CB7667B1DD3045FD111060674F9B82772AC464026F9872C0E5771CFA5157B
El Paso,42FCFDA7E7D4374708DBB1D3D53DEB9C14E47AF7A0C285466E921F5FAC0CD08F
Fremont,B795FA499F394E32EE6668AE3BFF9AF79A730DDAB4204F90E7BE178100CC6220
Garfield,
Gilpin,462A74DCFE2AAD5AE68A4046CFFF8BB015EBC2C800E5051FD27304995EF91A13
Grand,29360A5FAFB730735ECC3B43A6ADA21518A9F715E76370E84634AA1F27978C1A
Gunnison,B79A27179399619AA5418C25FE76A0BD04136E38356EE629A0E5506AFFB8473B
Hinsdale,
Huerfano,C4ADCCCF9FC30E263171D52F19618A344695A5272EA5735267870F5AF7163436
Jackson,
Jefferson,754B80D2F9B7ED9235A2D41CC8E614A7A963EAD444CB4618B5A501A173DEB7CD
Kiowa,803D75477E4689CC7279FBADE86F9DD5159CFB6F11E553375F0E77AC8D4D67D2
Kit Carson,25F8D80FC088E79B289BDF881F0C2434F352A10197AC8C03A827F49C7120C367
Lake,64F4EB3A4CBF06DED218945C2212F08F02E889FCC9FE8C94C9F468EACBBD3F54
La Plata,C67E28772041F1ED16EFFD3CB8B02C96C055E67094D79963ADA4C413C693AD76
