County,Device ID,Batch #,# of Ballot Cards,Location
Weld,1,1,97,Box 23
Weld,1,2,100,Box 23
Weld,1,3,100,Box 23
Weld,1,4,100,Box 23
Weld,1,5,99,Box 23
Weld,1,6,100,Box 23
Weld,1,7,100,Box 26
Weld,1,8,100,Box 26
Weld,1,9,100,Box 26
Weld,1,10,100,Box 26
Weld,1,11,100,Box 26
Weld,1,12,100,Box 26
Weld,1,13,100,Box 27
Weld,1,14,100,Box 27
Weld,1,15,100,Box 27
Weld,1,16,100,Box 27
Weld,1,17,98,Box 27
Weld,1,18,100,Box 27
Weld,1,19,100,Box 29
Weld,1,20,100,Box 29
Weld,1,21,100,Box 29
Weld,1,22,100,Box 29
Weld,1,23,100,Box 29
Weld,1,24,100,Box 29
Weld,1,25,100,Box 31
Weld,1,26,100,Box 31
Weld,1,27,100,Box 31
Weld,1,28,100,Box 31
Weld,1,29,100,Box 31
Weld,1,30,100,Box 31
Weld,1,31,100,Box 33
Weld,1,32,100,Box 33
Weld,1,33,100,Box 33
Weld,1,34,100,Box 33
Weld,1,35,100,Box 33
Weld,1,36,100,Box 33
Weld,1,37,100,Box 35
Weld,1,38,100,Box 35
Weld,1,39,100,Box 35
Weld,1,40,100,Box 35
Weld,1,41,100,Box 35
Weld,1,42,100,Box 35
Weld,1,43,100,Box 36
Weld,1,44,100,Box 36
Weld,1,45,100,Box 36
Weld,1,46,100,Box 36
Weld,1,47,100,Box 36
Weld,1,48,100,Box 36
Weld,1,49,100,Box 38
Weld,1,50,100,Box 38
Weld,1,51,100,Box 38
Weld,1,52,100,Box 38
Weld,1,53,100,Box 38
Weld,1,54,100,Box 38
Weld,2,1,100,Box 24
Weld,2,2,100,Box 24
Weld,2,3,100,Box 24
Weld,2,4,100,Box 24
Weld,2,5,99,Box 24
Weld,2,6,100,Box 24
Weld,2,7,100,Box 25
Weld,2,8,100,Box 25
Weld,2,9,100,Box 25
Weld,2,10,99,Box 25
Weld,2,11,99,Box 25
Weld,2,12,100,Box 25
Weld,2,13,100,Box 28
Weld,2,14,100,Box 28
Weld,2,15,100,Box 28
Weld,2,16,99,Box 28
Weld,2,17,100,Box 28
Weld,2,18,96,Box 28
Weld,2,19,100,Box 30
Weld,2,20,100,Box 30
Weld,2,21,100,Box 30
Weld,2,22,100,Box 30
Weld,2,23,99,Box 30
Weld,2,24,100,Box 30
Weld,2,25,100,Box 32
Weld,2,26,96,Box 32
Weld,2,27,99,Box 32
Weld,2,28,100,Box 32
Weld,2,29,99,Box 32
Weld,2,30,100,Box 32
Weld,2,31,100,Box 34
Weld,2,32,100,Box 34
Weld,2,33,100,Box 34
Weld,2,34,100,Box 34
Weld,2,35,100,Box 34
Weld,2,36,100,Box 34
Weld,2,37,100,Box 37
Weld,2,38,100,Box 37
Weld,2,39,100,Box 37
Weld,2,40,99,Box 37
Weld,2,41,100,Box 37
Weld,2,42,100,Box 37
Weld,2,43,100,Box 39
Weld,2,44,100,Box 39
