contest_name,choice,votes
17th Judicial District Ballot Question 7B,No/Against,142021
17th Judicial District Ballot Question 7B,Yes/For,104472
Adams 12 Five Star Schools Ballot Issue 5D,No/Against,59440
Adams 12 Five Star Schools Ballot Issue 5D,Yes/For,46818
Adams 12 Five Star Schools Ballot Issue 5E,Yes/For,57572
Adams 12 Five Star Schools Ballot Issue 5E,No/Against,47091
Adams-Arapahoe School District 28J Ballot Issue 5A,Yes/For,49304
Adams-Arapahoe School District 28J Ballot Issue 5A,No/Against,26635
Adams-Arapahoe School District 28J Ballot Issue 5B,Yes/For,57602
Adams-Arapahoe School District 28J Ballot Issue 5B,No/Against,18495
Adams County Ballot Issue 1A,No/Against,150156
Adams County Ballot Issue 1A,Yes/For,64560
Adams County Commissioner - District 1,Julie Duran Mullica,114018
Adams County Commissioner - District 1,Shelly McClure,100933
Adams County Commissioner - District 2,Kathy Henson,117172
Adams County Commissioner - District 2,Bernadette Tedesco,72846
Adams County Commissioner - District 5,Lynn Baca,114772
Adams County Commissioner - District 5,Jim Wood,97011
Adams County Court Judge - Dinnel,Yes,120627
Adams County Court Judge - Dinnel,No,59827
Adams County Court Judge - Flaum,Yes,113935
Adams County Court Judge - Flaum,No,65987
Adams County Court Judge - Ivey,Yes,114668
Adams County Court Judge - Ivey,No,65322
Adams County Court Judge - Jean,Yes,117140
Adams County Court Judge - Jean,No,62664
Adams County Court Judge - Kirby,Yes,120118
Adams County Court Judge - Kirby,No,59916
Adams County Court Judge - Nowak,Yes,117178
Adams County Court Judge - Nowak,No,61435
Adams County School District 14 Ballot Issue 4A,Yes/For,4923
Adams County School District 14 Ballot Issue 4A,No/Against,4682
Adams County School District 14 Ballot Issue 4B,Yes/For,4747
Adams County School District 14 Ballot Issue 4B,No/Against,4638
Affordable Housing 0.5% Sales Tax Increase,No/Against,7897
Affordable Housing 0.5% Sales Tax Increase,Yes/For,5037
Alamosa County Commissioner - District 1,Lori Laske,4530
Alamosa County Commissioner - District 1,Richard P. Needham,2773
Alamosa County Commissioner - District 3,Vern Heersink,5243
Alamosa School District RE-11J Ballot Issue 5A,No/Against,3328
Alamosa School District RE-11J Ballot Issue 5A,Yes/For,2997
Amendment 79 (CONSTITUTIONAL),Yes/For,1920589
Amendment 79 (CONSTITUTIONAL),No/Against,1178869
Amendment 80 (CONSTITUTIONAL),No/Against,1546531
Amendment 80 (CONSTITUTIONAL),Yes/For,1504484
Amendment 80 (CONSTITUTIONAL) - Rio Blanco,Yes/For,2013
Amendment 80 (CONSTITUTIONAL) - Rio Blanco,No/Against,1539
Amendment G (CONSTITUTIONAL),Yes/For,2211000
Amendment G (CONSTITUTIONAL),No/Against,812326
Amendment H (CONSTITUTIONAL),Yes/For,2149854
Amendment H (CONSTITUTIONAL),No/Against,793341
Amendment I (CONSTITUTIONAL),Yes/For,2057195
Amendment I (CONSTITUTIONAL),No/Against,953197
Amendment J (CONSTITUTIONAL),Yes/For,1981164
Amendment J (CONSTITUTIONAL),No/Against,1098858
Amendment K (CONSTITUTIONAL),No/Against,1590696
Amendment K (CONSTITUTIONAL),Yes/For,1293263
Approval of Multiple Year Financial Obligation with Gilpin County,Yes/For,47
Approval of Multiple Year Financial Obligation with Gilpin County,No/Against,15
Arapahoe County Ballot Issue 1A,Yes/For,214851
Arapahoe County Ballot Issue 1A,No/Against,87184
Arapahoe County Commissioner - District 1,Carrie Warren-Gully,41347
Arapahoe County Commissioner - District 1,Tyler Linnebur,29886
Arapahoe County Commissioner - District 1,Joshua Lallement,2572
Arapahoe County Commissioner - District 3,Jeff Baker,33417
Arapahoe County Commissioner - District 3,Scott Brown,31661
Arapahoe County Commissioner - District 5,Rhonda Fields,26255
Arapahoe County Commissioner - District 5,Eliseo Gonzalez,11987
Arapahoe County Court - Hernandez,Yes,171595
Arapahoe County Court - Hernandez,No,76478
Arapahoe County Court - Williford,Yes,171386
Arapahoe County Court - Williford,No,73598
Archuleta County Commissioner - District 1,Warren M. Brown,4657
Archuleta County Commissioner - District 1,Wayne Hooper,2779
Archuleta County Commissioner - District 1,Ken Bowles,1001
Archuleta County Commissioner - District 2,John Ranson,6614
Archuleta County Coroner,Brad Hunt,6620
Arvada Fire Protection District Ballot Question 6A,Yes/For,5090
Arvada Fire Protection District Ballot Question 6A,No/Against,1533
Ault Fire Protection District Ballot Issue 6A,Yes/For,1789
Ault Fire Protection District Ballot Issue 6A,No/Against,1203
Ault Fire Protection District Ballot Issue 6B,No/Against,1759
Ault Fire Protection District Ballot Issue 6B,Yes/For,1231
Baca County Commissioner - District 1,Race Chenoweth,1706
Baca County Commissioner - District 3,Troy Devlin Bishop,1670
Baca County Coroner,Everett Brisendine,1694
Baca County Court Judge - Lishchuk,Yes,869
Baca County Court Judge - Lishchuk,No,839
Bannock Ballot Issue 6A,Yes,14
Bannock Ballot Issue 6A,No,9
Bent County Commissioner-District 1,Jennifer Scofield,1331
Bent County Commissioner-District 1,Bill Long,794
Bent County Commissioner-District 3,Phil Hemphill,1479
Bent County Court - Clark,Yes,1355
Bent County Court - Clark,No,607
BNC Metropolitan District No 2 Ballot Issue 6N,No/Against,255
BNC Metropolitan District No 2 Ballot Issue 6N,Yes/For,126
BNC Metropolitan District No 2 Ballot Question 6M,Yes/For,233
BNC Metropolitan District No 2 Ballot Question 6M,No/Against,142
Boulder County Commissioner - District 1,Claire Levy,143106
Boulder County Commissioner - District 1,Raphael Minot,360
Boulder County Commissioner - District 2,Marta Loachamin,135242
Boulder County Commissioner - District 2,"Donald ""Don"" Lewis",43727
Boulder County Coroner,Jeff Martin,137462
Boulder County Court - Martin,Yes,109134
Boulder County Court - Martin,No,26342
Broomfield Ballot Question 2A,Yes/For,23524
Broomfield Ballot Question 2A,No/Against,15285
Broomfield Ballot Question 2B,Yes/For,29802
Broomfield Ballot Question 2B,No/Against,12063
Broomfield Ballot Question 2C,Yes/For,20053
Broomfield Ballot Question 2C,No/Against,19589
Broomfield Ballot Question 2D,Yes/For,25634
Broomfield Ballot Question 2D,No/Against,14943
Broomfield Ballot Question 2E,Yes/For,23961
Broomfield Ballot Question 2E,No/Against,13968
Broomfield Ballot Question 2F,Yes/For,27996
Broomfield Ballot Question 2F,No/Against,10740
Broomfield Ballot Question 2G,No/Against,24207
Broomfield Ballot Question 2G,Yes/For,17427
Broomfield County Court - DeWick,Yes,27611
Broomfield County Court - DeWick,No,8332
