Canonical List (Final),,
CountyName,ContestName,ContestChoices
San Miguel,Amendment 79 (CONSTITUTIONAL),"Yes/For,No/Against"
Sedgwick,Amendment 79 (CONSTITUTIONAL),"Yes/For,No/Against"
Summit,Amendment 79 (CONSTITUTIONAL),"Yes/For,No/Against"
Teller,Amendment 79 (CONSTITUTIONAL),"Yes/For,No/Against"
Washington,Amendment 79 (CONSTITUTIONAL),"Yes/For,No/Against"
Weld,Amendment 79 (CONSTITUTIONAL),"Yes/For,No/Against"
Yuma,Amendment 79 (CONSTITUTIONAL),"Yes/For,No/Against"
Adams,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Alamosa,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Arapahoe,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Archuleta,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Baca,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Bent,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Boulder,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Broomfield,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Chaffee,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Cheyenne,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Clear Creek,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Conejos,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Costilla,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Crowley,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Custer,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Delta,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Denver,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Dolores,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Douglas,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Eagle,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
El Paso,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Elbert,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Fremont,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Garfield,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Gilpin,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Grand,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Gunnison,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Hinsdale,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Huerfano,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Jackson,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Jefferson,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Kiowa,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Kit Carson,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
La Plata,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Lake,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Larimer,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Las Animas,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Lincoln,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Logan,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Mesa,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Mineral,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Moffat,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Montezuma,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Montrose,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Morgan,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Otero,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Ouray,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Park,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Phillips,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Pitkin,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Prowers,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Pueblo,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Rio Grande,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Routt,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Saguache,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
San Miguel,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
