County,Tabulator ID,Batch,. of Ballots,Location
Douglas,1,GEN-0177,100,32
Douglas,1,GEN-0178,100,48
Douglas,1,GEN-0179,100,48
Douglas,1,GEN-0180,100,52
Douglas,1,GEN-0181,100,32
Douglas,1,GEN-0182,100,69
Douglas,1,GEN-0183,100,62
Douglas,1,GEN-0184,100,9
Douglas,1,GEN-0185,100,42
Douglas,1,GEN-0186,100,55
Douglas,1,GEN-0187,100,107
Douglas,1,GEN-0188,100,11
Douglas,1,GEN-0189,100,40
Douglas,1,GEN-0190,100,39
Douglas,1,GEN-0191,100,13
Douglas,1,GEN-0192,100,14
Douglas,1,GEN-0193,100,55
Douglas,1,GEN-0194,71,39
Douglas,1,GEN-0195,55,55
Douglas,1,GEN-0196,100,105
Douglas,1,GEN-0197,100,16
Douglas,1,GEN-0198,100,11
Douglas,1,GEN-0199,100,55
Douglas,1,GEN-0200,100,65
Douglas,1,GEN-0201,100,14
Douglas,1,GEN-0202,100,13
Douglas,1,GEN-0203,100,100
Douglas,1,GEN-0204,100,14
Douglas,1,GEN-0205,85,39
Douglas,1,GEN-0206,100,65
Douglas,1,GEN-0207,100,100
Douglas,1,GEN-0208,100,104
Douglas,1,GEN-0209,100,62
Douglas,1,GEN-0210,100,62
Douglas,1,GEN-0211,100,55
Douglas,1,GEN-0212,100,64
Douglas,1,GEN-0213,100,34
Douglas,1,GEN-0214,100,59
Douglas,1,GEN-0215,100,105
Douglas,1,GEN-0216,100,32
Douglas,1,GEN-0217,100,50
Douglas,1,GEN-0218,100,59
Douglas,1,GEN-0219,100,59
Douglas,1,GEN-0220,100,32
Douglas,1,GEN-0221,100,48
Douglas,1,GEN-0222,87,17
Douglas,1,GEN-0223,100,100
Douglas,1,GEN-0224,100,34
Douglas,1,GEN-0225,100,17
Douglas,1,GEN-0226,100,36
Douglas,1,GEN-0227,100,16
Douglas,1,GEN-0228,100,48
Douglas,1,GEN-0229,100,53
Douglas,1,GEN-0230,100,53
Douglas,1,GEN-0231,100,100
Douglas,1,GEN-0232,100,14
Douglas,1,GEN-0233,100,36
Douglas,1,GEN-0234,100,59
Douglas,1,GEN-0235,100,59
Douglas,1,GEN-0236,100,53
Douglas,1,GEN-0237,100,113
Douglas,1,GEN-0238,100,64
Douglas,1,GEN-0239,100,65
Douglas,1,GEN-0240,100,113
Douglas,1,GEN-0241,100,17
Douglas,1,GEN-0242,100,113
Douglas,1,GEN-0243,100,25
Douglas,1,GEN-0244,100,113
Douglas,1,GEN-0245,100,67
Douglas,1,GEN-0246,100,67
Douglas,1,GEN-0247,100,112
Douglas,1,GEN-0248,100,13
Douglas,1,GEN-0249,100,52
Douglas,1,GEN-0250,100,67
Douglas,1,GEN-0251,100,105
Douglas,1,GEN-0252,100,65
Douglas,1,GEN-0253,100,50
Douglas,1,GEN-0254,100,57
Douglas,1,GEN-0255,100,57
Douglas,1,GEN-0256,100,50
Douglas,1,GEN-0257,100,36
Douglas,1,GEN-0258,100,52
Douglas,1,GEN-0259,100,40
Douglas,1,GEN-0260,100,65
Douglas,1,GEN-0261,51,239
Douglas,1,GEN-0262,49,258
Douglas,1,GEN-0263,100,36
Douglas,1,GEN-0264,100,107
Douglas,1,GEN-0265,100,17
Douglas,1,GEN-0266,100,14
Douglas,1,GEN-0267,100,19
Douglas,1,GEN-0268,100,62
Douglas,1,GEN-0269,100,53
Douglas,1,GEN-0270,100,57
Douglas,1,GEN-0271,99,57
Douglas,1,GEN-0272,100,19
Douglas,1,GEN-0273,100,58
Douglas,1,GEN-0274,100,62
Douglas,1,GEN-0275,79,150
Douglas,1,GEN-0276,100,109
Douglas,1,GEN-0277,100,58
Douglas,1,GEN-0278,100,104
Douglas,1,GEN-0279,100,19
Douglas,1,GEN-0280,100,11
Douglas,1,GEN-0281,99,73
Douglas,1,GEN-0282,100,28
Douglas,1,GEN-0283,100,64
Douglas,1,GEN-0284,100,17
Douglas,1,GEN-0285,100,52
Douglas,1,GEN-0286,100,65
Douglas,1,GEN-0287,99,77
Douglas,1,GEN-0288,100,112
Douglas,1,GEN-0289,100,72
Douglas,1,GEN-0290,72,72
Douglas,1,GEN-0291,55,58
Douglas,1,GEN-0292,61,58
Douglas,1,GEN-0293,100,112
Douglas,1,GEN-0294,100,42
Douglas,1,GEN-0295,100,72
Douglas,1,GEN-0296,100,40
Douglas,1,GEN-0297,100,44
Douglas,1,GEN-0298,100,70
Douglas,1,GEN-0299,100,113
Douglas,1,GEN-0300,100,77
Douglas,1,GEN-0301,100,42
Douglas,1,GEN-0302,100,42
Douglas,1,GEN-0303,84,45
Douglas,1,GEN-0304,100,64
Douglas,1,GEN-0305,100,62
Douglas,1,GEN-0306,100,52
Douglas,1,GEN-0307,100,62
Douglas,1,GEN-0308,100,104
Douglas,1,GEN-0309,100,104
Douglas,1,GEN-0310,101,39
Douglas,1,GEN-0311,100,32
Douglas,1,GEN-0312,100,14
Douglas,1,GEN-0313,76,104
Douglas,1,GEN-0314,100,62
Douglas,1,GEN-0315,100,32
Douglas,1,GEN-0316,100,104
Douglas,1,GEN-0317,100,62
Douglas,1,GEN-0318,100,32
Douglas,1,GEN-0319,100,11
Douglas,1,GEN-0320,73,64
Douglas,1,GEN-0321,85,14
Douglas,1,GEN-0322,100,13
Douglas,1,GEN-0323,100,34
Douglas,1,GEN-0324,100,64
Douglas,1,GEN-0325,100,107
Douglas,1,GEN-0326,100,107
Douglas,1,GEN-0327,100,34
Douglas,1,GEN-0328,100,57
Douglas,1,GEN-0329,100,110
Douglas,1,GEN-0330,100,110
Douglas,1,GEN-0331,100,37
Douglas,1,GEN-0332,100,39
Douglas,1,GEN-0333,84,28
Douglas,1,GEN-0334,100,110
Douglas,1,GEN-0335,64,16
Douglas,1,GEN-0336,100,67
Douglas,1,GEN-0337,100,113
Douglas,1,GEN-0338,100,25
