County,Tabulator ID,Batch,#of Ballot Cards,Location
Routt,102,1,50,1
Routt,102,2,50,1
Routt,102,3,50,1
Routt,102,4,50,1
Routt,102,5,48,1
Routt,102,6,48,1
Routt,102,7,50,1
Routt,102,8,40,1
Routt,102,9,48,1
Routt,102,10,48,1
Routt,102,11,48,1
Routt,102,12,44,1
Routt,102,13,50,1
Routt,102,14,50,1
Routt,102,15,50,1
Routt,102,16,48,1
Routt,102,17,46,1
Routt,102,18,50,1
Routt,102,19,50,1
Routt,102,20,51,1
Routt,102,21,50,1
Routt,102,22,50,1
Routt,102,23,50,1
Routt,102,24,50,1
Routt,102,25,48,1
Routt,102,26,52,1
Routt,102,27,50,1
Routt,102,28,50,1
Routt,102,29,50,1
Routt,102,30,36,1
Routt,102,31,50,2
Routt,102,32,50,2
Routt,102,33,50,2
Routt,102,34,42,2
Routt,102,35,50,2
Routt,102,36,50,2
Routt,102,37,48,2
Routt,102,38,50,2
Routt,102,39,50,2
Routt,102,40,50,2
Routt,102,41,50,2
Routt,102,42,50,2
Routt,102,43,48,2
Routt,102,44,49,2
Routt,102,45,50,2
Routt,102,46,50,2
Routt,102,47,50,2
Routt,102,48,50,2
Routt,102,49,50,2
Routt,102,50,50,2
Routt,102,51,48,2
Routt,102,52,48,2
Routt,102,53,48,2
Routt,102,54,48,2
Routt,102,55,50,2
Routt,102,56,50,2
Routt,102,57,48,2
Routt,102,58,50,2
Routt,102,59,48,2
Routt,102,60,48,2
Routt,102,61,50,3
Routt,102,62,49,3
Routt,102,63,50,3
Routt,102,64,48,3
Routt,102,65,46,3
Routt,102,66,50,3
Routt,102,67,48,3
Routt,102,68,46,3
Routt,102,69,50,3
Routt,102,70,50,3
Routt,102,71,48,3
Routt,102,72,50,3
Routt,102,73,46,3
Routt,102,74,50,3
Routt,102,75,50,3
Routt,102,76,18,3
Routt,102,77,46,3
Routt,102,78,48,3
Routt,102,79,50,3
Routt,102,80,50,3
Routt,102,81,50,3
Routt,102,82,50,3
Routt,102,83,48,3
Routt,102,84,50,3
Routt,102,85,49,3
Routt,102,86,47,3
Routt,102,87,49,3
Routt,102,88,50,3
Routt,102,89,48,3
Routt,102,90,49,3
Routt,102,91,50,4
Routt,102,92,50,4
Routt,102,93,50,4
Routt,102,94,50,4
Routt,102,95,50,4
Routt,102,96,50,4
Routt,102,97,50,4
Routt,102,98,50,4
Routt,102,99,48,4
Routt,102,100,50,4
Routt,102,101,50,4
Routt,102,102,50,4
Routt,102,103,50,4
Routt,102,104,50,4
Routt,102,105,50,4
Routt,102,106,46,4
Routt,102,107,48,4
Routt,102,108,44,4
Routt,102,109,14,4
Routt,102,110,50,4
Routt,102,111,54,4
Routt,102,112,50,4
Routt,102,113,58,4
Routt,102,114,50,4
Routt,102,115,42,4
Routt,102,116,50,4
Routt,102,117,58,4
Routt,102,118,50,5
Routt,102,119,50,5
Routt,102,120,50,5
Routt,102,121,50,5
Routt,102,122,48,5
Routt,102,123,50,5
Routt,102,124,50,5
Routt,102,125,48,5
Routt,102,126,50,5
Routt,102,127,50,5
Routt,102,128,47,5
Routt,102,129,50,5
Routt,102,130,48,5
Routt,102,131,48,5
Routt,102,132,50,5
Routt,102,133,46,5
Routt,102,134,48,5
Routt,102,135,46,5
Routt,102,136,50,5
Routt,102,137,50,5
Routt,102,138,50,5
Routt,102,139,48,5
Routt,102,140,48,5
Routt,102,141,44,5
Routt,102,142,50,5
Routt,102,143,48,5
