County,Tabulator,Batch,# Ballots,Location
Las Animas,102,1,50,Box 1
Las Animas,102,2,50,Box 1
Las Animas,102,3,50,Box 1
Las Animas,102,4,50,Box 1
Las Animas,102,5,50,Box 1
Las Animas,102,6,50,Box 1
Las Animas,102,7,50,Box 1
Las Animas,102,8,50,Box 1
Las Animas,102,9,50,Box 1
Las Animas,102,10,50,Box 1
Las Animas,102,11,50,Box 1
Las Animas,102,12,50,Box 1
Las Animas,102,13,50,Box 1
Las Animas,102,14,50,Box 1
Las Animas,102,15,50,Box 1
Las Animas,102,16,50,Box 1
Las Animas,102,17,50,Box 1
Las Animas,102,18,50,Box 1
Las Animas,102,19,50,Box 1
Las Animas,102,20,50,Box 1
Las Animas,102,21,50,Box 1
Las Animas,102,22,50,Box 1
Las Animas,102,23,50,Box 1
Las Animas,102,24,50,Box 1
Las Animas,102,25,50,Box 2
Las Animas,102,26,50,Box 2
Las Animas,102,27,50,Box 2
Las Animas,102,28,50,Box 2
Las Animas,102,29,50,Box 2
Las Animas,102,30,50,Box 2
Las Animas,102,31,50,Box 2
Las Animas,102,32,50,Box 2
Las Animas,102,33,50,Box 2
Las Animas,102,34,50,Box 2
Las Animas,102,35,50,Box 2
Las Animas,102,36,50,Box 2
Las Animas,102,37,50,Box 2
Las Animas,102,38,50,Box 2
Las Animas,102,39,50,Box 2
Las Animas,102,40,50,Box 2
Las Animas,102,41,50,Box 2
Las Animas,102,42,50,Box 2
Las Animas,102,43,50,Box 2
Las Animas,102,44,50,Box 2
Las Animas,102,45,50,Box 2
Las Animas,102,46,50,Box 2
Las Animas,102,47,50,Box 2
Las Animas,102,48,50,Box 2
Las Animas,102,49,50,Box 3
Las Animas,102,50,50,Box 3
Las Animas,102,51,50,Box 3
Las Animas,102,52,50,Box 3
Las Animas,102,53,50,Box 3
Las Animas,102,54,50,Box 3
Las Animas,102,55,50,Box 3
Las Animas,102,56,50,Box 3
Las Animas,102,57,50,Box 3
Las Animas,102,58,50,Box 3
Las Animas,102,59,50,Box 3
Las Animas,102,60,50,Box 3
Las Animas,102,61,50,Box 3
Las Animas,102,62,50,Box 3
Las Animas,102,63,50,Box 3
Las Animas,102,64,50,Box 3
Las Animas,102,65,50,Box 3
Las Animas,102,66,50,Box 3
Las Animas,102,67,50,Box 3
Las Animas,102,68,50,Box 3
Las Animas,102,69,50,Box 3
Las Animas,102,70,50,Box 3
Las Animas,102,71,50,Box 3
Las Animas,102,72,50,Box 3
Las Animas,102,73,50,Box 3
Las Animas,102,74,50,Box 3
Las Animas,102,75,50,Box 3
Las Animas,102,76,50,Box 4
Las Animas,102,77,50,Box 4
Las Animas,102,78,50,Box 4
Las Animas,102,79,50,Box 4
Las Animas,102,80,50,Box 4
Las Animas,102,81,50,Box 4
Las Animas,102,82,50,Box 4
Las Animas,102,83,50,Box 4
Las Animas,102,84,50,Box 4
Las Animas,102,85,50,Box 4
Las Animas,102,86,50,Box 4
Las Animas,102,87,50,Box 4
Las Animas,102,88,50,Box 4
Las Animas,102,89,50,Box 4
Las Animas,102,90,50,Box 4
Las Animas,102,91,50,Box 4
Las Animas,102,92,50,Box 4
Las Animas,102,93,50,Box 4
Las Animas,102,94,50,Box 4
Las Animas,102,95,50,Box 4
Las Animas,102,96,50,Box 4
Las Animas,102,97,50,Box 4
Las Animas,102,98,50,Box 4
Las Animas,102,99,50,Box 4
Las Animas,102,100,50,Box 4
Las Animas,102,101,50,Box 5
Las Animas,102,102,50,Box 5
Las Animas,102,103,50,Box 5
Las Animas,102,104,50,Box 5
Las Animas,102,105,50,Box 5
Las Animas,102,106,50,Box 5
Las Animas,102,107,50,Box 5
Las Animas,102,108,50,Box 5
Las Animas,102,109,50,Box 5
Las Animas,102,110,50,Box 5
Las Animas,102,111,50,Box 5
Las Animas,102,112,50,Box 5
Las Animas,102,113,50,Box 5
Las Animas,102,114,50,Box 5
Las Animas,102,115,50,Box 5
Las Animas,102,116,50,Box 5
Las Animas,102,117,50,Box 5
Las Animas,102,118,50,Box 5
Las Animas,102,119,50,Box 5
Las Animas,102,120,50,Box 5
Las Animas,102,121,50,Box 5
Las Animas,102,122,50,Box 5
Las Animas,102,123,50,Box 5
Las Animas,102,124,50,Box 5
Las Animas,102,125,50,Box 5
Las Animas,102,126,50,Box 6
Las Animas,102,127,50,Box 6
Las Animas,102,128,50,Box 6
Las Animas,102,129,50,Box 6
Las Animas,102,130,50,Box 6
Las Animas,102,131,50,Box 6
Las Animas,102,132,50,Box 6
Las Animas,102,133,50,Box 6
Las Animas,102,134,50,Box 6
Las Animas,102,135,50,Box 6
Las Animas,102,136,50,Box 6
Las Animas,102,137,50,Box 6
Las Animas,102,138,50,Box 6
Las Animas,102,139,50,Box 6
Las Animas,102,140,50,Box 6
Las Animas,102,141,50,Box 6
Las Animas,102,142,50,Box 6
Las Animas,102,143,50,Box 6
Las Animas,102,144,50,Box 6
Las Animas,102,145,50,Box 6
Las Animas,102,146,50,Box 6
Las Animas,102,147,50,Box 6
Las Animas,102,148,50,Box 6
Las Animas,102,149,50,Box 6
Las Animas,102,150,50,Box 6
Las Animas,102,151,50,Box 7
Las Animas,102,152,50,Box 7
Las Animas,102,153,50,Box 7
Las Animas,102,154,50,Box 7
Las Animas,102,155,51,Box 7
Las Animas,102,156,42,Box 7
Las Animas,102,157,8,Box 7
Las Animas,102,158,55,Box 7
Las Animas,102,159,29,Box 7
Las Animas,102,160,1,Box 7
