contest_name,audit_reason,random_audit_status,winners_allowed,ballot_card_count,contest_ballot_card_count,winners,min_margin,risk_limit,audited_sample_count,two_vote_over_count,one_vote_over_count,zero_discrepancy_count,one_vote_under_count,two_vote_under_count,disagreement_count,gamma,overstatements,optimistic_samples_to_audit,estimated_samples_to_audit
Academy School District 20 Board of Directors - 4 Year Term,opportunistic_benefits,in_progress,3,189228,41419,"""Holly Tripp"",""Susan Payne"",""Eddie Waldrep""",2373,0.03000000,0,0,0,0,0,0,0,1.03905000,0,582,582
Adams 12 Five Star School District Director - District No 3,opportunistic_benefits,in_progress,1,136149,62955,"""Ike Anyanwu-Ebo""",5228,0.03000000,0,0,0,0,0,0,0,1.03905000,0,190,190
Adams 12 Five Star School District Director - District No 4,opportunistic_benefits,not_auditable,1,136149,62955,"""Amira Assad-Lucas""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
ADAMS 12 FIVE STAR SCHOOLS BALLOT ISSUE 5B,opportunistic_benefits,in_progress,1,136149,62955,"""Yes/For""",4327,0.03000000,0,0,0,0,0,0,0,1.03905000,0,230,230
Adams-Arapahoe School District 28J Board of Directors,opportunistic_benefits,in_progress,4,280770,39836,"""Tramaine M. Duncan"",""Gayla Charrier"",""Anne R. Keke"",""Kristin Mallory ""Westerberg""""",4220,0.03000000,0,0,0,0,0,0,0,1.03905000,0,485,485
Adams County School District 14 Board Of Education,opportunistic_benefits,in_progress,2,106471,3619,"""Janet Estrada"",""Maria D. Zubia""",220,0.03000000,0,0,0,0,0,0,0,1.03905000,0,3527,3527
"Additional Lodging Tax to Support, Sustain, and Enhance Gilpin County for Our Residents, Workforce, and Visitors Ballot Issue 1A",county_wide_contest,in_progress,1,2532,2222,"""Yes/For""",215,0.03000000,0,0,0,0,0,0,0,1.03905000,0,86,86
Aguilar School District RE-6,opportunistic_benefits,not_auditable,1,4561,405,"""Ashley Lisonbee""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
Aguilar School District RE-6 Ballot Issue 4A,opportunistic_benefits,in_progress,1,4561,405,"""Yes/For""",74,0.03000000,0,0,0,0,0,0,0,1.03905000,0,450,450
Akron School District R-1 School Board Director At-Large - 2 Year Term,opportunistic_benefits,not_auditable,1,1714,932,"""Corby Kneedler""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
Akron School District R-1 School Board Director At-Large - 4 Year Term,county_wide_contest,in_progress,2,1714,932,"""Fred Raish"",""Megan Bower""",103,0.03000000,0,0,0,0,0,0,0,1.03905000,0,122,122
Alamosa School District RE-11J Ballot Issue 5A,opportunistic_benefits,in_progress,1,6137,3697,"""No/Against""",183,0.03000000,0,0,0,0,0,0,0,1.03905000,0,245,245
Alamosa School District RE-11J Director District 3,opportunistic_benefits,not_auditable,1,6137,3697,"""Thomas Wisniewski""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
Alamosa School District RE-11J Director District 6,opportunistic_benefits,not_auditable,1,6137,3697,"""Heidi Richardson""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
Amendments to Section 16-3-303 of the City of Central Land Development Code Ballot Question 2A,opportunistic_benefits,in_progress,1,2532,269,"""No/Against""",41,0.03000000,0,0,0,0,0,0,0,1.03905000,0,451,451
Arapahoe County School District #6 Littleton Public Schools School Director - At Large,opportunistic_benefits,in_progress,3,174299,39632,"""Andrew Graham"",""Sean O'Shea"",""Joan Anderssen""",6638,0.03000000,0,0,0,0,0,0,0,1.03905000,0,192,192
Aspen Fire Protection District Ballot Issue 6A,opportunistic_benefits,in_progress,1,6134,3629,"""Yes/For""",1803,0.03000000,0,0,0,0,0,0,0,1.03905000,0,25,25
Aspen Fire Protection District Ballot Issue 6B,opportunistic_benefits,in_progress,1,6134,3629,"""Yes/For""",2235,0.03000000,0,0,0,0,0,0,0,1.03905000,0,20,20
Aspen School District No. 1 Ballot Issue 4A,opportunistic_benefits,in_progress,1,6134,4555,"""Yes/For""",1071,0.03000000,0,0,0,0,0,0,0,1.03905000,0,42,42
Aspen School District No. 1 Ballot Issue 4B,opportunistic_benefits,in_progress,1,6134,4555,"""Yes/For""",1112,0.03000000,0,0,0,0,0,0,0,1.03905000,0,41,41
Aspen School District No. 1 - Board of Directors,opportunistic_benefits,not_auditable,3,6134,4555,"""Christa Gieszl"",""William Wallace Burke Gilmore"",""Elizabeth Stewart-Severy""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
Aspen Village Metropolitan District Ballot Issue 6D,opportunistic_benefits,in_progress,1,6134,135,"""Yes/For""",50,0.03000000,0,0,0,0,0,0,0,1.03905000,0,894,894
Ballot Issue 2A,opportunistic_benefits,in_progress,1,385029,192662,"""YES/FOR""",49450,0.03000000,0,0,0,0,0,0,0,1.03905000,0,57,57
Ballot Issue 2B,opportunistic_benefits,in_progress,1,385029,192662,"""YES/FOR""",64197,0.03000000,0,0,0,0,0,0,0,1.03905000,0,44,44
Ballot Issue 2C,opportunistic_benefits,in_progress,1,385029,192367,"""YES/FOR""",78150,0.03000000,0,0,0,0,0,0,0,1.03905000,0,36,36
Ballot Issue 2D,opportunistic_benefits,in_progress,1,385029,192367,"""YES/FOR""",53529,0.03000000,0,0,0,0,0,0,0,1.03905000,0,53,53
Ballot Issue 2E,opportunistic_benefits,in_progress,1,385029,192367,"""YES/FOR""",65867,0.03000000,0,0,0,0,0,0,0,1.03905000,0,43,43
Ballot Question No. 2C,opportunistic_benefits,in_progress,1,43583,26612,"""No/Against""",9477,0.03000000,0,0,0,0,0,0,0,1.03905000,0,34,34
Ballot Question No. 2D,opportunistic_benefits,in_progress,1,43583,26612,"""No/Against""",2998,0.03000000,0,0,0,0,0,0,0,1.03905000,0,106,106
Ballot Question No. 2E,opportunistic_benefits,in_progress,1,43583,26612,"""No/Against""",12460,0.03000000,0,0,0,0,0,0,0,1.03905000,0,26,26
Ballot Question No. 2F,opportunistic_benefits,in_progress,1,43583,26612,"""Yes/For""",829,0.03000000,0,0,0,0,0,0,0,1.03905000,0,384,384
Banning Lewis Ranch Metropolitan District No. 5 Ballot Issue 6B,opportunistic_benefits,in_progress,1,189228,561,"""Yes/For""",504,0.03000000,0,0,0,0,0,0,0,1.03905000,0,2736,2736
Basalt Regional Library District Ballot Issue 7B,opportunistic_benefits,in_progress,1,22533,3731,"""Yes/For""",2044,0.03000000,0,0,0,0,0,0,0,1.03905000,0,81,81
Bayfield School District 10 Jt-R Board of Directors,opportunistic_benefits,in_progress,3,26718,3613,"""Rebecca Parnell"",""Matt Turner"",""Gary Maestas""",46,0.03000000,0,0,0,0,0,0,0,1.03905000,0,4233,4233
Bent - Proposition LL (Statutory),county_wide_contest,in_progress,1,1152,1152,"""No/Against""",102,0.03000000,0,0,0,0,0,0,0,1.03905000,0,83,83
Board of Education Director - D70 - District III,county_wide_contest,in_progress,1,43583,16465,"""Michelle Erickson""",1533,0.03000000,0,0,0,0,0,0,0,1.03905000,0,208,208
Board of Education Director - D70 - District IV,opportunistic_benefits,in_progress,1,43583,16465,"""Mark Emery""",547,0.03000000,0,0,0,0,0,0,0,1.03905000,0,581,581
Board of Education Director - D70 - District V,opportunistic_benefits,in_progress,1,43583,16465,"""Ann Bennett""",1217,0.03000000,0,0,0,0,0,0,0,1.03905000,0,261,261
Boulder County Ballot Issue 1A,opportunistic_benefits,in_progress,1,121584,121558,"""Yes/For""",57874,0.03000000,0,0,0,0,0,0,0,1.03905000,0,16,16
Boulder County Ballot Issue 1B,opportunistic_benefits,in_progress,1,121584,121558,"""Yes/For""",34603,0.03000000,0,0,0,0,0,0,0,1.03905000,0,26,26
Boulder Valley School District RE-2 Director District B (4 Years),opportunistic_benefits,not_auditable,1,153794,88599,"""Nicole Rajpal""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
Boulder Valley School District RE-2 Director District E (4 Years),opportunistic_benefits,in_progress,1,153794,88599,"""Deann Bucher""",1810,0.03000000,0,0,0,0,0,0,0,1.03905000,0,620,620
Boulder Valley School District RE-2 Director District F (4 Years),opportunistic_benefits,not_auditable,1,153794,88599,"""Ana Temu Otting""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
Buena Vista School District R-31 Ballot Issue 4A,opportunistic_benefits,in_progress,1,10433,4556,"""Yes/For""",184,0.03000000,0,0,0,0,0,0,0,1.03905000,0,414,414
Buena Vista School District R-31 Ballot Issue 4B,opportunistic_benefits,in_progress,1,10433,4556,"""Yes/For""",561,0.03000000,0,0,0,0,0,0,0,1.03905000,0,136,136
Buena Vista School District R-31 Board of Education Director At Large - 4 Year Term,opportunistic_benefits,in_progress,1,10433,4556,"""Casey Martin""",466,0.03000000,0,0,0,0,0,0,0,1.03905000,0,164,164
Buena Vista School District R-31 Board of Education District 10,opportunistic_benefits,in_progress,1,10433,4556,"""Jeremiah Johnson""",746,0.03000000,0,0,0,0,0,0,0,1.03905000,0,102,102
Buena Vista School District R-31 Board of Education District 2,opportunistic_benefits,not_auditable,1,10433,4556,"""Laura Hansen""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
Burlington School District RE-6J Board of Directors - 4 Year Term,county_wide_contest,in_progress,4,2113,1130,"""George Homm"",""Craig Schaal"",""Darren Bennett"",""Tara Penny""",218,0.03000000,0,0,0,0,0,0,0,1.03905000,0,71,71
Byers School District 32J School Board Director,opportunistic_benefits,in_progress,3,280770,819,"""Kres Ebert"",""Logan MacLennan"",""Jennifer Borders""",67,0.03000000,0,0,0,0,0,0,0,1.03905000,0,30537,30537
Byers School District No. 32J Ballot Issue 5A,opportunistic_benefits,in_progress,1,280770,819,"""Yes/For""",136,0.03000000,0,0,0,0,0,0,0,1.03905000,0,15044,15044
Calhan School District RJ1 Director - 4 Year Term,opportunistic_benefits,in_progress,3,200743,1008,"""Jim Elrick"",""Buckey Lobdell"",""Charlotte Trojanovich""",98,0.03000000,0,0,0,0,0,0,0,1.03905000,0,14927,14927
Carbondale and Rural Fire Protection District Ballot Issue 7D,opportunistic_benefits,in_progress,1,28927,5638,"""Yes""",838,0.03000000,0,0,0,0,0,0,0,1.03905000,0,252,252
Carbondale and Rural Fire Protection District Ballot Issue 7E,opportunistic_benefits,in_progress,1,28927,5638,"""Yes""",1077,0.03000000,0,0,0,0,0,0,0,1.03905000,0,196,196
Cedar Hill Cemetery District Ballot Issue 6A,opportunistic_benefits,in_progress,1,2633,842,"""Yes/For""",94,0.03000000,0,0,0,0,0,0,0,1.03905000,0,205,205
Center Consolidated School District 26 JT Ballot Question 5B,opportunistic_benefits,in_progress,1,7384,58,"""No/Against""",32,0.03000000,0,0,0,0,0,0,0,1.03905000,0,1682,1682
Center Consolidated School District 26 JT Director - District A,opportunistic_benefits,in_progress,1,9107,465,"""William Eddie Wilson""",134,0.03000000,0,0,0,0,0,0,0,1.03905000,0,496,496
Center Consolidated School District 26 JT Director - District B,opportunistic_benefits,in_progress,1,9107,465,"""Amanda Garcia""",89,0.03000000,0,0,0,0,0,0,0,1.03905000,0,746,746
Chaffee County Ballot Issue 1A,county_wide_contest,in_progress,1,10433,10433,"""No/Against""",1669,0.03000000,0,0,0,0,0,0,0,1.03905000,0,46,46
Cherry Creek School District No. 5 School Board Director - District D,opportunistic_benefits,in_progress,1,174299,87913,"""Terry Bates""",11643,0.03000000,0,0,0,0,0,0,0,1.03905000,0,110,110
Cherry Creek School District No. 5 School Board Director - District E,opportunistic_benefits,in_progress,1,174299,87913,"""Mike Hamrick""",18319,0.03000000,0,0,0,0,0,0,0,1.03905000,0,70,70
Cherry Park General Improvement District Ballot Question 6B,opportunistic_benefits,in_progress,1,174299,471,"""Yes/For""",248,0.03000000,0,0,0,0,0,0,0,1.03905000,0,5122,5122
Cherry Park General Improvement District Ballot Question 6C,opportunistic_benefits,in_progress,1,174299,471,"""Yes/For""",212,0.03000000,0,0,0,0,0,0,0,1.03905000,0,5992,5992
Cheyenne Mountain School District 12 Board of Directors - 4 Year Term,opportunistic_benefits,in_progress,2,189228,8274,"""Kara Mehall"",""Jessica Lehman""",1753,0.03000000,0,0,0,0,0,0,0,1.03905000,0,787,787
Cheyenne - Proposition LL (Statutory),county_wide_contest,in_progress,1,612,612,"""No/Against""",314,0.03000000,0,0,0,0,0,0,0,1.03905000,0,15,15
Cimarron Hills Fire Protection District Ballot Issue 6A,opportunistic_benefits,in_progress,1,189228,2978,"""Yes/For""",754,0.03000000,0,0,0,0,0,0,0,1.03905000,0,1829,1829
City and County of Broomfield Councilmember Ward 1 (4 Years),opportunistic_benefits,in_progress,1,29678,5386,"""Julie Twiss""",1161,0.03000000,0,0,0,0,0,0,0,1.03905000,0,187,187
City and County of Broomfield Councilmember Ward 2 (4 Years),opportunistic_benefits,in_progress,1,29678,3694,"""Austin Ward""",1289,0.03000000,0,0,0,0,0,0,0,1.03905000,0,168,168
City and County of Broomfield Councilmember Ward 3 (4 Years),county_wide_contest,in_progress,1,29678,6899,"""Sarah Braun""",1306,0.03000000,0,0,0,0,0,0,0,1.03905000,0,166,166
City and County of Broomfield Councilmember Ward 4 (4 Years),opportunistic_benefits,in_progress,1,29678,7689,"""Sean McKenzie""",757,0.03000000,0,0,0,0,0,0,0,1.03905000,0,286,286
City and County of Broomfield Councilmember Ward 5 (4 Years),opportunistic_benefits,in_progress,1,29678,6010,"""Todd Cohen""",1008,0.03000000,0,0,0,0,0,0,0,1.03905000,0,215,215
City and County of Broomfield - Mayor (2 Years),county_wide_contest,in_progress,1,29678,29678,"""Guyleen Castriotta""",5247,0.03000000,0,0,0,0,0,0,0,1.03905000,0,42,42
City Council Member-At Large,opportunistic_benefits,in_progress,2,43583,26612,"""Brett Boston"",""Selena Ruiz Gomez""",2273,0.03000000,0,0,0,0,0,0,0,1.03905000,0,140,140
City of Alamosa Councilor at Large,county_wide_contest,in_progress,1,4082,2031,"""Jan Vigil""",865,0.03000000,0,0,0,0,0,0,0,1.03905000,0,35,35
City of Alamosa Councilor Ward 2,opportunistic_benefits,not_auditable,1,4082,649,"""Dawn Krebs""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
City of Alamosa Councilor Ward 4,opportunistic_benefits,in_progress,1,4082,370,"""Mark T. Martinez""",6,0.03000000,0,0,0,0,0,0,0,1.03905000,0,4958,4958
City of Alamosa Mayor,opportunistic_benefits,not_auditable,1,4082,2031,"""Ty Coleman""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
