2025 Broomfield County Coordinated Election,5.17.17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,City and County of Broomfield - Mayor (2 Years) (Vote For=1),City and County of Broomfield - Mayor (2 Years) (Vote For=1),City and County of Broomfield Councilmember Ward 1 (4 Years) (Vote For=1),City and County of Broomfield Councilmember Ward 1 (4 Years) (Vote For=1),City and County of Broomfield Councilmember Ward 2 (4 Years) (Vote For=1),City and County of Broomfield Councilmember Ward 2 (4 Years) (Vote For=1),City and County of Broomfield Councilmember Ward 3 (4 Years) (Vote For=1),City and County of Broomfield Councilmember Ward 3 (4 Years) (Vote For=1),City and County of Broomfield Councilmember Ward 4 (4 Years) (Vote For=1),City and County of Broomfield Councilmember Ward 4 (4 Years) (Vote For=1),City and County of Broomfield Councilmember Ward 5 (4 Years) (Vote For=1),City and County of Broomfield Councilmember Ward 5 (4 Years) (Vote For=1),Adams 12 Five Star Schools School Director District No. 3 (Vote For=1),Adams 12 Five Star Schools School Director District No. 3 (Vote For=1),Adams 12 Five Star Schools School Director District No. 4 (Vote For=1),Boulder Valley School District RE-2 Director District B (4 Years) (Vote For=1),Boulder Valley School District RE-2 Director District E (4 Years) (Vote For=1),Boulder Valley School District RE-2 Director District E (4 Years) (Vote For=1),Boulder Valley School District RE-2 Director District F (4 Years) (Vote For=1),Jefferson County School District R-1 Director District 1 (Vote For=1),Jefferson County School District R-1 Director District 1 (Vote For=1),Jefferson County School District R-1 Director District 2 (Vote For=1),Jefferson County School District R-1 Director District 2 (Vote For=1),Jefferson County School District R-1 Director District 5 (Vote For=1),Jefferson County School District R-1 Director District 5 (Vote For=1),Jefferson County School District R-1 Director District 5 (Vote For=1),School District 27J Board of Education Director District No. 2 (Vote For=1),School District 27J Board of Education Director District No. 4 (Vote For=1),School District 27J Board of Education Director District No. 5 (Vote For=1),School District 27J Board of Education Director District No. 6 (Vote For=1),School District 27J Board of Education Director District No. 6 (Vote For=1),St Vrain Valley School District RE-1J Board of Education Director District B (Vote For=1),St Vrain Valley School District RE-1J Board of Education Director District B (Vote For=1),St Vrain Valley School District RE-1J Board of Education Director District D (Vote For=1),St Vrain Valley School District RE-1J Board of Education Director District D (Vote For=1),St Vrain Valley School District RE-1J Board of Education Director District E (Vote For=1),St Vrain Valley School District RE-1J Board of Education Director District F (Vote For=1),Weld RE-8 School District Director District A (Vote For=1),Weld RE-8 School District Director District F (Vote For=1),Weld RE-8 School District Director District G (Vote For=1),Weld RE-8 School District Director District G (Vote For=1),Proposition LL (Statutory) (Vote For=1),Proposition LL (Statutory) (Vote For=1),Proposition MM (Statutory) (Vote For=1),Proposition MM (Statutory) (Vote For=1),Proposed Charter Amendment No.1A (General Update) (Vote For=1),Proposed Charter Amendment No.1A (General Update) (Vote For=1),Proposed Charter Amendment No. 1B (Council Qualifications) (Vote For=1),Proposed Charter Amendment No. 1B (Council Qualifications) (Vote For=1),Proposed Charter Amendment No. 1C (Elected Official Vacancy Provision) (Vote For=1),Proposed Charter Amendment No. 1C (Elected Official Vacancy Provision) (Vote For=1),Proposed Charter Amendment No. 1D (Local Code of Ethics) (Vote For=1),Proposed Charter Amendment No. 1D (Local Code of Ethics) (Vote For=1),Proposed Charter Amendment No. 1E (Emergency Ordinances) (Vote For=1),Proposed Charter Amendment No. 1E (Emergency Ordinances) (Vote For=1),Proposed Charter Amendment No. 1F (Intergovernmental Agreements) (Vote For=1),Proposed Charter Amendment No. 1F (Intergovernmental Agreements) (Vote For=1),ADAMS 12 FIVE STAR SCHOOLS BALLOT ISSUE 5B: (Vote For=1),ADAMS 12 FIVE STAR SCHOOLS BALLOT ISSUE 5B: (Vote For=1)
,,,,,,,Guyleen Castriotta,Kimberly Groom,Liz Law-Evans,Julie Twiss,Colin Dielmann,Austin Ward,PizzaPete Crouse,Sarah Braun,Sean McKenzie,Larry Hardouin,Todd Cohen,Chad Swenson,Juan Evans,Ike Anyanwu-Ebo,Amira Assad-Lucas,Nicole Rajpal,Jeffrey Lowe Anderson,Deann Bucher,Ana Temu Otting,Michael Yocum,Denine Echevarria,Samuel Myrant,Peter Gibbins,Mary Parker,Tina Moeinian,"Gloria ""Terri"" Rascon",Starr Trujillo,Ashley Conn,Ramon Alvarado,Tracie Alvarado,Amy Gomez,Peggy A. Kelly,Hadley Solomon,Meosha Babbs,John Ahrens,Jocelyn Gilligan,Sarah Hurianek,Brian Hardwick,Dez Packard,Cristian Gonzalez-Torres,Erica Seegrist,Yes/For,No/Against,Yes/For,No/Against,Yes/For,No/Against,Yes/For,No/Against,Yes/For,No/Against,Yes/For,No/Against,Yes/For,No/Against,Yes/For,No/Against,Yes/For,No/Against
CvrNumber,TabulatorNum,BatchId,RecordId,ImprintedId,PrecinctPortion,BallotType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29552,108,79,33,108-79-33,01 (1),01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29553,108,79,32,108-79-32,01 (1),01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29554,108,79,31,108-79-31,01 (1),01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29561,108,79,27,108-79-27,01 (1),01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29563,108,79,28,108-79-28,01 (1),01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29565,108,79,29,108-79-29,01 (1),01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29567,108,79,30,108-79-30,01 (1),01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,102,1,34,102-1-34,02 (2),02,0,1,,,,,,,0,1,,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,
29,102,1,31,102-1-31,02 (2),02,0,1,,,,,,,0,1,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,,
31,102,1,10,102-1-10,02 (2),02,0,1,,,,,,,0,1,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
32,102,1,6,102-1-6,02 (2),02,0,1,,,,,,,0,1,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,,
35,102,1,5,102-1-5,02 (2),02,0,0,,,,,,,0,0,,,,,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,,
36,102,1,40,102-1-40,02 (2),02,0,0,,,,,,,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,,
