County,Tabulator ID,Batch,#of Ballots,Location
Routt,101,1,25,1
Routt,101,2,25,1
Routt,101,3,25,1
Routt,101,4,25,1
Routt,101,5,25,1
Routt,101,6,25,1
Routt,101,7,25,1
Routt,101,8,25,1
Routt,101,9,25,1
Routt,101,10,25,1
Routt,101,11,25,1
Routt,101,12,25,1
Routt,101,13,25,1
Routt,101,14,25,1
Routt,101,15,25,1
Routt,101,16,25,1
Routt,101,17,25,1
Routt,101,18,25,1
Routt,101,19,25,1
Routt,101,20,25,1
Routt,101,21,25,1
Routt,101,22,25,1
Routt,101,23,25,1
Routt,101,24,25,1
Routt,101,25,25,1
Routt,101,26,25,1
Routt,101,27,25,1
Routt,101,28,25,1
Routt,101,29,25,1
Routt,101,30,25,1
Routt,101,31,25,1
Routt,101,32,25,1
Routt,101,33,25,1
Routt,101,34,25,1
Routt,101,35,25,1
Routt,101,36,25,1
Routt,101,37,25,1
Routt,101,38,25,1
Routt,101,39,25,1
Routt,101,40,25,1
Routt,101,41,25,1
Routt,101,42,25,1
Routt,101,43,25,1
Routt,101,44,24,1
Routt,101,45,24,1
Routt,101,46,24,1
Routt,101,47,24,1
Routt,101,48,24,1
Routt,101,49,24,1
Routt,101,50,24,1
Routt,101,51,24,1
Routt,101,52,24,1
Routt,101,53,24,1
Routt,101,54,24,1
Routt,101,55,24,1
Routt,101,56,23,1
Routt,101,57,23,1
Routt,101,58,23,1
Routt,101,59,23,1
Routt,101,60,23,1
Routt,101,61,23,1
Routt,101,62,23,1
Routt,101,63,23,1
Routt,101,64,19,1
Routt,101,65,24,1
Routt,101,66,22,1
Routt,101,67,26,1
Routt,101,68,27,1
Routt,101,69,30,1
Routt,101,70,30,1
Routt,101,71,14,1
Routt,101,72,14,1
Routt,101,73,6,1
Routt,101,74,8,1
Routt,101,75,16,1
Routt,101,76,18,1
Routt,101,77,24,1
Routt,101,78,25,2
Routt,101,79,25,2
Routt,101,80,24,2
Routt,101,81,25,2
Routt,101,82,25,2
Routt,101,83,25,2
Routt,101,84,25,2
Routt,101,85,26,2
Routt,101,86,25,2
Routt,101,87,25,2
Routt,101,88,23,2
Routt,101,89,25,2
Routt,101,90,25,2
Routt,101,91,25,2
Routt,101,92,25,2
Routt,101,93,25,2
Routt,101,94,25,2
Routt,101,95,25,2
Routt,101,96,25,2
Routt,101,97,25,2
Routt,101,98,25,2
Routt,101,99,25,2
Routt,101,100,25,2
Routt,101,101,25,2
Routt,101,102,25,2
Routt,101,103,25,2
Routt,101,104,25,2
Routt,101,105,25,2
Routt,101,106,25,2
Routt,101,107,25,2
Routt,101,108,24,2
Routt,101,109,23,2
Routt,101,110,24,2
Routt,101,111,24,2
Routt,101,112,25,2
Routt,101,113,24,2
Routt,101,114,24,2
Routt,101,115,13,2
Routt,101,116,24,2
Routt,101,117,24,2
Routt,101,118,24,2
Routt,101,119,24,2
Routt,101,120,24,2
Routt,101,121,24,2
Routt,101,122,24,2
Routt,101,123,24,2
Routt,101,124,24,2
Routt,101,125,24,2
Routt,101,126,24,2
Routt,101,127,24,2
Routt,101,128,24,2
Routt,101,129,24,2
Routt,101,130,23,2
Routt,101,131,23,2
Routt,101,132,23,2
Routt,101,133,22,2
Routt,101,134,22,2
Routt,101,135,16,2
Routt,101,136,5,2
Routt,101,137,22,2
Routt,101,138,32,2
Routt,101,139,19,2
Routt,101,140,25,3
Routt,101,141,25,3
Routt,101,142,25,3
Routt,101,143,25,3
Routt,101,144,25,3
Routt,101,145,25,3
Routt,101,146,25,3
Routt,101,147,25,3
Routt,101,148,25,3
Routt,101,149,25,3
Routt,101,150,25,3
Routt,101,151,25,3
Routt,101,152,25,3
Routt,101,153,25,3
Routt,101,154,25,3
Routt,101,155,25,3
Routt,101,156,25,3
Routt,101,157,25,3
Routt,101,158,25,3
Routt,101,159,25,3
Routt,101,160,25,3
Routt,101,161,25,3
Routt,101,162,25,3
Routt,101,163,25,3
Routt,101,164,25,3
Routt,101,165,24,3
Routt,101,166,24,3
Routt,101,167,24,3
Routt,101,168,24,3
Routt,101,169,24,3
Routt,101,170,24,3
Routt,101,171,24,3
Routt,101,172,29,3
Routt,101,173,27,3
Routt,101,174,19,3
Routt,101,175,15,3
Routt,101,176,11,3
Routt,101,177,4,3
Routt,101,178,23,3
Routt,101,179,25,3
Routt,101,180,25,3
Routt,101,181,25,3
Routt,101,182,25,3
Routt,101,183,25,3
Routt,101,184,25,3
Routt,101,185,25,3
Routt,101,186,25,3
Routt,101,187,25,3
Routt,101,188,25,3
Routt,101,189,25,3
Routt,101,190,25,3
Routt,101,191,24,3
Routt,101,192,24,3
Routt,101,193,24,3
Routt,101,194,24,3
Routt,101,195,24,3
Routt,101,196,23,3
Routt,101,197,23,3
Routt,101,198,23,3
Routt,101,199,23,3
Routt,101,200,23,3
Routt,101,201,23,3
Routt,101,202,22,3
Routt,101,203,22,3
Routt,101,204,21,3
Routt,101,205,21,3
Routt,101,206,20,3
Routt,101,207,14,3
Routt,101,208,17,3
Routt,101,209,14,3
Routt,101,210,4,3
Routt,101,211,25,4
Routt,101,212,25,4
Routt,101,213,25,4
Routt,101,214,25,4
Routt,101,215,25,4
Routt,101,216,25,4
Routt,101,217,25,4
Routt,101,218,25,4
Routt,101,219,25,4
Routt,101,220,25,4
Routt,101,221,25,4
Routt,101,222,25,4
Routt,101,223,25,4
Routt,101,224,25,4
Routt,101,225,24,4
Routt,101,226,24,4
Routt,101,227,24,4
Routt,101,228,24,4
Routt,101,229,24,4
Routt,101,230,24,4
Routt,101,231,24,4
Routt,101,232,24,4
Routt,101,233,24,4
Routt,101,234,24,4
Routt,101,235,24,4
Routt,101,236,24,4
Routt,101,237,23,4
Routt,101,238,23,4
Routt,101,239,22,4
Routt,101,240,22,4
Routt,101,241,22,4
Routt,101,242,21,4
Routt,101,243,21,4
Routt,101,244,20,4
Routt,101,245,20,4
Routt,101,246,17,4
Routt,101,247,17,4
Routt,101,248,16,4
Routt,101,249,10,4
Routt,101,250,9,4
Routt,101,251,29,4
Routt,101,252,13,4
Routt,101,253,25,4
Routt,101,254,25,4
Routt,101,255,25,4
Routt,101,256,24,4
Routt,101,257,25,4
Routt,101,258,25,4
Routt,101,259,25,4
Routt,101,260,24,4
Routt,101,261,24,4
Routt,101,262,24,4
Routt,101,263,24,4
Routt,101,264,24,4
Routt,101,265,24,4
Routt,101,266,21,4
Routt,101,267,24,4
Routt,101,268,23,4
Routt,101,269,23,4
Routt,101,270,23,4
Routt,101,271,17,4
Routt,101,272,15,4
Routt,101,273,9,4
Routt,101,274,23,4
Routt,101,275,27,4
Routt,101,276,53,4
Routt,101,277,25,5
Routt,101,278,25,5
Routt,101,279,24,5
Routt,101,280,22,5
Routt,101,281,24,5
Routt,101,282,24,5
Routt,101,283,24,5
Routt,101,284,22,5
Routt,101,285,16,5
Routt,101,286,15,5
Routt,101,287,14,5
Routt,101,288,25,5
Routt,101,289,25,5
Routt,101,290,25,5
Routt,101,291,24,5
Routt,101,292,23,5
Routt,101,293,24,5
Routt,101,294,26,5
Routt,101,295,29,5
Routt,101,296,26,5
Routt,101,297,25,5
Routt,101,298,23,5
Routt,101,299,18,5
Routt,101,300,15,5
Routt,101,301,15,5
Routt,101,302,10,5
Routt,101,303,10,5
Routt,101,304,6,5
Routt,101,305,7,5
Routt,101,306,37,5
