CountyName,ContestName,ContestChoices
Adams,Adams - President of the United States - DEM,"Jason Michael Palmer, Gabriel Cornejo, Frankie Lozada, Dean Phillips, Stephen P Lyons, Marianne Williamson, Joseph R Biden Jr, Armando ""Mando"" Perez-Serrato, Noncommitted delegate"
Adams,President of the United States - REP,"Vivek Ramaswamy, Asa Hutchinson, Nikki Haley, Ron DeSantis, Chris Christie, Ryan L Binkley, Donald J. Trump, Rachel Hannah ""Mohawk"" Swift, Walter Iwachiw"
Alamosa,Alamosa - President of the United States - DEM,"Jason Michael Palmer, Gabriel Cornejo, Frankie Lozada, Dean Phillips, Stephen P Lyons, Marianne Williamson, Joseph R Biden Jr, Armando ""Mando"" Perez-Serrato, Noncommitted delegate"
Alamosa,President of the United States - REP,"Vivek Ramaswamy, Asa Hutchinson, Nikki Haley, Ron DeSantis, Chris Christie, Ryan L Binkley, Donald J. Trump, Rachel Hannah ""Mohawk"" Swift, Walter Iwachiw"
Arapahoe,Arapahoe - President of the United States - DEM,"Jason Michael Palmer, Gabriel Cornejo, Frankie Lozada, Dean Phillips, Stephen P Lyons, Marianne Williamson, Joseph R Biden Jr, Armando ""Mando"" Perez-Serrato, Noncommitted delegate"
Arapahoe,President of the United States - REP,"Vivek Ramaswamy, Asa Hutchinson, Nikki Haley, Ron DeSantis, Chris Christie, Ryan L Binkley, Donald J. Trump, Rachel Hannah ""Mohawk"" Swift, Walter Iwachiw"
Archuleta,Archuleta - President of the United States - DEM,"Jason Michael Palmer, Gabriel Cornejo, Frankie Lozada, Dean Phillips, Stephen P Lyons, Marianne Williamson, Joseph R Biden Jr, Armando ""Mando"" Perez-Serrato, Noncommitted delegate"
Archuleta,President of the United States - REP,"Vivek Ramaswamy, Asa Hutchinson, Nikki Haley, Ron DeSantis, Chris Christie, Ryan L Binkley, Donald J. Trump, Rachel Hannah ""Mohawk"" Swift, Walter Iwachiw"
Baca,Baca - President of the United States - DEM,"Jason Michael Palmer, Gabriel Cornejo, Frankie Lozada, Dean Phillips, Stephen P Lyons, Marianne Williamson, Joseph R Biden Jr, Armando ""Mando"" Perez-Serrato, Noncommitted delegate"
Baca,President of the United States - REP,"Vivek Ramaswamy, Asa Hutchinson, Nikki Haley, Ron DeSantis, Chris Christie, Ryan L Binkley, Donald J. Trump, Rachel Hannah ""Mohawk"" Swift, Walter Iwachiw"
Bent,Bent - President of the United States - DEM,"Jason Michael Palmer, Gabriel Cornejo, Frankie Lozada, Dean Phillips, Stephen P Lyons, Marianne Williamson, Joseph R Biden Jr, Armando ""Mando"" Perez-Serrato, Noncommitted delegate"
