contest_name,choice,votes
Adams - President of the United States - DEM,Joseph R Biden Jr,29725
Adams - President of the United States - DEM,Noncommitted delegate,3626
Adams - President of the United States - DEM,Marianne Williamson,1336
Adams - President of the United States - DEM,Dean Phillips,1255
Adams - President of the United States - DEM,Gabriel Cornejo,490
Adams - President of the United States - DEM,Jason Michael Palmer,431
Adams - President of the United States - DEM,"Armando ""Mando"" Perez-Serrato",326
Adams - President of the United States - DEM,Frankie Lozada,254
Adams - President of the United States - DEM,Stephen P Lyons,168
Alamosa - President of the United States - DEM,Joseph R Biden Jr,1074
Alamosa - President of the United States - DEM,Noncommitted delegate,110
Alamosa - President of the United States - DEM,Marianne Williamson,47
Alamosa - President of the United States - DEM,Dean Phillips,32
Alamosa - President of the United States - DEM,"Armando ""Mando"" Perez-Serrato",26
Alamosa - President of the United States - DEM,Jason Michael Palmer,15
Alamosa - President of the United States - DEM,Frankie Lozada,11
Alamosa - President of the United States - DEM,Gabriel Cornejo,10
Alamosa - President of the United States - DEM,Stephen P Lyons,5
Arapahoe - President of the United States - DEM,Joseph R Biden Jr,51512
Arapahoe - President of the United States - DEM,Noncommitted delegate,5465
Arapahoe - President of the United States - DEM,Dean Phillips,1835
Arapahoe - President of the United States - DEM,Marianne Williamson,1572
Arapahoe - President of the United States - DEM,Gabriel Cornejo,503
Arapahoe - President of the United States - DEM,Jason Michael Palmer,454
Arapahoe - President of the United States - DEM,Frankie Lozada,280
Arapahoe - President of the United States - DEM,"Armando ""Mando"" Perez-Serrato",247
Arapahoe - President of the United States - DEM,Stephen P Lyons,193
Archuleta - President of the United States - DEM,Joseph R Biden Jr,1266
Archuleta - President of the United States - DEM,Noncommitted delegate,88
Archuleta - President of the United States - DEM,Marianne Williamson,44
Archuleta - President of the United States - DEM,Dean Phillips,41
Archuleta - President of the United States - DEM,Jason Michael Palmer,7
Archuleta - President of the United States - DEM,Stephen P Lyons,6
Archuleta - President of the United States - DEM,"Armando ""Mando"" Perez-Serrato",5
Archuleta - President of the United States - DEM,Frankie Lozada,2
Archuleta - President of the United States - DEM,Gabriel Cornejo,2
Baca - President of the United States - DEM,Joseph R Biden Jr,99
Baca - President of the United States - DEM,Noncommitted delegate,27
Baca - President of the United States - DEM,Marianne Williamson,10
Baca - President of the United States - DEM,Dean Phillips,8
Baca - President of the United States - DEM,Jason Michael Palmer,5
Baca - President of the United States - DEM,Frankie Lozada,2
Baca - President of the United States - DEM,"Armando ""Mando"" Perez-Serrato",1
Baca - President of the United States - DEM,Stephen P Lyons,1
Baca - President of the United States - DEM,Gabriel Cornejo,0
Bent - President of the United States - DEM,Joseph R Biden Jr,227
Bent - President of the United States - DEM,Noncommitted delegate,45
Bent - President of the United States - DEM,Marianne Williamson,7
Bent - President of the United States - DEM,Dean Phillips,7
Bent - President of the United States - DEM,"Armando ""Mando"" Perez-Serrato",6
Bent - President of the United States - DEM,Stephen P Lyons,5
Bent - President of the United States - DEM,Frankie Lozada,3
Bent - President of the United States - DEM,Jason Michael Palmer,2
Bent - President of the United States - DEM,Gabriel Cornejo,1
Boulder - President of the United States - DEM,Joseph R Biden Jr,48565
Boulder - President of the United States - DEM,Noncommitted delegate,5315
Boulder - President of the United States - DEM,Marianne Williamson,1613
Boulder - President of the United States - DEM,Dean Phillips,1608
Boulder - President of the United States - DEM,Gabriel Cornejo,325
Boulder - President of the United States - DEM,Jason Michael Palmer,223
Boulder - President of the United States - DEM,Frankie Lozada,159
Boulder - President of the United States - DEM,"Armando ""Mando"" Perez-Serrato",140
Boulder - President of the United States - DEM,Stephen P Lyons,71
Broomfield - President of the United States - DEM,Joseph R Biden Jr,8440
Broomfield - President of the United States - DEM,Noncommitted delegate,853
Broomfield - President of the United States - DEM,Dean Phillips,317
Broomfield - President of the United States - DEM,Marianne Williamson,281
Broomfield - President of the United States - DEM,Gabriel Cornejo,58
Broomfield - President of the United States - DEM,Jason Michael Palmer,57
Broomfield - President of the United States - DEM,Frankie Lozada,29
