County,Tabulator ID,Batch,# of Ballot Cards,Location,,,,,,,,,,,,,,,,
Eagle,101,55,25,3,,,,,,,,,,,,,,,,
Eagle,101,56,25,3,,,,,,,,,,,,,,,,
Eagle,101,57,25,3,,,,,,,,,,,,,,,,
Eagle,101,58,25,3,,,,,,,,,,,,,,,,
Eagle,101,59,25,3,,,,,,,,,,,,,,,,
Eagle,101,60,25,3,,,,,,,,,,,,,,,,
Eagle,101,61,25,3,,,,,,,,,,,,,,,,
Eagle,101,62,25,3,,,,,,,,,,,,,,,,
Eagle,101,63,25,3,,,,,,,,,,,,,,,,
Eagle,101,64,25,3,,,,,,,,,,,,,,,,
Eagle,101,65,25,3,,,,,,,,,,,,,,,,
Eagle,101,66,25,3,,,,,,,,,,,,,,,,
Eagle,101,67,25,3,,,,,,,,,,,,,,,,
Eagle,101,68,25,4,,,,,,,,,,,,,,,,
Eagle,101,69,25,4,,,,,,,,,,,,,,,,
Eagle,101,70,25,4,,,,,,,,,,,,,,,,
Eagle,101,71,25,4,,,,,,,,,,,,,,,,
Eagle,101,72,25,4,,,,,,,,,,,,,,,,
Eagle,101,73,25,4,,,,,,,,,,,,,,,,
Eagle,101,74,25,4,,,,,,,,,,,,,,,,
Eagle,101,75,25,4,,,,,,,,,,,,,,,,
Eagle,101,76,25,4,,,,,,,,,,,,,,,,
Eagle,101,77,25,4,,,,,,,,,,,,,,,,
Eagle,101,78,25,4,,,,,,,,,,,,,,,,
Eagle,101,79,25,4,,,,,,,,,,,,,,,,
Eagle,101,80,25,4,,,,,,,,,,,,,,,,
Eagle,101,81,25,4,,,,,,,,,,,,,,,,
Eagle,101,82,25,4,,,,,,,,,,,,,,,,
Eagle,101,83,25,4,,,,,,,,,,,,,,,,
Eagle,101,84,25,4,,,,,,,,,,,,,,,,
Eagle,101,85,25,4,,,,,,,,,,,,,,,,
Eagle,101,86,25,4,,,,,,,,,,,,,,,,
Eagle,101,87,25,4,,,,,,,,,,,,,,,,
Eagle,101,88,25,4,,,,,,,,,,,,,,,,
Eagle,101,89,25,5,,,,,,,,,,,,,,,,
Eagle,101,90,25,5,,,,,,,,,,,,,,,,
Eagle,101,91,25,5,,,,,,,,,,,,,,,,
Eagle,101,92,25,5,,,,,,,,,,,,,,,,
Eagle,101,93,25,5,,,,,,,,,,,,,,,,
Eagle,101,94,25,5,,,,,,,,,,,,,,,,
Eagle,101,95,25,5,,,,,,,,,,,,,,,,
Eagle,101,96,25,5,,,,,,,,,,,,,,,,
Eagle,101,97,25,5,,,,,,,,,,,,,,,,
Eagle,101,98,25,5,,,,,,,,,,,,,,,,
Eagle,101,99,25,5,,,,,,,,,,,,,,,,
Eagle,101,100,25,5,,,,,,,,,,,,,,,,
Eagle,101,101,25,5,,,,,,,,,,,,,,,,
Eagle,101,102,25,5,,,,,,,,,,,,,,,,
Eagle,101,103,25,5,,,,,,,,,,,,,,,,
Eagle,101,104,25,5,,,,,,,,,,,,,,,,
Eagle,101,105,25,5,,,,,,,,,,,,,,,,
Eagle,101,106,25,5,,,,,,,,,,,,,,,,
Eagle,101,107,25,5,,,,,,,,,,,,,,,,
Eagle,101,108,25,5,,,,,,,,,,,,,,,,
Eagle,101,109,25,5,,,,,,,,,,,,,,,,
Eagle,101,110,25,5,,,,,,,,,,,,,,,,
Eagle,101,111,25,6,,,,,,,,,,,,,,,,
Eagle,101,112,25,6,,,,,,,,,,,,,,,,
Eagle,101,113,25,6,,,,,,,,,,,,,,,,
Eagle,101,114,25,6,,,,,,,,,,,,,,,,
Eagle,101,115,25,6,,,,,,,,,,,,,,,,
Eagle,101,116,25,6,,,,,,,,,,,,,,,,
Eagle,101,117,25,6,,,,,,,,,,,,,,,,
Eagle,101,118,25,6,,,,,,,,,,,,,,,,
Eagle,101,119,25,6,,,,,,,,,,,,,,,,
Eagle,101,120,25,6,,,,,,,,,,,,,,,,
Eagle,101,121,25,6,,,,,,,,,,,,,,,,
Eagle,101,122,25,6,,,,,,,,,,,,,,,,
