Contest name,City of Fort Collins Councilmember - District 3
Candidates,"Josh Fudge,Lance Smith,Steve Yurash"
Winner,Josh Fudge
Total universe,191186
Risk limit,0.03000000

Extreme item,Value,Assertion IDs
Margin,2279,"1"
Diluted margin,0.01192033,"1"
Raire difficulty,83.89030276437033,"1"
Current risk,1.00000000,"1, 2, 3"
Optimistic samples to audit,612,"1"
Estimated samples to audit,612,"1"

ID,Type,Winner,Loser,Assumed continuing,Difficulty,Margin,Diluted margin,Risk,Estimated samples to audit,Optimistic samples to audit,Two vote over count,One vote over count,Other discrepancy count,One vote under count,Two vote under count
1,NEN,Josh Fudge,Lance Smith,"Josh Fudge,Lance Smith",83.8903,2279,0.0119,1.00000000,612,612,0,0,0,0,0
2,NEN,Josh Fudge,Steve Yurash,"Josh Fudge,Steve Yurash",80.4316,2377,0.0124,1.00000000,587,587,0,0,0,0,0
3,NEN,Josh Fudge,Lance Smith,"Josh Fudge,Lance Smith,Steve Yurash",77.2469,2475,0.0129,1.00000000,563,563,0,0,0,0,0


Notes,"Optimistic and Estimated sample sizes will show zero if sample size estimation has not been run. If they still show zero after running sample size estimation, it means the contest is not auditable."
,"For cross-county non-targeted contests, colorado-rla does not guarantee a uniform sample. In this case, the risk value is not meaningful. Risk values for targeted contests and single-county contests are accurate."
,"Non-targeted contests may have high apparent risks simply because there were not many samples of that contest---they are not expected to meet the risk limit."
