Contest name,City of Fort Collins Councilmember - District 1
Candidates,"Chris Conway,Susan Gutowsky,Daisy Montgomery"
Winner,Chris Conway
Total universe,191186
Risk limit,0.03000000

Extreme item,Value,Assertion IDs
Margin,2079,"2"
Diluted margin,0.01087423,"2"
Raire difficulty,91.96055796055796,"2"
Current risk,1.00000000,"1, 2"
Optimistic samples to audit,671,"2"
Estimated samples to audit,671,"2"

ID,Type,Winner,Loser,Assumed continuing,Difficulty,Margin,Diluted margin,Risk,Estimated samples to audit,Optimistic samples to audit,Two vote over count,One vote over count,Other discrepancy count,One vote under count,Two vote under count
1,NEB,Chris Conway,Daisy Montgomery,,76.936,2485,0.013,1.00000000,561,561,0,0,0,0,0
2,NEN,Chris Conway,Susan Gutowsky,"Chris Conway,Susan Gutowsky",91.9606,2079,0.0109,1.00000000,671,671,0,0,0,0,0


Notes,"Optimistic and Estimated sample sizes will show zero if sample size estimation has not been run. If they still show zero after running sample size estimation, it means the contest is not auditable."
,"For cross-county non-targeted contests, colorado-rla does not guarantee a uniform sample. In this case, the risk value is not meaningful. Risk values for targeted contests and single-county contests are accurate."
,"Non-targeted contests may have high apparent risks simply because there were not many samples of that contest---they are not expected to meet the risk limit."
