CountyName,ContestName,ContestChoices
Adams,Adams County Assessor - DEM,Ken Musso
Adams,Adams County Assessor - REP,Hieu Truong Nguyen
Adams,Adams County Clerk and Recorder - DEM,Josh Zygielbaum
Adams,Adams County Clerk and Recorder - REP,Karen Hoopes
Adams,Adams County Commissioner - District 3 - DEM,Emma Pinter
Adams,Adams County Commissioner - District 3 - REP,Sean Forest
Adams,Adams County Commissioner - District 4 - DEM,Steve O'Dorisio
Adams,Adams County Commissioner - District 4 - REP,Joseph P Domenico
Adams,Adams County Coroner - DEM,Monica Broncucia-Jordan
Adams,Adams County Coroner - REP,Zach Archer
Adams,Adams County Sheriff - DEM,"Rick Reigenborn, Gene Claps"
Adams,Adams County Sheriff - REP,"Mike ""Mac"" McIntosh"
Adams,Adams County Surveyor - REP,Ernie Trujillo
Adams,Adams County Treasurer - DEM,Alex Villagran
Adams,Adams County Treasurer - REP,Stan Martin
Adams,Attorney General - DEM,Phil Weiser
Adams,Attorney General - REP,John Kellner
Adams,Governor - DEM,Jared Polis
Adams,Governor - REP,"Greg Lopez, Heidi Ganahl"
Adams,Regent of the University of Colorado - Congressional District 4 - DEM,Jack Barrington
Adams,Regent of the University of Colorado - Congressional District 4 - REP,Frank McNulty
Adams,Regent of the University of Colorado - Congressional District 8 - DEM,"Yolanda Ortega, Rosanna Reyes"
Adams,Regent of the University of Colorado - Congressional District 8 - REP,"Eric Rinard, Mark VanDriel"
Adams,Representative to the 118th United States Congress - District 4 - DEM,Ike McCorkle
Adams,Representative to the 118th United States Congress - District 4 - REP,"Robert Lewis, Ken Buck"
Adams,Representative to the 118th United States Congress - District 6 - DEM,Jason Crow
Adams,Representative to the 118th United States Congress - District 6 - REP,Steven Monahan
Adams,Representative to the 118th United States Congress - District 7 - DEM,Brittany Pettersen
Adams,Representative to the 118th United States Congress - District 7 - REP,"Erik Aadland, Laurel Imer, Tim Reichert"
Adams,Representative to the 118th United States Congress - District 8 - DEM,Yadira Caraveo
Adams,Representative to the 118th United States Congress - District 8 - REP,"Lori A. Saine, Jan Kulmann, Barbara Kirkmeyer, Tyler Allcorn"
Adams,Secretary of State - DEM,Jena Griswold
Adams,Secretary of State - REP,"Tina Peters, Mike O'Donnell, Pam Anderson"
Adams,State Board of Education Member - At Large - DEM,Kathy Plomer
Adams,State Board of Education Member - At Large - REP,Dan Maloit
Adams,State Board of Education Member - Congressional District 6 - DEM,Rebecca McClellan
Adams,State Board of Education Member - Congressional District 6 - REP,Molly Lamar
Adams,State Board of Education Member - Congressional District 8 - DEM,Rhonda Solis
Adams,State Board of Education Member - Congressional District 8 - REP,"Peggy Propst, Cody M. LeBlanc"
Adams,State Representative - District 24 - DEM,Lindsey N. Daugherty
Adams,State Representative - District 24 - REP,Bill Patterson
Adams,State Representative - District 29 - DEM,Shannon Bird
Adams,State Representative - District 29 - REP,Vanessa DeMott
Adams,State Representative - District 31 - DEM,Said Sharbini
Adams,State Representative - District 31 - REP,Heidi Pitchforth
Adams,State Representative - District 32 - DEM,Dafna Michaelson Jenet
Adams,State Representative - District 32 - REP,Justin Brown
Adams,State Representative - District 33 - DEM,William Lindstedt
Adams,State Representative - District 33 - REP,Stacie Dougherty
Adams,State Representative - District 34 - DEM,"Jenny Willford, Sam Nizam"
Adams,State Representative - District 34 - REP,Kevin Allen
Adams,State Representative - District 35 - DEM,Adrienne Benavidez
Adams,State Representative - District 35 - REP,Craig Jones
Adams,State Representative - District 36 - DEM,Mike Weissman
Adams,State Representative - District 36 - REP,William Walters
Adams,State Representative - District 48 - DEM,Spring Erickson
Adams,State Representative - District 48 - REP,"Gabe Evans, Terry Lee Robert DeGroot"
Adams,State Representative - District 56 - DEM,Kathleen J. Conway
Adams,State Representative - District 56 - REP,Rod Bockenfeld
Adams,State Senator - District 24 - DEM,Kyle Mullica
Adams,State Senator - District 24 - REP,Courtney Potter
Adams,State Senator - District 25 - DEM,Faith Winter
Adams,State Senator - District 25 - REP,Melody Peotter
Adams,State Treasurer - DEM,Dave Young
Adams,State Treasurer - REP,Lang Sias
Adams,United States Senator - DEM,Michael Bennet
Adams,Adams County - United States Senator - REP,"Ron Hanks, Joe O'Dea, Daniel Hendricks"
Alamosa,Alamosa County Assessor - REP,Sandra J. Hostetter
Alamosa,Alamosa County Clerk and Recorder - DEM,Nicole Jaramillo
Alamosa,Alamosa County Clerk and Recorder - REP,Mari Felix
Alamosa,Alamosa County Commissioner - District 2 - REP,"Arlan Van Ry, Tom Maestas"
Alamosa,Alamosa County Coroner - REP,Joe Dzuris
Alamosa,Alamosa County Sheriff - DEM,Robert Jackson
Alamosa,Alamosa County Surveyor - REP,Daniel M. Russell
Alamosa,Alamosa County Treasurer - REP,Amy McKinley
Alamosa,Attorney General - DEM,Phil Weiser
