contest_name,choice,votes
Adams County Assessor - DEM,Ken Musso,33068
Adams County Assessor - REP,Hieu Truong Nguyen,26733
Adams County Clerk and Recorder - DEM,Josh Zygielbaum,33520
Adams County Clerk and Recorder - REP,Karen Hoopes,27408
Adams County Commissioner - District 3 - DEM,Emma Pinter,33323
Adams County Commissioner - District 3 - REP,Sean Forest,27343
Adams County Commissioner - District 4 - DEM,Steve O'Dorisio,33079
Adams County Commissioner - District 4 - REP,Joseph P Domenico,27349
Adams County Coroner - DEM,Monica Broncucia-Jordan,33585
Adams County Coroner - REP,Zach Archer,27289
Adams County Sheriff - DEM,Gene Claps,19264
Adams County Sheriff - DEM,Rick Reigenborn,14951
Adams County Sheriff - REP,"Mike ""Mac"" McIntosh",27982
Adams County Surveyor - REP,Ernie Trujillo,27138
Adams County Treasurer - DEM,Alex Villagran,33021
Adams County Treasurer - REP,Stan Martin,27386
Adams County - United States Senator - REP,Joe O'Dea,18092
Adams County - United States Senator - REP,Ron Hanks,15715
Adams County - United States Senator - REP,Daniel Hendricks,22
Alamosa County Assessor - REP,Sandra J. Hostetter,1621
Alamosa County Clerk and Recorder - DEM,Nicole Jaramillo,1153
Alamosa County Clerk and Recorder - REP,Mari Felix,1427
Alamosa County Commissioner - District 2 - REP,Arlan Van Ry,1273
Alamosa County Commissioner - District 2 - REP,Tom Maestas,584
Alamosa County Coroner - REP,Joe Dzuris,224
Alamosa County Coroner - REP,Write In,0
Alamosa County Sheriff - DEM,Robert Jackson,1157
Alamosa County Surveyor - REP,Daniel M. Russell,1585
Alamosa County Treasurer - REP,Amy McKinley,1601
Arapahoe County Assessor - DEM,PK Kaiser,53538
Arapahoe County Assessor - REP,Bob Andrews,43731
Arapahoe County Clerk and Recorder - DEM,Joan Lopez,54905
Arapahoe County Clerk and Recorder - REP,Caroline Cornell,43836
Arapahoe County Commissioner - District 2 - DEM,Jessica Campbell-Swanson,10961
Arapahoe County Commissioner - District 2 - REP,Mark Gotto,6466
Arapahoe County Commissioner - District 2 - REP,Jason Presley,5732
Arapahoe County Commissioner - District 4 - DEM,Leslie Summey,5727
Arapahoe County Commissioner - District 4 - DEM,Regina Edmondson,5518
Arapahoe County Commissioner - District 4 - REP,Bob Roth,6519
Arapahoe County Coroner - DEM,Kelly C. Lear,53840
Arapahoe County Coroner - REP,Ron Bouchard,43275
Arapahoe County Sheriff - DEM,Tyler Scott Brown,53365
Arapahoe County Sheriff - REP,Kevin S. Edling,44035
Arapahoe County - State Senator - District 27 - REP,Tom Kim,10793
Arapahoe County - State Senator - District 27 - REP,JulieMarie A. Shepherd Macklin,4468
Arapahoe County Treasurer - DEM,Michael Roger Westerberg,53061
Arapahoe County Treasurer - REP,Marsha Berzins,43745
Archuleta County Assessor - REP,Johanna Tully-Elliott,2604
Archuleta County Clerk and Recorder - REP,Kristy Archuleta,2744
Archuleta County Commissioner District 3 - REP,Veronica Medina,1883
Archuleta County Commissioner District 3 - REP,Alvin Schaaf,1616
Archuleta County Coroner - REP,Brandon L. Bishop,2614
Archuleta County Sheriff - REP,Mike Le Roux,2243
Archuleta County Sheriff - REP,Boyd Neagle,1317
Archuleta County Treasurer - REP,Elsa P. White,2686
Attorney General - DEM,Phil Weiser,503958
Attorney General - REP,John Kellner,504537
Baca County Assessor - REP,Gayla J. Thompson ,907
Baca County Clerk and Recorder - DEM,Sharon Dubois ,167
Baca County Commissioner - 2 - DEM,James Dubois,140
Baca County Commissioner - 2 - REP,Shiloh Freed,801
Baca County Coroner - DEM,Robert Morrow ,159
Baca County Sheriff - REP,Aaron Mack Shiplett,548
Baca County Sheriff - REP,Mike Smith,304
Baca County Sheriff - REP,Larry Forgey,282
Baca County Treasurer - REP,Jozy Stegman ,924
Bent County Assessor - DEM,Guy F Wagner,240
Bent County Clerk and Recorder - DEM,Lynda G Moss,255
Bent County Commissioner - District 2 - DEM,Ross Stotz,210
Bent County Commissioner - District 2 - REP,Alan Stump,434
Bent County Commissioner - District 2 - REP,John M Spano,294
Bent County Coroner - REP,Jason Nichols,632
Bent County Sheriff - REP,Jake R Six,559
Bent County Treasurer - REP,Kathy Brown,644
Boulder County Assessor - DEM,Cynthia Braddock,51661
Boulder County Clerk and Recorder - DEM,Molly Fitzpatrick,52595
Boulder County Commissioner - District 3 - DEM,Ashley Stolzmann,27870
Boulder County Commissioner - District 3 - DEM,Elaina Shively,27802
Boulder County Coroner - DEM,Emma R. Hall,51776
Boulder County Sheriff - DEM,Curtis Johnson,39295
Boulder County Sheriff - DEM,David D. Hayes,16133
Boulder County Surveyor - DEM,Lee Stadele,51374
Boulder County Treasurer - DEM,Paul Weissmann,52164
Boulder County - United States Senator - REP,Joe O'Dea,12388
Boulder County - United States Senator - REP,Ron Hanks,8094
Boulder County - United States Senator - REP,Daniel Hendricks,17
Broomfield County - United States Senator - REP,Joe O'Dea,5087
Broomfield County - United States Senator - REP,Ron Hanks,3009
Broomfield County - United States Senator - REP,Daniel Hendricks,6
Chaffee County Clerk and Recorder - DEM,Lori Mitchell,2589
Chaffee County Commissioner - District 3 - DEM,P.T. Wood,2357
Chaffee County Commissioner - District 3 - REP,Brandon Becker,1674
Chaffee County Commissioner - District 3 - REP,Alison Brown,1398
Chaffee County Coroner - DEM,Jeff Graf,2409
Chaffee County Sheriff - REP,John Spezze,2626
Chaffee County Treasurer - REP,"Delores ""Dee Dee"" Copper",2517
Cheyenne County Assessor - REP,Lacey Welsh,410
Cheyenne County Clerk and Recorder - REP,Allison Brown,447
Cheyenne County Commissioner - District 2 - REP,Ronald R. Smith,403
Cheyenne County Coroner - REP,Raymond Dean Kern,437
Cheyenne County Sheriff - REP,Michael L. Buchanan,445
Cheyenne County Treasurer - REP,Gaila Mitchek,457
Cheyenne County - United States Senator - REP,Ron Hanks,280
Cheyenne County - United States Senator - REP,Joe O'Dea,186
Cheyenne County - United States Senator - REP,Daniel Hendricks,3
Clear Creek County Assessor - REP,Donna A Gee,880
Clear Creek County Clerk and Recorder - REP,Brenda L Corbett,901
Clear Creek County Commissioner - District 1 - DEM,George Marlin,1010
Clear Creek County Coroner - REP,Chris Hegmann,896
Clear Creek County Sheriff - DEM,Rick Albers,1023
Clear Creek County Surveyor - DEM,Gary Faselt,1009
Clear Creek County Treasurer - DEM,Carol Lee,1016
Clear Creek County - United States Senator - REP,Joe O'Dea,672
Clear Creek County - United States Senator - REP,Ron Hanks,453
Clear Creek County - United States Senator - REP,Daniel Hendricks,0
Conejos County Assessor - DEM,Naomi Martinez-Keys ,868
Conejos County Clerk and Recorder - DEM,Nathan Ruybal ,859
Conejos County Commissioner District 2 - REP,Mitchell Jarvies ,981
Conejos County Coroner - REP,Richard A. Martin,952
Conejos County - Representative to the 118th United States Congress - District 3 - DEM,Soledad Sandoval Tafoya,509
Conejos County - Representative to the 118th United States Congress - District 3 - DEM,Adam Frisch,266
Conejos County - Representative to the 118th United States Congress - District 3 - DEM,Alex Walker,71
Conejos County Sheriff - DEM,Martin Maez,764
Conejos County Sheriff - REP,Garth Crowther ,964
Conejos County - State Representative - District 62 - REP,Carol Riggenbach,573
Conejos County - State Representative - District 62 - REP,Ryan G. Williams,459
Conejos County Surveyor - REP,Martin Reynolds ,971
Conejos County Treasurer - REP,Mack M. Crowther ,1003
Costilla County Assessor - DEM,Thomas Aragon,749
Costilla County Clerk and Recorder - DEM,Najondine T. Placek,834
Costilla County Commissioner District 2 - DEM,"Lorraine A. ""Lorrie"" Quintana",438
Costilla County Commissioner District 2 - DEM,Fernando A. Martinez,343
Costilla County Commissioner District 2 - DEM,Jake Mondragon,228
Costilla County Coroner - DEM,Gary Roy Vigil,830
Costilla County Sheriff - DEM,Danny R. Sanchez,767
Costilla County Treasurer - DEM,Michael Ray Vigil,464
Costilla County Treasurer - DEM,Benita Martinez,342
Costilla County Treasurer - DEM,"Rebecca ""Becky"" Romero",202
Crowley County Assessor - REP,Douglas K England,714
Crowley County Clerk and Recorder - REP,"Melinda ""Mindy"" Carter",720
Crowley County Commissioner - District 1 - REP,Roy Elliott,650
Crowley County Coroner - REP,Gary Gibson,692
Crowley County Sheriff - REP,Terry Reeves,604
Crowley County Sheriff - REP,Brandon Reisch,181
Crowley County Treasurer - REP,Holly McCuistion,709
Crowley County - United States Senator - REP,Ron Hanks,431
Crowley County - United States Senator - REP,Joe O'Dea,327
Crowley County - United States Senator - REP,Daniel Hendricks,0
Custer County Assessor - REP,J.D. Henrich,1675
Custer County Clerk and Recorder - REP,Kelley S. Camper,1771
Custer County Commissioner - District 1 - REP,William R. (Bill) Canda,1339
Custer County Coroner - REP,Bradford Lewis Baltzly,1102
Custer County Coroner - REP,Vernon Roth,942
Custer County Sheriff - REP,Lloyd Rich Smith,1185
Custer County Sheriff - REP,Brandon Schoch,914
Custer County Treasurer - REP,Virginia Trujillo,1640
Delta County Assessor - REP,Jolene George,5850
Delta County Clerk and Recorder - REP,Teri A. Stephenson,6170
Delta County Commissioner - District 1 - DEM,Dick Gilmore,1736
Delta County Commissioner - District 1 - REP,Mike Lane,5900
Delta County Coroner - REP,Lance B. Boren,6005
Delta County Sheriff - REP,Mark Taylor,6207
Delta County Treasurer - REP,Lisa J. Tafoya,5955
