county_name,scanner_id,batch_id,count_per_manifest,count_per_cvr_file,difference
Boulder,1,1,147,147,0
Boulder,1,10,148,148,0
Boulder,1,100,148,148,0
Boulder,1,101,146,146,0
Boulder,1,102,150,150,0
Boulder,1,103,150,150,0
Boulder,1,104,150,150,0
Boulder,1,105,148,148,0
Boulder,1,106,146,146,0
Boulder,1,107,147,147,0
Boulder,1,108,146,146,0
Boulder,1,109,146,146,0
Boulder,1,11,151,151,0
Boulder,1,110,148,148,0
Boulder,1,111,149,149,0
Boulder,1,112,150,150,0
Boulder,1,113,150,150,0
Boulder,1,114,148,148,0
Boulder,1,115,150,150,0
Boulder,1,116,148,148,0
Boulder,1,118,1700,1700,0
Boulder,1,119,9,9,0
Boulder,1,12,147,147,0
Boulder,1,13,149,149,0
Boulder,1,14,148,148,0
Boulder,1,15,147,147,0
Boulder,1,16,148,148,0
Boulder,1,17,149,149,0
Boulder,1,18,149,149,0
Boulder,1,19,150,150,0
Boulder,1,2,145,145,0
Boulder,1,20,150,150,0
Boulder,1,21,150,150,0
Boulder,1,22,150,150,0
Boulder,1,23,147,147,0
Boulder,1,24,149,149,0
Boulder,1,25,149,149,0
Boulder,1,26,146,146,0
Boulder,1,27,150,150,0
Boulder,1,28,149,149,0
Boulder,1,29,150,150,0
Boulder,1,3,148,148,0
Boulder,1,30,149,149,0
Boulder,1,31,149,149,0
Boulder,1,32,149,149,0
Boulder,1,33,150,150,0
Boulder,1,34,149,149,0
Boulder,1,35,150,150,0
Boulder,1,36,146,146,0
Boulder,1,37,149,149,0
Boulder,1,38,150,150,0
Boulder,1,39,150,150,0
Boulder,1,4,148,148,0
Boulder,1,40,150,150,0
Boulder,1,41,149,149,0
Boulder,1,42,147,147,0
Boulder,1,43,148,148,0
Boulder,1,44,150,150,0
Boulder,1,45,147,147,0
Boulder,1,46,149,149,0
Boulder,1,47,149,149,0
Boulder,1,48,148,148,0
Boulder,1,49,150,150,0
Boulder,1,5,145,145,0
Boulder,1,50,148,148,0
Boulder,1,51,150,150,0
Boulder,1,52,149,149,0
Boulder,1,53,150,150,0
Boulder,1,54,149,149,0
Boulder,1,55,148,148,0
Boulder,1,56,148,148,0
Boulder,1,57,148,148,0
Boulder,1,58,150,150,0
Boulder,1,59,148,148,0
Boulder,1,6,148,148,0
Boulder,1,60,149,149,0
Boulder,1,61,149,149,0
Boulder,1,62,150,150,0
Boulder,1,63,150,150,0
Boulder,1,64,150,150,0
Boulder,1,65,149,149,0
Boulder,1,66,147,147,0
Boulder,1,67,150,150,0
Boulder,1,68,150,150,0
Boulder,1,69,150,150,0
Boulder,1,7,149,149,0
Boulder,1,70,150,150,0
Boulder,1,71,150,150,0
Boulder,1,72,150,150,0
Boulder,1,73,150,150,0
Boulder,1,74,149,149,0
Boulder,1,75,150,150,0
Boulder,1,76,149,149,0
Boulder,1,77,150,150,0
Boulder,1,78,150,150,0
Boulder,1,79,150,150,0
Boulder,1,8,148,148,0
Boulder,1,80,147,147,0
Boulder,1,81,149,149,0
Boulder,1,82,149,149,0
Boulder,1,83,150,150,0
Boulder,1,84,147,147,0
Boulder,1,85,149,149,0
Boulder,1,86,148,148,0
Boulder,1,87,150,150,0
Boulder,1,88,150,150,0
Boulder,1,89,149,149,0
Boulder,1,9,147,147,0
Boulder,1,90,150,150,0
Boulder,1,91,150,150,0
Boulder,1,92,149,149,0
Boulder,1,93,148,148,0
Boulder,1,94,150,150,0
Boulder,1,95,146,146,0
Boulder,1,96,149,149,0
Boulder,1,97,150,150,0
