county_name,ballot_manifest_hash
Adams,3188D89FAC90B6E21A5C64AD4306C8BBB4F36DB1F9DAFA716D5A8C5C28A34B9C
Alamosa,49876BE58BBB2AF09D003B622D43BC255B6304BE3525665DADDDC56996666DE4
Arapahoe,AAD15EA14CD134A65C9BE4E8B9C90796211CD54F472E8B97E6936DE353F99523
Archuleta,52B30F2AFE0A41B375226758144465E9FDF35F72A02525E75A3B40EAB3569176
Baca,DDBDF2881C4330071BD50B3C1A2DF3F0F2C9319A98160D1201FB61CB944E43A0
Bent,4CC02ED64E31D2E83755E776BFC04A420E3D9E190C36D8B1ED795579AA305BBD
Boulder,2D8D96FC88D654187217391608CDA046F5082CF181FCCA019DD40216E4BD38C8
Broomfield,46D366A1FB752599AE4BC44141A61A017ECD9FFF722DFC42DC09AE9BD99C55C5
Chaffee,F1064ACBEA09DF3FDF5CAF63B4025EDA5B6772E39E4FF7BFBAC757812ECD06B9
Cheyenne,
Clear Creek,E283CCD62538B3A21D0EF2B6DE33B6C72DD6CD66FE1D554D03973090DA70E176
Conejos,2106E1FD418195E2BA0BB396006A512244CC5F970C0DA8568ACAEE7ACF34D7C1
Costilla,4871C0308773E5219BA8CF6E1BCDB2E5FA55C349AD2D9C5219002BE89B68B611
Crowley,368E1DB57DB95CFBA43B0C1D6E14E13AF6B8DDE804CE0FE4022E5082811DABC7
Custer,
Delta,2A6E95E32F252C96C971764C58C7175FF691DE11AF13844B064A6FD07906037D
Denver,9C9665C01268724AC980C0312D640E56D1D191C017C93129C018F4B4EBA4CDD9
Dolores,
Douglas,
Eagle,4494EE550D7062C4075694C78E769A2E2DB19FFB621AFC98018FF47EF4C752F6
Elbert,057224E25D8EDF75CF34B8E6BB5F1F020301D75E96E4F353B5EDC560DB5B5D91
El Paso,63300BD2C827D39689DBEC128ED835D96D3076369AD7E0FDA2E6ED92E7307705
Fremont,E554EECC7FE8A14E1E0E134378D7424F9CEBAE8D0BD80835D6E8F96BE74CA7EE
Garfield,
Gilpin,BE0155218D3F04E415720A87CA9C00ED5ABECB783092FA68DEEE6EC225AE842B
Grand,
Gunnison,6A36119727DB9630777F3066423CF516DAB2D11CFFF73991BAC6FCD291C17E0E
Hinsdale,
Huerfano,7FD61A3A70AC4A7E8CB0B60518B0FD80987CF4759B4A9C561DD5DE10BB85A88B
Jackson,
Jefferson,72E701950961BB9C42A3966F0B0D5135A34B941056F704EE019F687E7CFA8F0B
Kiowa,2DB2A89F3802AC5179C470746967ACECD677AED6C511D542860C3BCE40FA9DB0
Kit Carson,ADDCB81D04225EADF4BEE10FE141673BA6FB8A641E6855E975998D7F2242552C
Lake,A3C4B65C7E2F1BE50DD9B2FE221EF9689B49E1B50B5110B502638C0FE24C2624
La Plata,D2A06BE441717BFC2541188C9D71D0F6C7D03DF596F475A58F7868038E32673B
Larimer,366451D7ABCDA6CD1CCB659AA8FDB6A09F7A6FFBBD3D3796B649F8099F38E7A2
Las Animas,
Lincoln,2FE160838A834CA1D71D6BA70E96CF192ABC668E8EDA876FD239DD749334CF7C
Logan,B01D62508ADCDD439C2E142482A26495ED12E1CA4160EB622A1F277AB40EA42D
Mesa,54A3169301EAA69ECE97F46362C4A4550D98139984ECDDCA1EBF0BC56F4E05AC
Mineral,
Moffat,0C33D0188B3C69088B6FCAAF997E85677A6D4BA38197A6E7CE725BD45CC9DC9C
Montezuma,8BFDCF97B38034BF5942AD6B14241ABD43ADCCD356A57388DA73C250C523617A
Montrose,
Morgan,976F51709A71FC43B9F00A84821C5D8FC539C0637119D222D28588B3C4C1FD2D
Otero,04B8F132C3A052906075863B34D2D01E06D795C24059325620E17A6031098B3A
Ouray,8361ADE9EE4AE0EA7612AF82A5BCC381F9988B4D1164B8D7FC49F7448E901332
Park,3491B088BE810C3D00B0D54FEB40C8DCA5867A8F39F1A180DBC221DECE61E2E8
Phillips,78BE35FCC873E335F3D9F3AF13976CCAF7B03F963F266CC0D07105F7B549D6DA
Pitkin,BA1D7262073EFC0E2350D10D3C7E5A80E7CBDD5ACA3D420E17BB40EB4ED641D7
Prowers,7DDD1BC4B93C2E384FFEFA833807CC093EC98669A1EAD48DECA81DC22394BB2A
Pueblo,9BB74E70E1B4B36BE29EB502180C63FE828E4F289E58EB51F385E122D5E76F20
Rio Blanco,
Rio Grande,A615F9509FE259BC8B45D6F05905877C53D49BD13FC81BDEBE4130D236E00CD3
Routt,18EA9772B8134745C7258DB9EBC48D291DE12726882C91EFFE579D11C4ECA761
Saguache,42CEBCFBD2F7AFE1E21DC4926DD8D22864D372F8099F180CF7B37F4E30ACB233
San Juan,
San Miguel,5FC5FB08A7A9D26016FCB796510070429BFB0A7DB072DD9E76BC1B6BA0BCF0ED
Sedgwick,00F3D02DFA6F7C73B3169B5EB05040864705A9ADE98067D2A7E6196E178CF214
Summit,DAA34F7915E9CB11ED70C045EEFE404FD7A82AF6798208FE53D59E36223C2094
Teller,F712AE2C18EB4984A28279ECDB5DB9075F10E98235EFC52E3E505620F403BB38
Washington,
Weld,17600B9C7148676E510D8702FA70BDE27FCA4C013CD5AFE72011325C3336A678
Yuma,8AA913CC1D45CA8056DD38CA411EB7E8DAF12FC189BF498F1466B853FB4D6FE8
