county_name,cvr_export_hash
Adams,94E1B36AA1122D3C30331D76C892D0FF934ED490AF64FCADB252026942B881F6
Alamosa,2902BBFFCEF14E607A63A0B61023C50EBD73E5BE74FD201569FE365D2F54FA8A
Arapahoe,637755C477F7704C91E73AF5199530A04741DD3FFE5A872C08C03F65611B0EE2
Archuleta,4FFAF6415A8D3E53D3FBAD09523CF8E1C52EAA18CB25F1F83CED5ED607433548
Baca,67EAB1617EB045EF81A8598CEC3C32CFE1BFFCB8C6452068E5FF50FEB77CFD26
Bent,867C69C3A26040C5240700999799E121C37E9DBF9C6496C8BC707125A0B76008
Boulder,EE469AA9C7B886DAB85BF9EBA20120BBE9D3BB47A29C548712ABE989B7B79B03
Broomfield,AF09B051639E5A1CB3011C02939B627D3C54E4E01890ECB30060C2B4C511BE50
Chaffee,FDDEC7B62CA6D120155FD223E7F3929B180B2B6A0009C984FAD712ECA1F3C3FB
Cheyenne,
Clear Creek,8BC37A7FE4100E0303179591C02CBBE0BE6B26BC695977E25D381F905CC3C19E
Conejos,DE782A259F614E818EE95DD77DE7E0B85385269C5EFBF9A50ECF0727F1E9955A
Costilla,15330BCF02FB18BD45CBC93E02A9A3305C5D57F4E9776BC44C99FA428299B0EE
Crowley,C44B22FE8BFD857ACF2464A042F16B005651340B3445574C4DF6A8EB5E6885ED
Custer,
Delta,461982FBF0D458F88755DADAEF74B18F955773192D0B1CEDAA08AE21119DEEF8
Denver,7A18B03937AAF38AD0F56AFE0D6CC8D2E20BC643CB84E877933B197057EE0B08
Dolores,
Douglas,
Eagle,0E4E214BC3BF8F1AB633FDABECDBCF4F7CDC729A124C48734130F95441CCA277
Elbert,702320D826019D7DD8D7DD1B05BE13AFA0CB02026EB992900381A016F4E08B11
El Paso,B6DDF272D4A76E2C4FB77F7AF39632B1CD57711888C97A96D5A174FAA67C7C1B
Fremont,F0A6D7DC935BBB0E918E1112714DFB7167DA8F09F9ED1EEB9D9343F8E461A1D4
Garfield,
Gilpin,7CA215F712A519C6E91F3BF62DB2806A5445480E012A0328AD9F1477900C68CF
Grand,
Gunnison,4A3803A35D84E78D62C087760AC5FD29BB15E56E14D67169E700F0A04AE95667
Hinsdale,
Huerfano,D549DC048BC31BECF862E3264C6D7C7B35C0191AC7DB6AAD307FD611AAAE984C
Jackson,
Jefferson,787BA80C587982EAB29A9A31022C36EE3E50A61B98228D664625BFF196F17BF8
Kiowa,9F972039FC4BFFBA54579DEB428D2699A6CB9E5BC23591748D30B878924DBC69
Kit Carson,3CA7BE3069BD57C2015E281A133AB3D7BF3D88F7316E4FA443CEFF3674FD4A9E
Lake,676EC3547B30E028C85CCD85B41DFB79B820AB328DDD605FBDADF28D34239707
La Plata,EF0A2D4D5C80D2F6BB0508F5F26BF2A56BE59D90326C36495DD432135D7E5439
Larimer,1A98842F415B434FED53AE436B24FBAA929A71122797E869526AA03706DB5130
Las Animas,
Lincoln,B6EA2A78F9C3EBF99693CCD7295BC8542F0803D8F83DC9FFB1F5FAD961B5DE93
Logan,E682A201FA54F5844F8BFA2DD08A68EEAC7D7F00FB9CBE0058C3AABDBEEC233A
Mesa,5DFD807C3D8A62A3EC75F1F67526739E7B09544635CFB3CECFC9474D84859929
Mineral,
Moffat,6E881F33356E0C10F1CD2A0F9052942A017CACDAEF1F802AAE8F7F9DA87B6CD6
Montezuma,F3B7235662BFC6274236B60E75A81745ABE6306AA7F1B89070DC810AE6832D98
Montrose,
Morgan,32B4AF4ADA1294CFD120EB233B96B16C3BF8D1914F54B60FCF97C9C7D80B1769
Otero,C823DDCCCD63689EBC3FE584CEF787EC7DD3B8D7120AACE519DCB2B4D722E20B
Ouray,87D010F0615371BFE62437A9D9D284C417F7F4AA8F0AAECD86BBC63F472F5F5F
Park,2269F9983808DD00F945B6F2FD6E2C91643E6899D8957A5521D8054DBB29D02C
Phillips,5E43CE3DBC49AAEB227C9D12EC59A8281D4FF2F4BD8A50AEE785D1ACEA9E45F5
Pitkin,019438B6BECD9B76378D9C976B21EF89948A635C2AD5EB8B1CDEAD06DED3307C
Prowers,1F98EA035BA67D705F1758EDF5196405C5D36BD0E0F8C89D5621B9B9203440F5
Pueblo,49DC6AA18C4FE97A782DFE82A0689F070CC0C670A5EB1E3224B69FF690632B1C
Rio Blanco,
Rio Grande,A59721CB2114727CF4E9B9D18B1457A6EBB03E6F5CD757C30FA4D409EB9CE071
Routt,D1D50843E0C54320B62512CF627DB6F54F7470FEAFDEADAAEBC271C7F0E0DD96
Saguache,A2EB15475132BF05B66B5920BAD43E4C17B9A52A79B7CE5C7DA113EED6F7C5F1
San Juan,
San Miguel,8E060C4C04CE9976235A965E6D737F1E885316843D2084DAB1C9B3983E959394
Sedgwick,6D431A9460E50EFE9D38E87DF054176BF720BAABA3B1A76551308BB0D7A0B3C5
Summit,C00CBB121F863AB72EA6AC5CC156940EC1F6BAB3DE76FC69DA467C8EFCDA3DA0
Teller,4007DEA434F2264964FD36BD32B89CEA0D3A73388BAABD37CC22DDAA82C038D1
Washington,
Weld,E8C37CA1E6B9F059C538465EBB96BE6B11432241B1B39C7FA1F4303BD423C95A
Yuma,53A76964FD21610F17A789ED98F028B9FBFB7C292E42508AA188F5684637CC29
