County name,Device ID,Batch,# of Ballot Cards,Location
Otero,1,1,25,2
Otero,1,2,25,2
Otero,1,3,25,2
Otero,1,4,25,2
Otero,1,5,25,2
Otero,1,6,25,2
Otero,1,7,25,2
Otero,1,8,25,2
Otero,1,9,25,2
Otero,1,10,25,2
Otero,1,11,25,2
Otero,1,12,25,2
Otero,1,13,25,2
Otero,1,14,25,2
Otero,1,15,25,2
Otero,1,16,25,2
Otero,1,17,25,2
Otero,1,18,25,2
Otero,1,19,25,2
Otero,1,20,25,2
Otero,1,21,25,2
Otero,1,22,25,2
Otero,1,23,25,2
Otero,1,24,25,2
Otero,1,25,25,2
Otero,1,26,25,2
Otero,1,27,25,2
Otero,1,28,25,2
Otero,1,29,25,2
Otero,1,30,25,2
Otero,1,31,25,2
Otero,1,32,25,2
Otero,1,33,25,2
Otero,1,34,25,2
Otero,1,35,25,2
Otero,1,36,25,2
Otero,1,37,25,2
Otero,1,38,25,2
Otero,1,39,25,2
Otero,1,40,25,2
Otero,1,41,25,2
Otero,1,42,25,2
Otero,1,43,25,2
Otero,1,44,25,2
Otero,1,45,25,2
Otero,1,46,25,2
Otero,1,47,25,2
Otero,1,48,25,2
Otero,1,49,25,6
Otero,1,50,25,6
Otero,1,51,25,6
Otero,1,52,25,6
Otero,1,53,25,6
Otero,1,54,25,6
Otero,1,55,25,6
Otero,1,56,25,6
Otero,1,57,25,6
Otero,1,58,25,6
Otero,1,59,25,6
Otero,1,60,25,6
Otero,1,61,25,6
Otero,1,62,25,6
Otero,1,63,25,6
Otero,1,64,25,6
Otero,1,65,25,6
Otero,1,66,25,6
Otero,1,67,25,6
Otero,1,68,25,6
Otero,1,69,25,6
Otero,1,70,25,6
Otero,1,71,25,6
Otero,1,72,25,6
Otero,1,73,25,6
Otero,1,74,25,6
Otero,1,75,25,6
Otero,2,1,25,4
Otero,2,2,25,4
Otero,2,3,25,4
Otero,2,4,25,4
Otero,2,5,25,4
Otero,2,6,25,4
Otero,2,7,25,4
Otero,2,8,25,4
Otero,2,9,25,4
Otero,2,10,25,4
Otero,2,11,25,4
Otero,2,12,25,4
Otero,2,13,25,4
Otero,2,14,25,4
Otero,2,15,25,4
Otero,2,16,25,4
Otero,2,17,25,4
Otero,2,18,25,4
Otero,2,19,25,4
Otero,2,20,25,4
Otero,2,21,25,4
Otero,2,22,25,4
Otero,2,23,25,4
Otero,2,24,25,4
Otero,2,25,25,4
Otero,2,26,25,4
Otero,2,27,25,4
Otero,2,28,25,4
Otero,2,29,25,4
Otero,2,30,25,4
Otero,2,31,25,4
Otero,2,32,25,4
Otero,2,33,25,4
Otero,2,34,25,4
Otero,2,35,25,4
Otero,2,36,25,4
Otero,2,37,25,4
Otero,2,38,25,4
Otero,2,39,25,4
Otero,2,40,25,4
Otero,2,41,25,5
Otero,2,42,25,5
Otero,2,43,25,5
Otero,2,44,25,5
Otero,2,45,25,5
Otero,2,46,25,5
Otero,2,47,25,5
Otero,2,48,25,5
Otero,2,49,25,5
Otero,2,50,25,5
Otero,2,51,25,5
Otero,2,52,25,5
Otero,2,53,25,5
Otero,2,54,25,5
Otero,2,55,25,5
Otero,2,56,25,5
Otero,2,57,25,5
Otero,2,58,25,5
Otero,2,59,25,5
Otero,2,60,25,5
Otero,2,61,25,5
Otero,2,62,25,5
Otero,2,63,25,5
Otero,2,64,25,5
Otero,2,65,25,5
Otero,2,66,25,5
Otero,2,67,25,5
Otero,2,68,25,5
Otero,2,69,25,5
Otero,2,70,25,5
Otero,2,71,25,5
Otero,2,72,25,5
Otero,2,73,25,5
Otero,2,74,25,5
Otero,2,75,25,5
Otero,2,76,25,5
Otero,2,77,25,5
Otero,2,78,25,5
Otero,2,79,25,5
Otero,2,80,25,5
Otero,2,81,25,5
Otero,2,82,25,5
Otero,2,83,25,5
Otero,2,84,2,5
Otero,2,85,25,13
Otero,2,86,25,13
Otero,2,87,25,13
Otero,2,88,25,13
Otero,2,89,25,13
Otero,2,90,25,13
Otero,2,91,25,13
Otero,2,92,25,13
Otero,2,93,25,13
Otero,2,94,25,13
Otero,2,95,19,13
Otero,2,96,25,13
Otero,2,97,25,13
Otero,2,98,25,13
Otero,2,99,25,13
Otero,2,100,25,13
Otero,2,101,25,13
Otero,2,102,9,13
