name,filename,type,approx_count,size,status,timestamp,computed_hash,submitted_hash
Mineral,Modified_CVR_Export_20201113143758.csv,CVRs,771,180175,IMPORTED,2020-11-13 14:49:01.223,EFBD4F10DF72EDF5E2E2860B0DBA6BA6687B294274704F5B9F4F60EF86BD5063,EFBD4F10DF72EDF5E2E2860B0DBA6BA6687B294274704F5B9F4F60EF86BD5063
La Plata,LaPlata_BallotManifest.csv,manifest,721,23418,IMPORTED,2020-11-13 14:50:23.577,A0045F3CEB09DF770965449A214FE5983EEC480184DFAD8A5AFCEA49D67B8698,A0045F3CEB09DF770965449A214FE5983EEC480184DFAD8A5AFCEA49D67B8698
Lake,Ballot Manifest.csv,manifest,373,9611,IMPORTED,2020-11-13 14:51:32.382,16926EC5E8AF350EA57369922750EA6D9B2E916D0303FD09818C63DB10EF0458,16926EC5E8AF350EA57369922750EA6D9B2E916D0303FD09818C63DB10EF0458
Lake,Modified_CVR_Export.csv.csv,CVRs,4014,917949,IMPORTED,2020-11-13 14:52:10.788,57B3F5A698E001C598932B689EEDC0303B808CE4CC43BF768FD4287BAD67C637,57B3F5A698E001C598932B689EEDC0303B808CE4CC43BF768FD4287BAD67C637
Chaffee,NOVEMBER 3 2020 GENERAL ELECTION BALLOT MANIFEST.csv,manifest,287,6924,IMPORTED,2020-11-13 14:59:36.724,2CA13458D81C2C76243E92E7BAC97DDC49F402B312A1B51795ACEBAA0417FA4C,2CA13458D81C2C76243E92E7BAC97DDC49F402B312A1B51795ACEBAA0417FA4C
Chaffee,Modified_CVR_Export_20201113144019.csv,CVRs,13866,3092840,IMPORTED,2020-11-13 15:00:02.152,7A6C867FF596D1577EF49EAC9A689B269E9F15448BB490E18BF536BA90A72B83,7A6C867FF596D1577EF49EAC9A689B269E9F15448BB490E18BF536BA90A72B83
Prowers,Ballot Manifest 2020 Prowers County General Election.csv,manifest,227,5368,IMPORTED,2020-11-13 15:06:38.608,181E0A3539A8C1128716BA8596BDF507400837B837B26D4135D2420583BAE751,181E0A3539A8C1128716BA8596BDF507400837B837B26D4135D2420583BAE751
Prowers,Modified_CVR_Export_20201113143754.csv,CVRs,5605,1187383,IMPORTED,2020-11-13 15:07:25.081,D927D05B0EC2B202B1BB32EBAF5186E22F73D58DE0E8160115D6F3D372C991D5,D927D05B0EC2B202B1BB32EBAF5186E22F73D58DE0E8160115D6F3D372C991D5
Moffat,Ballot Manifest.csv,manifest,367,8008,IMPORTED,2020-11-13 15:11:40.84,83D2F9FDC9C2E557DB98A0D3821A1964F708330B9E90A3A934F91E340C1B73FA,83D2F9FDC9C2E557DB98A0D3821A1964F708330B9E90A3A934F91E340C1B73FA
Moffat,CVR_Export_20201113145756-2.csv,CVRs,7078,1598270,IMPORTED,2020-11-13 15:12:04.766,BC8A9351B7076FD8EAA823FE4BA3C8732888360F28082A7CFD5E7BFDBC8C58A5,BC8A9351B7076FD8EAA823FE4BA3C8732888360F28082A7CFD5E7BFDBC8C58A5
