CountyName,ContestName,ContestChoices
Adams,Adams 12 Five Star Schools School Director District No. 3,"Russell E. Farmer, Jackson Dreiling, Courtney Potter"
Adams,Adams 12 Five Star Schools School Director District No. 4,Amira Assad-Lucas
Adams,Adams-Arapahoe School District 28J Board of Directors,"Christy Cummings, Tramaine Duncan, Michael Carter, Marques Ivey, Danielle Tomwing, Debbie Gerkin, Anne Keke"
Adams,Aims College District Trustee District C,"Carl A. Alm, Ryan P. Smith, Marilyn Schock"
Adams,Aims College District Trustee District D,Gene O'Hara
Adams,Amendment 78 (CONSTITUTIONAL),"No/Against, Yes/For"
Adams,Bennett School District 29J School Director at Large - 2 Year Term,James DuBois
Adams,Bennett School District 29J School Director at Large - 4 Year Term,"Kyle Meyer, Andrew Thornton, Craig Reams"
Adams,Brighton School District 27J Ballot Issue 5A,"No/Against, Yes/For"
Adams,Brighton School District 27J Ballot Issue 5B,"No/Against, Yes/For"
Adams,Brighton School District 27J Director - District 2,"Danielle Jayne, Leon Thornton"
Adams,Brighton School District 27J Director - District 4,"Ashley Conn, Blaine Nickeson"
Adams,Brighton School District 27J Director - District 5,"Mandy J Thomas, Rene Beach"
Adams,City of Arvada Ballot Question 3C,"No/Against, Yes/For"
Adams,City of Arvada Ballot Question 3D,"No/Against, Yes/For"
Adams,City of Arvada Ballot Question 3E,"No/Against, Yes/For"
Adams,City of Arvada Ballot Question 3F,"No/Against, Yes/For"
Adams,City of Arvada Council Member At-Large,"Michael P. Griffith, Lisa Smith"
Adams,City of Aurora Council Member At-Large,"Dustin Zvonek, John Ronquillo, Danielle Jurinsky, Becky Hogan, Hanna Bogale, Candice Bailey"
Adams,City of Aurora Council Member Ward I,"Crystal Murillo, Scott Liva, Bill Gondrez"
Adams,City of Aurora Council Member Ward II,"Steve Sundberg, Bryan Lindstrom, Robert Hamilton III, Jessica Giammalvo"
Adams,City of Brighton Ballot Issue 3B,"No/Against, Yes/For"
Adams,City of Brighton Councilmember Ward 1,"Norman R. Brown Jr., Matt Johnston"
Adams,City of Brighton Councilmember Ward 2,Ann Taddeo
Adams,City of Brighton Councilmember Ward 3,Jan Pawlowski
Adams,City of Brighton Councilmember Ward 4,Peter Padilla
Adams,City of Brighton Mayor,"Laurie D. Lozano Maier, Wayne Scott, Gregory Mills"
