contest_name,choice,votes
Academy School District 20 Director - 4 Year,Nicole Konz,17118
Academy School District 20 Director - 4 Year,Thomas LaValley,16832
Academy School District 20 Director - 4 Year,Aaron Salt,16059
Academy School District 20 Director - 4 Year,Jackie Lesh,9893
Academy School District 20 Director - 4 Year,Tiana Clark,9652
Academy School District 20 Director - 4 Year,Brian Coram,9548
Academy School District 20 Director - 4 Year,Nathan Johnson,5132
Academy School District 20 Director - 4 Year,Lindsay Moore,4245
Academy School District 20 Director - 4 Year,Jason Silva,3483
Academy School District 20 Director - 4 Year,Michael Riffle,2338
Academy School District 20 Director - 4 Year,Gregory Dahms,1
Adams 12 Five Star Schools School Director District No. 3,Courtney Potter,17316
Adams 12 Five Star Schools School Director District No. 3,Jackson Dreiling,17174
Adams 12 Five Star Schools School Director District No. 3,Russell E. Farmer,8331
Adams 12 Five Star Schools School Director District No. 4,Amira Assad-Lucas,31489
Adams-Arapahoe School District 28J Board of Directors,Anne Keke,19461
Adams-Arapahoe School District 28J Board of Directors,Michael Carter,17801
Adams-Arapahoe School District 28J Board of Directors,Debbie Gerkin,17291
Adams-Arapahoe School District 28J Board of Directors,Tramaine Duncan,14751
Adams-Arapahoe School District 28J Board of Directors,Christy Cummings,14047
Adams-Arapahoe School District 28J Board of Directors,Danielle Tomwing,13485
Adams-Arapahoe School District 28J Board of Directors,Marques Ivey,5654
Aims College District Trustee District C,Marilyn Schock,15860
Aims College District Trustee District C,Carl A. Alm,11596
Aims College District Trustee District C,Ryan P. Smith,9214
Aims College District Trustee District D,Gene O'Hara,30846
Alamosa School District RE-11J Director District 1,Justin Rilling,1691
Alamosa School District RE-11J Director District 1,Star Quintana,1455
Alamosa School District RE-11J Director District 3,Amanda Wilkinson,2553
Alamosa School District RE-11J Director District 4,Gloria Solis,2321
Alamosa School District RE-11J Director District 6,Heidi Richardson,1894
Alamosa School District RE-11J Director District 6,Brenda Almeida,1253
Alamosa School District RE-11J Director District 7,Patrick Alan Colvin,1533
Alamosa School District RE-11J Director District 7,Amy Raya,1526
Amendment 78 (CONSTITUTIONAL),No/Against,855757
Amendment 78 (CONSTITUTIONAL),Yes/For,646078
Arapahoe County Ballot Issue 1A,Yes/For,117878
Arapahoe County Ballot Issue 1A,No/Against,35735
Arapahoe County School District #6 Littleton Public Schools School Director - At Large,Angela Christensen,19583
Arapahoe County School District #6 Littleton Public Schools School Director - At Large,Joan Anderssen,17011
Arapahoe County School District #6 Littleton Public Schools School Director - At Large,Andrew Graham,14809
Arapahoe County School District #6 Littleton Public Schools School Director - At Large,Jon Lisec,12830
Arapahoe County School District #6 Littleton Public Schools School Director - At Large,Dale Elliott,10631
Arapahoe Park and Recreation District Ballot Issue 6A,Yes/For,9850
Arapahoe Park and Recreation District Ballot Issue 6A,No/Against,4563
Archuleta - Proposition 120 (STATUTORY),No/Against,2451
Archuleta - Proposition 120 (STATUTORY),Yes/For,1924
Arriba-Flagler C-20 School District Director,Gary C. Elrick,397
Arriba-Flagler C-20 School District Director,Jacob P. Smith,292
