County,Tabulator ID,Batch,# of Ballot Cards,Location,,
Mesa,4,4001,8,Box 400,,
Mesa,4,4002,1,Box 400,,
Mesa,4,4003,4,Box 400,,
Mesa,4,4004,1,Box 400,,
Mesa,4,4005,12,Box 400,,
Mesa,4,4006,4,Box 400,,
Mesa,4,4007,8,Box 400,,
Mesa,4,4008,3,Box 400,,
Mesa,4,4009,2,Box 400,,
Mesa,4,4010,8,Box 400,,
Mesa,4,4011,8,Box 400,,
Mesa,4,4012,3,Box 400,,
Mesa,4,4013,24,Box 400,,
Mesa,4,4014,6,Box 400,,
Mesa,4,4015,9,Box 400,,
Mesa,4,4016,2,Box 400,,
Mesa,4,4017,3,Box 400,,
Mesa,4,4018,9,Box 400,,
Mesa,4,4019,6,Box 400,,
Mesa,4,4020,11,Box 400,,
Mesa,4,4021,98,Box 400,,
Mesa,4,4022,243,Box 400,,
Mesa,4,4023,154,Box 400,,
Mesa,4,4024,61,Box 400,,
Mesa,4,4025,97,Box 400,,
Mesa,4,4026,1,Box 400,,
Mesa,11,1,73,Box 1,,
Mesa,11,2,2,Box 1,,
Mesa,11,3,1,Box 1,,
Mesa,11,4,99,Box 1,,
Mesa,11,5,99,Box 1,,
Mesa,11,6,96,Box 1,,
Mesa,11,7,100,Box 1,,
Mesa,11,8,100,Box 1,,
Mesa,11,9,100,Box 1,,
Mesa,11,10,100,Box 1,,
Mesa,11,11,100,Box 1,,
Mesa,11,12,99,Box 1,,
Mesa,11,13,40,Box 1,,
Mesa,11,14,22,Box 1,,
Mesa,11,15,38,Box 1,,
Mesa,11,16,38,Box 1,,
Mesa,11,17,19,Box 1,,
Mesa,11,18,2,Box 1,,
Mesa,11,19,77,Box 1,,
Mesa,11,20,77,Box 1,,
Mesa,11,21,33,Box 1,,
Mesa,11,22,2,Box 1,,
Mesa,11,23,100,Box 1,,
Mesa,11,24,100,Box 1,,
Mesa,11,25,99,Box 1,,
Mesa,11,26,2,Box 1,,
Mesa,11,27,2,Box 1,,
Mesa,11,28,10,Box 1,,
Mesa,11,29,18,Box 1,,
Mesa,11,30,13,Box 1,,
Mesa,11,31,6,Box 1,,
Mesa,11,32,100,Box 1,,
Mesa,11,33,99,Box 2,,
Mesa,11,34,2,Box 2,,
Mesa,11,35,3,Box 2,,
Mesa,11,36,99,Box 2,,
Mesa,11,37,85,Box 2,,
Mesa,11,38,33,Box 2,,
Mesa,11,39,1,Box 2,,
Mesa,11,40,1,Box 2,,
Mesa,11,41,100,Box 2,,
Mesa,11,42,9,Box 2,,
Mesa,11,43,3,Box 2,,
Mesa,11,44,6,Box 2,,
Mesa,11,45,12,Box 2,,
Mesa,11,46,18,Box 2,,
Mesa,11,47,3,Box 2,,
