"County","Tabulator ID","Batch",". of Ballots","Location"
"Douglas","1","PRI-0168",100,33
"Douglas","1","PRI-0169",100,27
"Douglas","1","PRI-0170",100,26
"Douglas","1","PRI-0171",100,33
"Douglas","1","PRI-0172",100,49
"Douglas","1","PRI-0173",100,49
"Douglas","1","PRI-0174",100,42
"Douglas","1","PRI-0175",100,33
"Douglas","1","PRI-0176",100,44
"Douglas","1","PRI-0177",100,41
"Douglas","1","PRI-0178",100,42
"Douglas","1","PRI-0179",100,44
"Douglas","1","PRI-0180",100,33
"Douglas","1","PRI-0181",100,44
"Douglas","1","PRI-0182",100,44
"Douglas","1","PRI-0183",100,36
"Douglas","1","PRI-0184",100,44
"Douglas","1","PRI-0185",100,41
"Douglas","1","PRI-0186",100,44
"Douglas","1","PRI-0187",100,26
"Douglas","1","PRI-0188",100,49
"Douglas","1","PRI-0189",100,44
"Douglas","1","PRI-0190",100,26
"Douglas","1","PRI-0191",100,36
"Douglas","1","PRI-0192",100,44
"Douglas","1","PRI-0193",99,41
"Douglas","1","PRI-0194",100,41
"Douglas","1","PRI-0195",99,41
"Douglas","1","PRI-0196",100,49
"Douglas","1","PRI-0197",100,41
"Douglas","1","PRI-0198",100,41
"Douglas","1","PRI-0199",100,44
"Douglas","1","PRI-0200",100,44
"Douglas","1","PRI-0201",50,41
"Douglas","1","PRI-0202",100,29
"Douglas","1","PRI-0203",100,29
"Douglas","1","PRI-0204",100,31
"Douglas","1","PRI-0205",99,31
"Douglas","1","PRI-0206",100,33
"Douglas","1","PRI-0207",100,31
"Douglas","1","PRI-0208",100,23
"Douglas","1","PRI-0209",100,33
"Douglas","1","PRI-0210",100,33
"Douglas","1","PRI-0211",100,36
"Douglas","1","PRI-0212",100,31
"Douglas","1","PRI-0213",100,36
"Douglas","1","PRI-0214",100,31
"Douglas","1","PRI-0215",100,33
"Douglas","1","PRI-0216",100,41
"Douglas","1","PRI-0217",100,36
"Douglas","1","PRI-0218",100,33
"Douglas","1","PRI-0219",100,33
"Douglas","1","PRI-0220",100,44
"Douglas","1","PRI-0221",100,31
"Douglas","1","PRI-0222",100,41
"Douglas","1","PRI-0223",89,42
"Douglas","1","PRI-0224",100,36
"Douglas","1","PRI-0225",100,41
"Douglas","1","PRI-0226",99,33
"Douglas","1","PRI-0227",99,49
"Douglas","1","PRI-0228",100,51
"Douglas","1","PRI-0229",100,36
"Douglas","1","PRI-0230",100,41
"Douglas","1","PRI-0231",100,59
"Douglas","1","PRI-0232",100,41
"Douglas","1","PRI-0233",100,49
"Douglas","1","PRI-0234",100,41
"Douglas","1","PRI-0235",100,41
"Douglas","1","PRI-0236",100,49
"Douglas","1","PRI-0237",100,47
"Douglas","1","PRI-0238",100,44
"Douglas","1","PRI-0239",65,49
"Douglas","1","PRI-0240",100,51
"Douglas","1","PRI-0241",100,51
"Douglas","1","PRI-0242",100,51
"Douglas","1","PRI-0243",100,51
"Douglas","1","PRI-0244",100,46
"Douglas","1","PRI-0245",100,36
"Douglas","1","PRI-0246",100,36
"Douglas","1","PRI-0247",100,36
"Douglas","1","PRI-0248",99,57
"Douglas","1","PRI-0249",100,47
"Douglas","1","PRI-0250",100,36
"Douglas","1","PRI-0251",100,36
"Douglas","1","PRI-0252",100,57
"Douglas","1","PRI-0253",100,51
"Douglas","1","PRI-0254",100,41
"Douglas","1","PRI-0255",60,60
"Douglas","1","PRI-0256",100,51
"Douglas","1","PRI-0257",100,44
"Douglas","1","PRI-0258",81,36
"Douglas","1","PRI-0259",100,36
"Douglas","1","PRI-0260",100,36
"Douglas","1","PRI-0261",100,36
"Douglas","1","PRI-0262",100,59
"Douglas","1","PRI-0263",99,51
"Douglas","1","PRI-0264",100,47
"Douglas","1","PRI-0265",100,44
"Douglas","1","PRI-0266",100,41
"Douglas","1","PRI-0267",100,36
"Douglas","1","PRI-0268",100,44
"Douglas","1","PRI-0269",100,30
"Douglas","1","PRI-0270",100,42
"Douglas","1","PRI-0271",100,44
"Douglas","1","PRI-0272",90,46
"Douglas","1","PRI-0273",100,42
"Douglas","1","PRI-0274",100,46
"Douglas","1","PRI-0275",100,36
"Douglas","1","PRI-0276",100,36
"Douglas","1","PRI-0277",100,42
"Douglas","1","PRI-0278",100,49
"Douglas","1","PRI-0279",34,42
"Douglas","1","PRI-0280",100,42
"Douglas","1","PRI-0281",100,33
"Douglas","1","PRI-0282",100,41
"Douglas","1","PRI-0283",100,57
"Douglas","1","PRI-0284",100,41
"Douglas","1","PRI-0285",100,42
"Douglas","1","PRI-0286",100,44
"Douglas","1","PRI-0287",100,36
"Douglas","1","PRI-0288",100,42
"Douglas","1","PRI-0289",28,42
"Douglas","1","PRI-0290",20,33
"Douglas","1","PRI-0291",100,89
"Douglas","1","PRI-0292",100,49
"Douglas","1","PRI-0293",100,46
"Douglas","1","PRI-0294",100,44
"Douglas","1","PRI-0295",100,41
"Douglas","1","PRI-0296",100,42
"Douglas","1","PRI-0297",100,49
"Douglas","1","PRI-0298",100,51
"Douglas","1","PRI-0299",100,47
"Douglas","1","PRI-0300",100,33
"Douglas","1","PRI-0301",99,57
"Douglas","1","PRI-0302",100,49
"Douglas","1","PRI-0303",100,57
"Douglas","1","PRI-0304",31,57
"Douglas","1","PRI-0305",100,42
"Douglas","1","PRI-0306",100,47
"Douglas","1","PRI-0307",100,47
"Douglas","1","PRI-0308",100,44
"Douglas","1","PRI-0309",96,51
"Douglas","1","PRI-0310",100,49
"Douglas","1","PRI-0311",100,42
"Douglas","1","PRI-0312",100,59
"Douglas","1","PRI-0313",100,42
"Douglas","1","PRI-0314",100,33
"Douglas","1","PRI-0315",100,42
"Douglas","1","PRI-0316",100,42
"Douglas","1","PRI-0317",100,42
"Douglas","1","PRI-0318",100,31
"Douglas","1","PRI-0319",100,41
"Douglas","1","PRI-0320",46,51
"Douglas","1","PRI-0321",100,31
"Douglas","1","PRI-0322",99,51
"Douglas","1","PRI-0323",100,46
"Douglas","1","PRI-0324",100,60
"Douglas","1","PRI-0325",100,46
"Douglas","1","PRI-0326",100,49
"Douglas","1","PRI-0327",100,51
"Douglas","1","PRI-0328",100,51
"Douglas","1","PRI-0329",99,44
"Douglas","1","PRI-0330",99,47
"Douglas","1","PRI-0331",100,47
"Douglas","1","PRI-0332",100,49
"Douglas","1","PRI-0333",100,51
"Douglas","1","PRI-0334",82,42
"Douglas","1","PRI-0335",100,51
"Douglas","1","PRI-0336",100,42
"Douglas","1","PRI-0337",100,42
"Douglas","1","PRI-0338",100,47
"Douglas","1","PRI-0339",100,47
"Douglas","1","PRI-0340",100,49
"Douglas","1","PRI-0341",100,41
"Douglas","1","PRI-0342",100,46
"Douglas","1","PRI-0343",51,51
"Douglas","1","PRI-0344",100,51
"Douglas","1","PRI-0345",100,46
"Douglas","1","PRI-0346",100,46
"Douglas","1","PRI-0347",100,54
"Douglas","1","PRI-0348",100,46
"Douglas","1","PRI-0349",100,57
"Douglas","1","PRI-0350",100,47
"Douglas","1","PRI-0351",49,54
"Douglas","1","PRI-0352",44,57
"Douglas","1","PRI-0353",100,47
"Douglas","1","PRI-0354",100,49
"Douglas","1","PRI-0355",100,46
"Douglas","1","PRI-0356",100,54
"Douglas","1","PRI-0357",100,41
"Douglas","1","PRI-0358",100,57
"Douglas","1","PRI-0359",100,47
"Douglas","1","PRI-0360",100,46
"Douglas","1","PRI-0361",100,51
