County,Tabulator ID,Batch,# of Ballot Card,Locations
Hinsdale,4,1,25,Bin #1
Hinsdale,4,2,25,Bin #1
Hinsdale,4,3,25,Bin #1
Hinsdale,4,4,25,Bin #1
Hinsdale,4,5,25,Bin #1
Hinsdale,4,6,25,Bin #1
Hinsdale,4,7,25,Bin #1
Hinsdale,4,8,25,Bin #1
Hinsdale,4,9,25,Bin #1
Hinsdale,4,10,25,Bin #1
Hinsdale,4,11,25,Bin #1
Hinsdale,4,12,25,Bin #1
Hinsdale,4,13,25,Bin #1
Hinsdale,4,14,9,Bin #1
Hinsdale,4,15,13,Bin #1
