contest_name,choice,votes
Academy School District 20 Board of Directors - 4 Year Term,Holly Tripp,19545
Academy School District 20 Board of Directors - 4 Year Term,Susan Payne,18826
Academy School District 20 Board of Directors - 4 Year Term,Eddie Waldrep,18620
Academy School District 20 Board of Directors - 4 Year Term,Brandon Clark,16247
Academy School District 20 Board of Directors - 4 Year Term,Renée Malloy Ludlam,15535
Academy School District 20 Board of Directors - 4 Year Term,Jennafer Stites,14413
Academy School District 20 Board of Directors - 4 Year Term,Cynthia Halverson,4257
Adams 12 Five Star School District Director - District No 3,Ike Anyanwu-Ebo,28600
Adams 12 Five Star School District Director - District No 3,Juan Evans,23372
Adams 12 Five Star School District Director - District No 4,Amira Assad-Lucas,38627
ADAMS 12 FIVE STAR SCHOOLS BALLOT ISSUE 5B,Yes/For,32760
ADAMS 12 FIVE STAR SCHOOLS BALLOT ISSUE 5B,No/Against,28433
Adams-Arapahoe School District 28J Board of Directors,Anne R. Keke,22411
Adams-Arapahoe School District 28J Board of Directors,Tramaine M. Duncan,20685
Adams-Arapahoe School District 28J Board of Directors,"Kristin Mallory ""Westerberg""",20279
Adams-Arapahoe School District 28J Board of Directors,Gayla Charrier,16952
Adams-Arapahoe School District 28J Board of Directors,"Tapsuru ""Ousman"" Ba",12732
Adams-Arapahoe School District 28J Board of Directors,Nino Pepper,11055
Adams-Arapahoe School District 28J Board of Directors,Hendrix Percival Lewis,8947
Adams County School District 14 Board Of Education,Janet Estrada,1554
Adams County School District 14 Board Of Education,Maria D. Zubia,1300
Adams County School District 14 Board Of Education,Brandi Valdez,1080
Adams County School District 14 Board Of Education,Leona Pacheco,1035
"Additional Lodging Tax to Support, Sustain, and Enhance Gilpin County for Our Residents, Workforce, and Visitors Ballot Issue 1A",Yes/For,1203
"Additional Lodging Tax to Support, Sustain, and Enhance Gilpin County for Our Residents, Workforce, and Visitors Ballot Issue 1A",No/Against,988
Aguilar School District RE-6,Ashley Lisonbee,260
Aguilar School District RE-6 Ballot Issue 4A,Yes/For,232
Aguilar School District RE-6 Ballot Issue 4A,No/Against,158
Akron School District R-1 School Board Director At-Large - 2 Year Term,Corby Kneedler,855
Akron School District R-1 School Board Director At-Large - 4 Year Term,Megan Bower,566
Akron School District R-1 School Board Director At-Large - 4 Year Term,Fred Raish,532
Akron School District R-1 School Board Director At-Large - 4 Year Term,Britney Weers,429
Alamosa School District RE-11J Ballot Issue 5A,No/Against,1892
Alamosa School District RE-11J Ballot Issue 5A,Yes/For,1709
Alamosa School District RE-11J Director District 3,Thomas Wisniewski,2229
Alamosa School District RE-11J Director District 6,Heidi Richardson,2339
Amendments to Section 16-3-303 of the City of Central Land Development Code Ballot Question 2A,No/Against,154
Amendments to Section 16-3-303 of the City of Central Land Development Code Ballot Question 2A,Yes/For,113
Arapahoe County School District #6 Littleton Public Schools School Director - At Large,Sean O'Shea,22904
Arapahoe County School District #6 Littleton Public Schools School Director - At Large,Joan Anderssen,20810
Arapahoe County School District #6 Littleton Public Schools School Director - At Large,Andrew Graham,19723
Arapahoe County School District #6 Littleton Public Schools School Director - At Large,Jessica Vestal,13085
Aspen Fire Protection District Ballot Issue 6A,Yes/For,2673
Aspen Fire Protection District Ballot Issue 6A,No/Against,870
Aspen Fire Protection District Ballot Issue 6B,Yes/For,2888
Aspen Fire Protection District Ballot Issue 6B,No/Against,653
Aspen School District No. 1 Ballot Issue 4A,Yes/For,2739
Aspen School District No. 1 Ballot Issue 4A,No/Against,1668
Aspen School District No. 1 Ballot Issue 4B,Yes/For,2758
Aspen School District No. 1 Ballot Issue 4B,No/Against,1646
Aspen School District No. 1 - Board of Directors,Elizabeth Stewart-Severy,2887
Aspen School District No. 1 - Board of Directors,Christa Gieszl,2553
Aspen School District No. 1 - Board of Directors,William Wallace Burke Gilmore,2408
Aspen Village Metropolitan District Ballot Issue 6D,Yes/For,75
Aspen Village Metropolitan District Ballot Issue 6D,No/Against,25
Ballot Issue 2A,YES/FOR,118623
Ballot Issue 2A,NO/AGAINST,69173
Ballot Issue 2B,YES/FOR,126265
Ballot Issue 2B,NO/AGAINST,62068
Ballot Issue 2C,YES/FOR,133219
Ballot Issue 2C,NO/AGAINST,55069
Ballot Issue 2D,YES/FOR,120908
Ballot Issue 2D,NO/AGAINST,67379
Ballot Issue 2E,YES/FOR,127221
Ballot Issue 2E,NO/AGAINST,61354
Ballot Question No. 2C,No/Against,17780
Ballot Question No. 2C,Yes/For,8303
Ballot Question No. 2D,No/Against,14034
Ballot Question No. 2D,Yes/For,11036
Ballot Question No. 2E,No/Against,19048
Ballot Question No. 2E,Yes/For,6588
Ballot Question No. 2F,Yes/For,13187
