CountyName,ContestName,ContestChoices
El Paso,Academy School District 20 Board of Directors - 4 Year Term,"Holly Tripp,Renée Malloy Ludlam,Brandon Clark,Susan Payne,Eddie Waldrep,Jennafer Stites,Cynthia Halverson"
Adams,Adams 12 Five Star School District Director - District No 3,"Juan Evans,Ike Anyanwu-Ebo"
Broomfield,Adams 12 Five Star School District Director - District No 3,"Juan Evans,Ike Anyanwu-Ebo"
Adams,Adams 12 Five Star School District Director - District No 4,Amira Assad-Lucas
Broomfield,Adams 12 Five Star School District Director - District No 4,Amira Assad-Lucas
Adams,ADAMS 12 FIVE STAR SCHOOLS BALLOT ISSUE 5B,"Yes/For,No/Against"
Broomfield,ADAMS 12 FIVE STAR SCHOOLS BALLOT ISSUE 5B,"Yes/For,No/Against"
Adams,Adams County School District 14 Board Of Education,"Janet Estrada,Maria D. Zubia,Leona Pacheco,Brandi Valdez"
Adams,Adams-Arapahoe School District 28J Board of Directors,"Tramaine M. Duncan,Nino Pepper,Kristin Mallory ""Westerberg"",Anne R. Keke,Tapsuru ""Ousman"" Ba,Gayla Charrier,Hendrix Percival Lewis"
Arapahoe,Adams-Arapahoe School District 28J Board of Directors,"Tramaine M. Duncan,Nino Pepper,Kristin Mallory ""Westerberg"",Anne R. Keke,Tapsuru ""Ousman"" Ba,Gayla Charrier,Hendrix Percival Lewis"
Gilpin,"Additional Lodging Tax to Support, Sustain, and Enhance Gilpin County for Our Residents, Workforce, and Visitors Ballot Issue 1A","Yes/For,No/Against"
Las Animas,Aguilar School District RE-6,Ashley Lisonbee
Las Animas,Aguilar School District RE-6 Ballot Issue 4A,"Yes/For,No/Against"
Washington,Akron School District R-1 School Board Director At-Large - 2 Year Term,Corby Kneedler
Washington,Akron School District R-1 School Board Director At-Large - 4 Year Term,"Britney Weers,Megan Bower,Fred Raish"
Alamosa,Alamosa School District RE-11J Ballot Issue 5A,"Yes/For,No/Against"
Conejos,Alamosa School District RE-11J Ballot Issue 5A,"Yes/For,No/Against"
Alamosa,Alamosa School District RE-11J Director District 3,Thomas Wisniewski
Conejos,Alamosa School District RE-11J Director District 3,Thomas Wisniewski
Alamosa,Alamosa School District RE-11J Director District 6,Heidi Richardson
Conejos,Alamosa School District RE-11J Director District 6,Heidi Richardson 
Gilpin,Amendments to Section 16-3-303 of the City of Central Land Development Code Ballot Question 2A,"Yes/For,No/Against"
Arapahoe,Arapahoe County School District #6 Littleton Public Schools School Director - At Large,"Jessica Vestal,Sean O'Shea,Joan Anderssen,Andrew Graham"
Pitkin,Aspen Fire Protection District Ballot Issue 6A,"Yes/For,No/Against"
Pitkin,Aspen Fire Protection District Ballot Issue 6B,"Yes/For,No/Against"
Pitkin,Aspen School District No. 1 - Board of Directors,"William Wallace Burke Gilmore,Elizabeth Stewart-Severy,Christa Gieszl"
Pitkin,Aspen School District No. 1 Ballot Issue 4A,"Yes/For,No/Against"
Pitkin,Aspen School District No. 1 Ballot Issue 4B,"Yes/For,No/Against"
Pitkin,Aspen Village Metropolitan District Ballot Issue 6D,"Yes/For,No/Against"
Denver,Ballot Issue 2A,"YES/FOR,NO/AGAINST"
Denver,Ballot Issue 2B,"YES/FOR,NO/AGAINST"
Denver,Ballot Issue 2C,"YES/FOR,NO/AGAINST"
Denver,Ballot Issue 2D,"YES/FOR,NO/AGAINST"
Denver,Ballot Issue 2E,"YES/FOR,NO/AGAINST"
Pueblo,Ballot Question No. 2C,"Yes/For,No/Against"
Pueblo,Ballot Question No. 2D,"Yes/For,No/Against"
Pueblo,Ballot Question No. 2E,"Yes/For,No/Against"
Pueblo,Ballot Question No. 2F,"Yes/For,No/Against"
El Paso,Banning Lewis Ranch Metropolitan District No. 5 Ballot Issue 6B,"Yes/For,No/Against"
Eagle,Basalt Regional Library District Ballot Issue 7B,"Yes/For,No/Against"
Pitkin,Basalt Regional Library District Ballot Issue 7B,"Yes/For,No/Against"
Archuleta,Bayfield School District 10 Jt-R Board of Directors,"Rebecca Parnell,Gary Maestas,Matt Turner,Robert Coronado Jr."
La Plata,Bayfield School District 10 Jt-R Board of Directors,"Rebecca Parnell,Gary Maestas,Matt Turner,Robert Coronado Jr."
Pueblo,Board of Education Director - D70 - District III,"Michelle Erickson,Samuel Ebersole"
Pueblo,Board of Education Director - D70 - District IV,"Chris DeLuca,Mark Emery,Andrea Wade"
Pueblo,Board of Education Director - D70 - District V,"Ann Bennett,Jenna Conklin"
Boulder,Boulder County Ballot Issue 1A,"Yes/For,No/Against"
Boulder,Boulder County Ballot Issue 1B,"Yes/For,No/Against"
Boulder,Boulder Valley School District RE-2 Director District B (4 Years),Nicole Rajpal
Broomfield,Boulder Valley School District RE-2 Director District B (4 Years),Nicole Rajpal
