county_id,county_name,contest_name,contest_id
1,Adams,City of Arvada Council Member At-Large,844092
1,Adams,City of Aurora Council Member - At Large,844094
1,Adams,City of Aurora Council Member Ward I,844096
1,Adams,City of Aurora Council Member Ward II,844098
1,Adams,City of Brighton Mayor,844100
1,Adams,City of Brighton Councilmember - Ward 1,844102
1,Adams,City of Brighton Councilmember - Ward 2,844104
1,Adams,City of Brighton Councilmember - Ward 3,844107
1,Adams,City of Brighton Councilmember - Ward 4,844109
1,Adams,City of Commerce City Councilmember - Ward 1,844111
1,Adams,City of Commerce City Councilmember - Ward 3,844113
1,Adams,City of Commerce City Councilmember - At Large,844115
1,Adams,City of Federal Heights Council Member - Ward 1,844117
1,Adams,City of Federal Heights Council Member - Ward 2,844119
1,Adams,City of Federal Heights Council Member - Ward 3,844121
1,Adams,City of Northglenn Council Member - Ward 1,844123
1,Adams,City of Northglenn Council Member - Ward 2,844125
1,Adams,City of Northglenn Council Member - Ward 3,844127
1,Adams,City of Northglenn Council Member - Ward 4,844129
1,Adams,City of Thornton Council Member - Ward 1,844131
1,Adams,City of Thornton Council Member - Ward 2,844133
1,Adams,City of Thornton Council Member - Ward 3,844135
1,Adams,City of Thornton Council Member - Ward 4,844137
1,Adams,City of Westminster Mayor,844139
1,Adams,City of Westminster Council Members,844141
1,Adams,Adams 12 Five Star School District Director - District No 3,844143
1,Adams,Adams 12 Five Star School District Director - District No 4,844145
1,Adams,Adams County School District 14 Board Of Education,844147
1,Adams,School District 27J Board of Education Director District No. 2,844149
1,Adams,School District 27J Board of Education Director District No. 4,844151
1,Adams,School District 27J Board of Education Director District No. 5,844153
1,Adams,School District 27J Board of Education Director District No. 6,844155
1,Adams,Adams-Arapahoe School District 28J Board of Directors,844157
1,Adams,Strasburg School District 31J School Board Director,844159
1,Adams,Byers School District 32J School Board Director,844161
1,Adams,Wiggins School District RE-50J Board Of Education,844163
1,Adams,Proposition LL (Statutory),844165
1,Adams,Proposition MM (Statutory),844167
1,Adams,City of Arvada Ballot Question 3G,844169
1,Adams,City of Aurora Question 3B,844171
1,Adams,City of Aurora Question 3C,844173
1,Adams,City of Aurora Question 3D,844175
1,Adams,City of Aurora Question 3E,844177
1,Adams,City of Aurora Question 3F,844179
1,Adams,City of Thornton Ballot Question 2A,844181
1,Adams,City of Thornton Ballot Question 2B,844183
1,Adams,City of Thornton Ballot Question 2C,844185
1,Adams,City of Thornton Ballot Question 2D,844187
1,Adams,City of Westminster Ballot Issue 3H,844189
1,Adams,ADAMS 12 FIVE STAR SCHOOLS BALLOT ISSUE 5B,844191
1,Adams,Byers School District No. 32J Ballot Issue 5A,844193
1,Adams,Deer Trail Rural Fire Protection District Ballot Issue 7B,844195
1,Adams,SOUTH ADAMS COUNTY FIRE PROTECTION DISTRICT 6A,844197
2,Alamosa,City of Alamosa Mayor,950965
2,Alamosa,City of Alamosa Councilor at Large,950967
2,Alamosa,City of Alamosa Councilor Ward 2,950969
2,Alamosa,City of Alamosa Councilor Ward 4,950971
2,Alamosa,Alamosa School District RE-11J Director District 3,950973
2,Alamosa,Alamosa School District RE-11J Director District 6,950975
2,Alamosa,Center Consolidated School District 26 JT Director - District A,950977
2,Alamosa,Center Consolidated School District 26 JT Director - District B,950979
2,Alamosa,Sanford School District 6J - At Large Director,950981
2,Alamosa,Sangre de Cristo School District RE-22J Director - At-Large,950983
2,Alamosa,Sangre de Cristo School District RE-22J Director - District South,950985
2,Alamosa,Proposition LL (Statutory),950987
2,Alamosa,Proposition MM (Statutory),950989
2,Alamosa,Alamosa School District RE-11J Ballot Issue 5A,950991
2,Alamosa,Center Consolidated School District 26 JT Ballot Question 5B,950993
3,Arapahoe,City of Aurora Council Member - At Large,1423928
3,Arapahoe,City of Centennial Mayor,1423930
3,Arapahoe,City of Englewood Office of Mayor At-Large,1423932
3,Arapahoe,City of Englewood Office of Municipal Judge,1423934
3,Arapahoe,City of Littleton Mayor,1423936
3,Arapahoe,City of Littleton Council Member At-Large,1423938
3,Arapahoe,City of Sheridan Mayor,1423940
3,Arapahoe,City of Aurora Council Member Ward I,1423942
3,Arapahoe,City of Aurora Council Member Ward II,1423944
3,Arapahoe,City of Aurora Council Member Ward III,1423946
3,Arapahoe,City of Centennial Council Member District 1,1423948
3,Arapahoe,City of Centennial Council Member District 2,1423950
3,Arapahoe,City of Centennial Council Member District 3,1423952
3,Arapahoe,City of Centennial Council Member District 4,1423954
3,Arapahoe,City of Englewood Office of Council Member District 2,1423956
3,Arapahoe,City of Englewood Office of Council Member District 4,1423958
3,Arapahoe,City of Greenwood Village Councilmember District 1,1423960
3,Arapahoe,City of Greenwood Village Councilmember District 2,1423962
3,Arapahoe,City of Greenwood Village Councilmember District 3,1423964
3,Arapahoe,City of Greenwood Village Councilmember District 4,1423966
3,Arapahoe,City of Littleton Council Member District I,1423968
3,Arapahoe,City of Littleton Council Member District III,1423970
3,Arapahoe,City of Sheridan City Council Member Ward I,1423972
