County,Scanner ID,Batch,# of Ballots,Location
Phillips,102,1,25,vault
Phillips,102,2,25,vault
Phillips,102,3,25,vault
Phillips,102,4,25,vault
Phillips,102,5,25,vault
Phillips,102,6,25,vault
Phillips,102,7,25,vault
Phillips,102,8,25,vault
Phillips,102,9,25,vault
Phillips,102,10,25,vault
Phillips,102,11,25,vault
Phillips,102,12,25,vault
Phillips,102,13,25,vault
Phillips,102,14,25,vault
Phillips,102,15,25,vault
Phillips,102,16,25,vault
Phillips,102,17,25,vault
Phillips,102,18,25,vault
Phillips,102,19,25,vault
Phillips,102,20,25,vault
Phillips,102,21,25,vault
Phillips,102,22,25,vault
Phillips,102,23,25,vault
Phillips,102,24,25,vault
Phillips,102,25,25,vault
Phillips,102,26,25,vault
Phillips,102,27,25,vault
Phillips,102,28,25,vault
Phillips,102,29,25,vault
Phillips,102,30,25,vault
Phillips,102,31,25,vault
Phillips,102,32,25,vault
Phillips,102,33,25,vault
Phillips,102,34,25,vault
Phillips,102,35,25,vault
Phillips,102,36,25,vault
Phillips,102,37,25,vault
Phillips,102,38,25,vault
Phillips,102,39,25,vault
Phillips,102,40,25,vault
Phillips,102,41,25,vault
Phillips,102,42,25,vault
Phillips,102,43,25,vault
Phillips,102,44,25,vault
Phillips,102,45,25,vault
Phillips,102,46,25,vault
Phillips,102,47,25,vault
Phillips,102,48,25,vault
Phillips,102,49,25,vault
Phillips,102,50,25,vault
Phillips,102,51,25,vault
Phillips,102,52,12,vault
Phillips,102,53,23,vault
