County,Tabulator,Batch,. of Ballots,Location
Douglas,1,PRI-0770,100,60
Douglas,1,PRI-0771,100,77
Douglas,1,PRI-0772,100,53
Douglas,1,PRI-0773,100,53
Douglas,1,PRI-0774,100,35
Douglas,1,PRI-0775,88,58
Douglas,1,PRI-0776,99,55
Douglas,1,PRI-0777,100,75
Douglas,1,PRI-0778,100,77
Douglas,1,PRI-0779,100,77
Douglas,1,PRI-0780,90,53
Douglas,1,PRI-0781,100,77
Douglas,1,PRI-0782,100,53
Douglas,1,PRI-0783,100,77
Douglas,1,PRI-0784,100,60
Douglas,1,PRI-0785,100,53
Douglas,1,PRI-0786,100,60
Douglas,1,PRI-0787,100,77
Douglas,1,PRI-0788,100,53
Douglas,1,PRI-0789,100,53
Douglas,1,PRI-0790,98,52
Douglas,1,PRI-0791,100,52
Douglas,1,PRI-0792,100,36
Douglas,1,PRI-0793,100,52
Douglas,1,PRI-0794,100,36
Douglas,1,PRI-0795,100,35
Douglas,1,PRI-0796,100,36
Douglas,1,PRI-0797,100,60
Douglas,1,PRI-0798,100,35
Douglas,1,PRI-0799,100,52
Douglas,1,PRI-0800,100,35
Douglas,1,PRI-0801,100,52
Douglas,1,PRI-0802,81,36
Douglas,1,PRI-0803,100,35
Douglas,1,PRI-0804,100,107
Douglas,1,PRI-0805,100,107
Douglas,1,PRI-0806,100,60
Douglas,1,PRI-0807,100,53
Douglas,1,PRI-0808,91,53
Douglas,1,PRI-0809,100,107
Douglas,1,PRI-0810,100,55
Douglas,1,PRI-0811,100,78
Douglas,1,PRI-0812,100,35
Douglas,1,PRI-0813,100,52
Douglas,1,PRI-0814,100,52
Douglas,1,PRI-0815,100,52
Douglas,1,PRI-0816,100,52
Douglas,1,PRI-0817,100,52
Douglas,1,PRI-0818,82,35
Douglas,1,PRI-0819,100,33
Douglas,1,PRI-0820,100,36
Douglas,1,PRI-0821,100,55
Douglas,1,PRI-0822,100,55
Douglas,1,PRI-0823,100,78
Douglas,1,PRI-0824,100,35
Douglas,1,PRI-0825,77,78
Douglas,1,PRI-0826,100,35
Douglas,1,PRI-0827,100,78
Douglas,1,PRI-0828,100,35
Douglas,1,PRI-0829,100,55
Douglas,1,PRI-0830,100,107
Douglas,1,PRI-0831,99,36
Douglas,1,PRI-0832,100,52
Douglas,1,PRI-0833,100,33
Douglas,1,PRI-0834,100,52
Douglas,1,PRI-0835,100,52
Douglas,1,PRI-0836,100,36
Douglas,1,PRI-0837,100,56
Douglas,1,PRI-0838,100,33
Douglas,1,PRI-0839,100,36
Douglas,1,PRI-0840,100,55
Douglas,1,PRI-0841,100,78
Douglas,1,PRI-0842,100,78
Douglas,1,PRI-0843,100,33
Douglas,1,PRI-0844,100,80
Douglas,1,PRI-0845,84,78
Douglas,1,PRI-0846,100,33
Douglas,1,PRI-0847,100,52
Douglas,1,PRI-0848,100,107
Douglas,1,PRI-0849,100,36
Douglas,1,PRI-0850,100,52
Douglas,1,PRI-0851,100,52
Douglas,1,PRI-0852,100,55
Douglas,1,PRI-0853,100,35
Douglas,1,PRI-0854,100,55
Douglas,1,PRI-0855,100,33
Douglas,1,PRI-0856,100,35
Douglas,1,PRI-0857,100,35
Douglas,1,PRI-0858,100,35
Douglas,1,PRI-0859,100,52
Douglas,1,PRI-0860,100,35
Douglas,1,PRI-0861,100,107
Douglas,1,PRI-0862,79,33
Douglas,1,PRI-0863,100,36
Douglas,1,PRI-0864,100,53
Douglas,1,PRI-0865,100,78
Douglas,1,PRI-0866,69,55
Douglas,1,PRI-0867,79,107
Douglas,1,PRI-0868,100,36
Douglas,1,PRI-0869,10,109
Douglas,1,PRI-0870,100,53
Douglas,1,PRI-0871,100,78
Douglas,1,PRI-0872,100,36
Douglas,1,PRI-0873,100,78
Douglas,1,PRI-0874,100,36
Douglas,1,PRI-0875,100,36
Douglas,1,PRI-0876,100,36
Douglas,1,PRI-0877,100,77
Douglas,1,PRI-0878,100,35
Douglas,1,PRI-0879,96,77
Douglas,1,PRI-0880,100,53
Douglas,1,PRI-0881,100,36
Douglas,1,PRI-0882,98,55
Douglas,1,PRI-0883,100,53
Douglas,1,PRI-0884,100,78
Douglas,1,PRI-0885,100,36
Douglas,1,PRI-0886,91,78
Douglas,1,PRI-0887,100,53
Douglas,1,PRI-0888,100,53
Douglas,1,PRI-0889,100,35
Douglas,1,PRI-0890,100,77
Douglas,1,PRI-0891,100,36
Douglas,1,PRI-0892,100,53
Douglas,1,PRI-0893,100,53
Douglas,1,PRI-0894,100,36
Douglas,1,PRI-0895,50,36
Douglas,1,PRI-0896,100,60
Douglas,1,PRI-0897,100,19
Douglas,1,PRI-0898,100,19
Douglas,1,PRI-0899,100,53
Douglas,1,PRI-0900,71,35
Douglas,1,PRI-0901,100,35
Douglas,1,PRI-0902,100,53
Douglas,1,PRI-0903,100,60
Douglas,1,PRI-0904,100,35
Douglas,1,PRI-0905,100,35
Douglas,1,PRI-0906,100,36
Douglas,1,PRI-0907,100,78
Douglas,1,PRI-0908,100,78
Douglas,1,PRI-0909,100,35
Douglas,1,PRI-0910,100,77
Douglas,1,PRI-0911,100,77
Douglas,1,PRI-0912,84,77
Douglas,1,PRI-0913,100,78
Douglas,1,PRI-0914,100,53
Douglas,1,PRI-0915,100,78
Douglas,1,PRI-0916,100,53
Douglas,1,PRI-0917,100,53
Douglas,1,PRI-0918,100,53
Douglas,1,PRI-0919,101,35
Douglas,1,PRI-0920,52,53
Douglas,1,PRI-0921,100,78
Douglas,1,PRI-0922,100,78
Douglas,1,PRI-0923,100,78
Douglas,1,PRI-0924,100,78
Douglas,1,PRI-0925,100,55
Douglas,1,PRI-0926,100,55
Douglas,1,PRI-0927,63,55
Douglas,1,PRI-0928,95,36
Douglas,1,PRI-0929,100,78
Douglas,1,PRI-0930,100,107
Douglas,1,PRI-0931,100,78
Douglas,1,PRI-0932,100,36
Douglas,1,PRI-0933,57,36
Douglas,1,PRI-0934,100,107
Douglas,1,PRI-0935,100,107
Douglas,1,PRI-0936,100,107
Douglas,1,PRI-0937,100,107
Douglas,1,PRI-0938,100,55
Douglas,1,PRI-0939,100,107
Douglas,1,PRI-0940,100,38
Douglas,1,PRI-0941,100,55
Douglas,1,PRI-0942,100,55
Douglas,1,PRI-0943,100,55
Douglas,1,PRI-0944,100,38
Douglas,1,PRI-0945,100,55
Douglas,1,PRI-0946,94,38
Douglas,1,PRI-0947,100,107
Douglas,1,PRI-0948,100,55
Douglas,1,PRI-0949,100,80
Douglas,1,PRI-0950,100,107
Douglas,1,PRI-0951,100,80
Douglas,1,PRI-0952,100,107
Douglas,1,PRI-0953,95,55
Douglas,1,PRI-0954,100,80
Douglas,1,PRI-0955,100,80
Douglas,1,PRI-0956,100,80
Douglas,1,PRI-0957,100,55
Douglas,1,PRI-0958,100,107
Douglas,1,PRI-0959,100,38
Douglas,1,PRI-0960,97,109
Douglas,1,PRI-0961,100,38
Douglas,1,PRI-0962,100,56
Douglas,1,PRI-0963,100,56
Douglas,1,PRI-0964,100,38
Douglas,1,PRI-0965,100,80
Douglas,1,PRI-0966,100,38
Douglas,1,PRI-0967,95,38
Douglas,1,PRI-0968,100,55
Douglas,1,PRI-0969,100,107
Douglas,1,PRI-0970,100,80
Douglas,1,PRI-0971,100,80
Douglas,1,PRI-0972,100,38
Douglas,1,PRI-0973,100,55
Douglas,1,PRI-0974,100,107
Douglas,1,PRI-0975,100,38
Douglas,1,PRI-0976,100,107
Douglas,1,PRI-0977,100,107
Douglas,1,PRI-0978,91,107
Douglas,1,PRI-0979,100,80
Douglas,1,PRI-0980,100,38
Douglas,1,PRI-0981,100,56
Douglas,1,PRI-0982,100,107
Douglas,1,PRI-0983,101,109
Douglas,1,PRI-0984,100,38
Douglas,1,PRI-0985,100,80
Douglas,1,PRI-0986,100,56
Douglas,1,PRI-0987,100,38
Douglas,1,PRI-0988,78,80
Douglas,1,PRI-0989,100,107
Douglas,1,PRI-0990,100,109
Douglas,1,PRI-0991,100,38
Douglas,1,PRI-0992,100,80
Douglas,1,PRI-0993,100,80
Douglas,1,PRI-0994,100,56
Douglas,1,PRI-0995,87,38
Douglas,1,PRI-0996,100,109
Douglas,1,PRI-0997,100,109
Douglas,1,PRI-0998,100,109
Douglas,1,PRI-0999,100,80
Douglas,1,PRI-1000,100,80
Douglas,1,PRI-1001,100,80
Douglas,1,PRI-1002,100,56
Douglas,1,PRI-1003,100,80
Douglas,1,PRI-1004,54,56
Douglas,1,PRI-1005,100,56
Douglas,1,PRI-1006,100,56
Douglas,1,PRI-1007,100,80
Douglas,1,PRI-1008,100,109
Douglas,1,PRI-1009,100,109
Douglas,1,PRI-1010,100,38
Douglas,1,PRI-1011,100,80
Douglas,1,PRI-1012,100,38
Douglas,1,PRI-1013,100,38
Douglas,1,PRI-1014,100,109
Douglas,1,PRI-1015,100,80
Douglas,1,PRI-1016,100,109
Douglas,1,PRI-1017,99,80
Douglas,1,PRI-1018,100,109
Douglas,1,PRI-1019,61,56
Douglas,1,PRI-1020,100,38
Douglas,1,PRI-1021,67,109
Douglas,1,PRI-1022,100,109
Douglas,1,PRI-1023,100,58
Douglas,1,PRI-1024,100,56
Douglas,1,PRI-1025,46,109
Douglas,1,PRI-1026,100,56
Douglas,1,PRI-1027,100,56
Douglas,1,PRI-1028,101,58
Douglas,1,PRI-1029,42,109
Douglas,1,PRI-1030,100,109
Douglas,1,PRI-1031,100,56
Douglas,1,PRI-1032,100,38
Douglas,1,PRI-1033,100,109
Douglas,1,PRI-1034,100,80
Douglas,1,PRI-1035,100,38
Douglas,1,PRI-1036,56,58
Douglas,1,PRI-1037,100,56
Douglas,1,PRI-1038,100,56
Douglas,1,PRI-1039,100,109
Douglas,1,PRI-1040,100,56
Douglas,1,PRI-1041,99,58
Douglas,1,PRI-1042,100,109
Douglas,1,PRI-1043,100,56
Douglas,1,PRI-1044,100,58
Douglas,1,PRI-1045,100,109
Douglas,1,PRI-1046,99,56
Douglas,1,PRI-1047,100,56
Douglas,1,PRI-1048,100,56
Douglas,1,PRI-1049,99,109
Douglas,1,PRI-1050,100,109
Douglas,1,PRI-1051,100,58
Douglas,1,PRI-1052,100,56
Douglas,1,PRI-1053,100,109
Douglas,1,PRI-1054,88,56
Douglas,1,PRI-1055,35,109
Douglas,1,PRI-1056,35,38
Douglas,1,PRI-1057,100,58
Douglas,1,PRI-1058,100,58
Douglas,1,PRI-1059,100,58
Douglas,1,PRI-1060,57,58
Douglas,1,PRI-1061,100,38
Douglas,1,PRI-1062,99,58
Douglas,1,PRI-1063,100,58
Douglas,1,PRI-1064,60,58
Douglas,1,PRI-1065,106,58
Douglas,1,PRI-1066,99,58
Douglas,1,PRI-1067,100,58
Douglas,1,PRI-1068,100,58
Douglas,1,PRI-1069,107,58
Douglas,1,PRI-1070,100,58
Douglas,1,PRI-1071,100,58
Douglas,1,PRI-1072,100,58
Douglas,1,PRI-1073,60,58
Douglas,1,PRI-1074,94,58
Douglas,1,PRI-1075,100,58
Douglas,1,PRI-1076,2,58
Douglas,1,PRI-1077,64,58
Douglas,1,PRI-1078,97,58
Douglas,1,PRI-1079,37,58
Douglas,1,PRI-1150,4,13
Douglas,1,PRI-1151,7,27
Douglas,1,PRI-1152,3,43
Douglas,1,PRI-1153,20,70
Douglas,1,PRI-1154,10,70
Douglas,1,PRI-1155,11,70
Douglas,1,PRI-1156,10,72
Douglas,1,PRI-1157,6,72
Douglas,1,PRI-1158,7,72
Douglas,1,PRI-1159,13,45
Douglas,1,PRI-1160,7,45
Douglas,1,PRI-1161,6,45
Douglas,1,PRI-1162,7,48
Douglas,1,PRI-1163,9,48
Douglas,1,PRI-1164,9,48
Douglas,1,PRI-1165,8,73
Douglas,1,PRI-1166,7,73
Douglas,1,PRI-1167,18,60
Douglas,1,PRI-1168,3,73
Douglas,1,PRI-1169,38,60
Douglas,1,PRI-1170,33,60
Douglas,1,PRI-1171,224,80
Douglas,1,PRI-1172,308,38
Douglas,1,PRI-1173,197,109
