County,Tabulator,Batch,. of Ballots,Location
Douglas,1,PRI-0126,100,11
Douglas,1,PRI-0127,100,11
Douglas,1,PRI-0128,100,11
Douglas,1,PRI-0129,100,65
Douglas,1,PRI-0130,100,63
Douglas,1,PRI-0131,100,21
Douglas,1,PRI-0132,100,23
Douglas,1,PRI-0133,101,65
Douglas,1,PRI-0134,100,10
Douglas,1,PRI-0135,100,63
Douglas,1,PRI-0136,100,63
Douglas,1,PRI-0137,100,23
Douglas,1,PRI-0138,100,65
Douglas,1,PRI-0139,100,63
Douglas,1,PRI-0140,100,23
Douglas,1,PRI-0141,100,11
Douglas,1,PRI-0142,100,65
Douglas,1,PRI-0143,100,23
Douglas,1,PRI-0144,100,65
Douglas,1,PRI-0145,99,61
Douglas,1,PRI-0146,100,61
Douglas,1,PRI-0147,100,23
Douglas,1,PRI-0148,100,61
Douglas,1,PRI-0149,100,10
Douglas,1,PRI-0150,100,23
Douglas,1,PRI-0151,100,23
Douglas,1,PRI-0152,100,21
Douglas,1,PRI-0153,100,10
Douglas,1,PRI-0154,100,23
Douglas,1,PRI-0155,100,23
Douglas,1,PRI-0156,100,61
Douglas,1,PRI-0157,100,41
Douglas,1,PRI-0158,100,10
Douglas,1,PRI-0159,100,23
Douglas,1,PRI-0160,100,10
Douglas,1,PRI-0161,100,21
Douglas,1,PRI-0162,100,61
Douglas,1,PRI-0163,62,10
Douglas,1,PRI-0164,101,10
Douglas,1,PRI-0165,40,60
Douglas,1,PRI-0166,100,67
Douglas,1,PRI-0167,100,25
Douglas,1,PRI-0168,99,65
Douglas,1,PRI-0169,100,41
Douglas,1,PRI-0170,100,25
Douglas,1,PRI-0171,100,25
Douglas,1,PRI-0172,100,11
Douglas,1,PRI-0173,100,67
Douglas,1,PRI-0174,100,65
Douglas,1,PRI-0175,100,67
Douglas,1,PRI-0176,100,25
Douglas,1,PRI-0177,85,65
Douglas,1,PRI-0178,100,41
Douglas,1,PRI-0179,100,11
Douglas,1,PRI-0180,100,11
Douglas,1,PRI-0181,100,11
Douglas,1,PRI-0182,100,41
Douglas,1,PRI-0183,100,25
Douglas,1,PRI-0184,100,65
Douglas,1,PRI-0185,100,13
Douglas,1,PRI-0186,100,11
Douglas,1,PRI-0187,100,25
Douglas,1,PRI-0188,100,65
Douglas,1,PRI-0189,87,41
Douglas,1,PRI-0190,100,25
Douglas,1,PRI-0191,100,41
Douglas,1,PRI-0192,101,67
Douglas,1,PRI-0193,100,41
Douglas,1,PRI-0194,100,25
Douglas,1,PRI-0195,100,41
Douglas,1,PRI-0196,98,67
Douglas,1,PRI-0197,99,65
Douglas,1,PRI-0198,100,41
Douglas,1,PRI-0199,100,25
Douglas,1,PRI-0200,100,41
Douglas,1,PRI-0201,100,41
Douglas,1,PRI-0202,100,25
Douglas,1,PRI-0203,100,41
Douglas,1,PRI-0204,100,11
Douglas,1,PRI-0205,100,11
Douglas,1,PRI-0206,66,11
Douglas,1,PRI-0207,100,41
Douglas,1,PRI-0208,100,67
Douglas,1,PRI-0209,100,25
Douglas,1,PRI-0210,100,13
Douglas,1,PRI-0211,100,27
Douglas,1,PRI-0212,63,43
Douglas,1,PRI-0213,100,41
Douglas,1,PRI-0214,100,13
Douglas,1,PRI-0215,100,67
Douglas,1,PRI-0216,100,11
Douglas,1,PRI-0217,100,11
Douglas,1,PRI-0218,100,25
Douglas,1,PRI-0219,100,65
Douglas,1,PRI-0220,100,11
Douglas,1,PRI-0221,41,41
Douglas,1,PRI-0222,100,25
Douglas,1,PRI-0223,100,65
Douglas,1,PRI-0224,100,65
Douglas,1,PRI-0225,100,65
Douglas,1,PRI-0226,100,65
Douglas,1,PRI-0227,100,11
Douglas,1,PRI-0228,100,65
Douglas,1,PRI-0229,100,41
Douglas,1,PRI-0230,100,65
Douglas,1,PRI-0231,100,65
Douglas,1,PRI-0232,100,25
Douglas,1,PRI-0233,100,27
Douglas,1,PRI-0234,100,11
Douglas,1,PRI-0235,100,25
Douglas,1,PRI-0236,100,65
Douglas,1,PRI-0237,89,41
Douglas,1,PRI-0238,100,25
Douglas,1,PRI-0239,57,11
Douglas,1,PRI-0240,100,41
Douglas,1,PRI-0241,100,65
Douglas,1,PRI-0242,100,11
Douglas,1,PRI-0243,100,65
Douglas,1,PRI-0244,100,11
Douglas,1,PRI-0245,100,41
Douglas,1,PRI-0246,100,41
Douglas,1,PRI-0247,100,13
Douglas,1,PRI-0248,90,27
