County,Tabulator,ICC Batch #,Number of Ballots Batched,Bin/Bag # Ballots Stored
Archuleta,102,1,24,1
Archuleta,102,2,23,1
Archuleta,102,3,16,1
Archuleta,102,4,20,1
Archuleta,102,5,15,1
Archuleta,102,6,23,1
Archuleta,102,7,12,1
Archuleta,102,8,10,1
Archuleta,102,9,24,1
Archuleta,102,10,25,1
Archuleta,102,11,24,1
Archuleta,102,12,24,1
Archuleta,102,13,24,1
Archuleta,102,14,24,1
Archuleta,102,15,22,1
Archuleta,102,16,8,1
Archuleta,102,17,24,1
Archuleta,102,18,25,1
Archuleta,102,19,25,1
Archuleta,102,20,25,1
Archuleta,102,21,24,1
Archuleta,102,22,25,1
Archuleta,102,23,24,1
Archuleta,102,24,7,1
Archuleta,102,25,25,1
Archuleta,102,26,25,1
Archuleta,102,27,17,1
Archuleta,102,28,25,1
Archuleta,102,29,25,1
Archuleta,102,30,14,1
Archuleta,102,31,24,1
Archuleta,102,32,25,1
Archuleta,102,33,25,1
Archuleta,102,34,24,1
Archuleta,102,35,25,1
Archuleta,102,36,20,1
Archuleta,102,37,25,1
Archuleta,102,38,13,1
Archuleta,102,39,25,1
Archuleta,102,40,23,1
Archuleta,102,41,25,1
Archuleta,102,42,24,1
Archuleta,102,43,18,1
Archuleta,102,44,25,1
Archuleta,102,45,25,1
Archuleta,102,46,25,1
Archuleta,102,47,24,1
Archuleta,102,48,18,1
Archuleta,102,49,24,1
Archuleta,102,50,25,1
Archuleta,102,51,25,1
Archuleta,102,52,22,1
Archuleta,102,53,25,1
Archuleta,102,54,25,1
Archuleta,102,55,25,1
Archuleta,102,56,6,1
Archuleta,102,57,24,1
Archuleta,102,58,25,1
Archuleta,102,59,24,1
Archuleta,102,60,11,1
Archuleta,102,61,25,1
Archuleta,102,62,25,1
Archuleta,102,63,15,1
Archuleta,102,64,25,1
Archuleta,102,65,24,1
Archuleta,102,66,22,1
Archuleta,102,67,23,1
Archuleta,102,68,24,1
Archuleta,102,69,25,1
Archuleta,102,70,24,1
Archuleta,102,71,25,1
Archuleta,102,72,10,1
Archuleta,102,73,8,1
Archuleta,102,74,25,1
Archuleta,102,75,8,1
Archuleta,102,76,23,1
Archuleta,102,77,12,1
Archuleta,102,78,25,1
Archuleta,102,79,23,1
Archuleta,102,80,17,2
Archuleta,102,81,23,2
Archuleta,102,82,25,2
Archuleta,102,83,25,2
Archuleta,102,84,25,2
Archuleta,102,85,25,2
Archuleta,102,86,25,2
Archuleta,102,87,25,2
Archuleta,102,88,25,2
Archuleta,102,89,17,2
Archuleta,102,90,24,2
Archuleta,102,91,24,2
Archuleta,102,92,18,2
Archuleta,102,93,25,2
Archuleta,102,94,24,2
Archuleta,102,95,25,2
Archuleta,102,96,25,2
Archuleta,102,97,25,2
Archuleta,102,98,22,2
Archuleta,102,99,25,2
Archuleta,102,100,25,2
Archuleta,102,101,25,2
Archuleta,102,102,25,2
Archuleta,102,103,25,2
Archuleta,102,104,25,2
Archuleta,102,105,10,2
Archuleta,102,106,5,2
Archuleta,102,107,25,2
Archuleta,102,108,25,2
Archuleta,102,109,24,2
Archuleta,102,110,25,2
Archuleta,102,111,25,2
Archuleta,102,112,5,2
Archuleta,102,113,25,2
Archuleta,102,114,25,2
Archuleta,102,115,25,2
Archuleta,102,116,25,2
Archuleta,102,117,25,2
Archuleta,102,118,25,2
Archuleta,102,119,25,2
Archuleta,102,120,23,2
Archuleta,102,121,5,2
Archuleta,102,122,25,2
Archuleta,102,123,7,2
Archuleta,102,124,25,2
Archuleta,102,125,4,2
Archuleta,102,126,24,2
Archuleta,102,127,22,2
Archuleta,102,128,24,2
Archuleta,102,129,25,2
Archuleta,102,130,25,2
Archuleta,102,131,25,2
Archuleta,102,132,24,2
Archuleta,102,133,23,2
Archuleta,102,134,25,2
Archuleta,102,135,14,2
Archuleta,102,136,19,2
Archuleta,102,137,7,2
Archuleta,102,138,14,2
Archuleta,102,139,25,2
Archuleta,102,140,25,2
Archuleta,102,141,25,2
Archuleta,102,142,25,2
Archuleta,102,143,22,2
Archuleta,102,144,25,2
Archuleta,102,145,24,2
Archuleta,102,146,23,2
Archuleta,102,147,24,2
Archuleta,102,148,11,2
Archuleta,102,149,10,2
Archuleta,102,150,22,2
Archuleta,102,151,23,2
Archuleta,102,152,23,2
Archuleta,102,153,25,2
Archuleta,102,154,21,2
Archuleta,102,155,25,2
Archuleta,102,156,24,2
Archuleta,102,157,25,2
Archuleta,102,158,8,2
Archuleta,102,159,25,2
Archuleta,102,160,25,2
Archuleta,102,161,24,2
Archuleta,102,162,25,2
Archuleta,102,163,24,2
Archuleta,102,164,25,2
Archuleta,102,165,25,2
Archuleta,102,166,24,2
Archuleta,102,167,25,2
Archuleta,102,168,18,2
Archuleta,102,169,21,2
Archuleta,102,170,3,2
Archuleta,102,171,25,2
Archuleta,102,172,10,2
Archuleta,102,173,21,2
Archuleta,102,174,24,2
Archuleta,102,175,17,2
Archuleta,102,176,6,2
Archuleta,102,177,24,2
Archuleta,102,178,25,2
Archuleta,102,179,11,2
Archuleta,102,180,9,2
Archuleta,102,181,24,2
Archuleta,102,182,20,2
Archuleta,102,183,23,2
Archuleta,102,184,7,2
Archuleta,102,185,25,2
Archuleta,102,186,11,2
Archuleta,102,187,25,2
Archuleta,102,188,25,2
Archuleta,102,189,25,2
Archuleta,102,190,25,2
Archuleta,102,191,25,2
Archuleta,102,192,20,2
Archuleta,102,193,23,2
Archuleta,102,194,23,2
Archuleta,102,195,22,2
Archuleta,102,196,134,2
Archuleta,102,197,16,2
Archuleta,102,198,25,2
Archuleta,102,199,20,2
Archuleta,102,200,14,2
Archuleta,102,201,16,2
Archuleta,102,202,22,2
Archuleta,102,203,15,2
Archuleta,102,204,8,2
Archuleta,102,205,20,2
Archuleta,102,206,15,2
Archuleta,102,207,21,2
Archuleta,102,208,24,2
Archuleta,102,209,7,2
Archuleta,102,210,14,2
Archuleta,102,211,26,2
Archuleta,102,212,10,2
Archuleta,102,213,24,2
Archuleta,102,214,46,Final Tabulation
