County,Tabulator,Batch #,# of ballots,Location
Adams,101,1,100,BOX-101-1
Adams,101,2,62,BOX-101-1
Adams,101,3,100,BOX-101-1
Adams,101,4,100,BOX-101-1
Adams,101,5,100,BOX-101-1
Adams,101,6,100,BOX-101-1
Adams,101,7,40,BOX-101-1
Adams,101,8,36,BOX-101-1
Adams,101,9,100,BOX-101-1
Adams,101,10,1,BOX-101-1
Adams,101,11,100,BOX-101-1
Adams,101,12,100,BOX-101-1
Adams,101,13,34,BOX-101-1
Adams,101,14,100,BOX-101-1
Adams,101,15,100,BOX-101-1
Adams,101,16,29,BOX-101-2
Adams,101,17,100,BOX-101-2
Adams,101,18,100,BOX-101-2
Adams,101,19,100,BOX-101-2
Adams,101,20,100,BOX-101-2
Adams,101,21,100,BOX-101-2
Adams,101,22,100,BOX-101-2
Adams,101,23,100,BOX-101-2
Adams,101,24,100,BOX-101-2
Adams,101,25,100,BOX-101-2
Adams,101,26,97,BOX-101-2
Adams,101,27,97,BOX-101-2
Adams,101,28,73,BOX-101-3
Adams,101,29,96,BOX-101-3
Adams,101,30,90,BOX-101-3
Adams,101,31,56,BOX-101-3
Adams,101,32,100,BOX-101-3
Adams,101,33,94,BOX-101-3
Adams,101,34,100,BOX-101-3
Adams,101,35,99,BOX-101-3
Adams,101,36,100,BOX-101-3
Adams,101,37,97,BOX-101-3
Adams,101,38,96,BOX-101-3
Adams,101,39,100,BOX-101-3
Adams,101,40,97,BOX-101-3
Adams,101,41,100,BOX-101-4
Adams,101,42,100,BOX-101-4
Adams,101,43,55,BOX-101-4
Adams,101,44,99,BOX-101-4
Adams,101,45,100,BOX-101-4
Adams,101,46,14,BOX-101-4
Adams,101,47,100,BOX-101-4
Adams,101,48,92,BOX-101-4
Adams,101,49,99,BOX-101-4
Adams,101,50,100,BOX-101-4
Adams,101,51,100,BOX-101-4
Adams,101,52,100,BOX-101-4
Adams,101,53,100,BOX-101-4
Adams,101,54,100,BOX-101-5
Adams,101,55,96,BOX-101-5
Adams,101,56,100,BOX-101-5
Adams,101,57,100,BOX-101-5
Adams,101,58,91,BOX-101-6
Adams,101,59,98,BOX-101-6
Adams,101,60,100,BOX-101-6
Adams,101,61,100,BOX-101-6
Adams,101,62,100,BOX-101-6
Adams,101,63,100,BOX-101-6
Adams,101,64,100,BOX-101-6
Adams,101,65,100,BOX-101-6
Adams,101,66,100,BOX-101-6
Adams,101,67,100,BOX-101-6
Adams,101,68,100,BOX-101-6
Adams,101,69,100,BOX-101-6
Adams,101,70,100,BOX-101-6
Adams,101,71,99,BOX-101-7
Adams,101,72,100,BOX-101-7
Adams,101,73,98,BOX-101-7
Adams,101,74,99,BOX-101-7
Adams,101,75,100,BOX-101-7
Adams,101,76,100,BOX-101-7
Adams,101,77,100,BOX-101-7
Adams,101,78,100,BOX-101-7
Adams,101,79,100,BOX-101-7
Adams,101,80,100,BOX-101-7
Adams,101,81,100,BOX-101-7
Adams,101,82,48,BOX-101-7
Adams,101,83,100,BOX-101-8
Adams,101,84,100,BOX-101-8
Adams,101,85,100,BOX-101-8
Adams,101,86,100,BOX-101-8
Adams,101,87,100,BOX-101-8
Adams,101,88,99,BOX-101-8
Adams,101,89,93,BOX-101-8
Adams,101,90,100,BOX-101-8
Adams,101,91,82,BOX-101-8
Adams,101,92,100,BOX-101-8
Adams,101,93,94,BOX-101-8
Adams,101,94,100,BOX-101-8
Adams,101,95,96,BOX-101-8
Adams,101,96,100,BOX-101-9
Adams,101,97,99,BOX-101-9
Adams,101,98,100,BOX-101-9
Adams,101,99,100,BOX-101-9
Adams,101,100,100,BOX-101-9
Adams,101,101,100,BOX-101-9
Adams,101,102,97,BOX-101-9
Adams,101,103,100,BOX-101-9
Adams,101,104,98,BOX-101-9
Adams,101,105,100,BOX-101-9
Adams,101,106,100,BOX-101-9
Adams,101,107,100,BOX-101-9
Adams,101,108,100,BOX-101-10
Adams,101,109,100,BOX-101-10
Adams,101,110,100,BOX-101-10
Adams,101,111,100,BOX-101-10
Adams,101,112,96,BOX-101-10
Adams,101,113,100,BOX-101-10
Adams,101,114,100,BOX-101-10
Adams,101,115,33,BOX-101-10
Adams,101,116,98,BOX-101-10
Adams,101,117,100,BOX-101-10
Adams,101,118,20,BOX-101-10
Adams,101,119,39,BOX-101-10
Adams,101,120,92,BOX-101-10
Adams,101,121,100,BOX-101-10
Adams,101,122,100,BOX-101-11
Adams,101,123,100,BOX-101-11
Adams,101,124,97,BOX-101-11
Adams,101,125,100,BOX-101-11
Adams,101,126,20,BOX-101-11
Adams,101,127,91,BOX-101-11
Adams,101,128,100,BOX-101-11
Adams,101,129,100,BOX-101-11
Adams,101,130,100,BOX-101-11
Adams,101,131,100,BOX-101-11
Adams,101,132,98,BOX-101-11
Adams,101,133,100,BOX-101-12
Adams,101,134,99,BOX-101-12
Adams,101,135,100,BOX-101-12
Adams,101,136,100,BOX-101-12
Adams,101,137,100,BOX-101-12
Adams,101,138,99,BOX-101-12
Adams,101,139,100,BOX-101-12
Adams,101,140,97,BOX-101-12
Adams,101,141,100,BOX-101-12
Adams,101,142,100,BOX-101-12
Adams,101,143,100,BOX-101-12
Adams,101,144,99,BOX-101-13
Adams,101,145,100,BOX-101-13
Adams,101,146,98,BOX-101-13
Adams,101,147,97,BOX-101-13
Adams,101,148,100,BOX-101-13
Adams,101,149,100,BOX-101-13
Adams,101,150,100,BOX-101-13
Adams,101,151,100,BOX-101-13
Adams,101,152,100,BOX-101-13
Adams,101,153,100,BOX-101-13
Adams,101,154,95,BOX-101-13
Adams,101,155,100,BOX-101-13
Adams,101,156,97,BOX-101-13
Adams,101,157,100,BOX-101-14
Adams,101,158,97,BOX-101-14
Adams,101,159,100,BOX-101-14
Adams,101,160,99,BOX-101-14
Adams,101,161,98,BOX-101-14
Adams,101,162,100,BOX-101-14
Adams,101,163,100,BOX-101-14
Adams,101,164,100,BOX-101-14
Adams,101,165,100,BOX-101-14
Adams,101,166,79,BOX-101-14
Adams,101,167,100,BOX-101-14
Adams,101,168,100,BOX-101-15
Adams,101,169,98,BOX-101-15
Adams,101,170,100,BOX-101-15
Adams,101,171,66,BOX-101-15
Adams,101,172,100,BOX-101-15
Adams,101,173,95,BOX-101-15
Adams,101,174,100,BOX-101-15
Adams,101,175,100,BOX-101-15
Adams,101,176,97,BOX-101-15
Adams,101,177,100,BOX-101-15
Adams,101,178,94,BOX-101-15
Adams,101,179,99,BOX-101-15
Adams,101,180,100,BOX-101-15
Adams,101,181,100,BOX-101-16
Adams,101,182,100,BOX-101-16
Adams,101,183,100,BOX-101-16
Adams,101,184,100,BOX-101-16
Adams,101,185,100,BOX-101-16
Adams,101,186,100,BOX-101-16
Adams,101,187,100,BOX-101-16
Adams,101,188,93,BOX-101-16
Adams,101,189,100,BOX-101-16
