County,Tabulator ID,Batch,# of Ballot Cards,Location,Comments
Chaffee,101,1,50,Box 1,
Chaffee,101,2,50,Box 1,
Chaffee,101,3,50,Box 1,
Chaffee,101,4,50,Box 1,
Chaffee,101,5,50,Box 1,
Chaffee,101,6,50,Box 1,
Chaffee,101,7,50,Box 1,
Chaffee,101,8,50,Box 1,
Chaffee,101,9,50,Box 1,
Chaffee,101,10,50,Box 1,
Chaffee,101,11,50,Box 1,
Chaffee,101,12,50,Box 1,
Chaffee,101,13,50,Box 1,
Chaffee,101,14,50,Box 1,
Chaffee,101,15,50,Box 1,
Chaffee,101,16,50,Box 1,
Chaffee,101,17,49,Box 1,
Chaffee,101,18,50,Box 1,
Chaffee,101,19,50,Box 1,
Chaffee,101,20,50,Box 1,
Chaffee,101,21,50,Box 1,
Chaffee,101,22,50,Box 1,
Chaffee,101,23,50,Box 1,
Chaffee,101,24,50,Box 1,
Chaffee,101,25,50,Box 1,
Chaffee,101,26,50,Box 1,
Chaffee,101,27,50,Box 1,
Chaffee,101,28,50,Box 1,
Chaffee,101,29,50,Box 1,
Chaffee,101,30,50,Box 1,
Chaffee,101,31,50,Box 1,
Chaffee,101,32,50,Box 1,
Chaffee,101,33,50,Box 1,
Chaffee,101,34,50,Box 1,
Chaffee,101,35,50,Box 1,
Chaffee,101,36,50,Box 1,
Chaffee,101,37,50,Box 1,
Chaffee,101,38,50,Box 1,
Chaffee,101,39,50,Box 1,
Chaffee,101,40,50,Box 1,
Chaffee,101,41,50,Box 2,
Chaffee,101,42,50,Box 2,
Chaffee,101,43,50,Box 2,
Chaffee,101,44,50,Box 2,
Chaffee,101,45,50,Box 2,
Chaffee,101,46,50,Box 2,
Chaffee,101,47,50,Box 2,
Chaffee,101,48,50,Box 2,
Chaffee,101,49,50,Box 2,
Chaffee,101,50,50,Box 2,
Chaffee,101,51,50,Box 2,
Chaffee,101,52,50,Box 2,
Chaffee,101,53,50,Box 2,
Chaffee,101,54,50,Box 2,
Chaffee,101,55,50,Box 2,
Chaffee,101,56,50,Box 2,
Chaffee,101,57,50,Box 2,
Chaffee,101,58,50,Box 2,
Chaffee,101,59,50,Box 2,
Chaffee,101,60,50,Box 2,
Chaffee,101,61,50,Box 2,
Chaffee,101,62,50,Box 2,
Chaffee,101,63,50,Box 2,
Chaffee,101,64,50,Box 2,
Chaffee,101,65,50,Box 2,
Chaffee,101,66,50,Box 2,
Chaffee,101,67,50,Box 2,
Chaffee,101,68,50,Box 2,
Chaffee,101,69,50,Box 2,
Chaffee,101,70,50,Box 2,
Chaffee,101,71,50,Box 2,
Chaffee,101,72,50,Box 2,
Chaffee,101,73,50,Box 2,
Chaffee,101,74,50,Box 2,
Chaffee,101,75,50,Box 2,
Chaffee,101,76,50,Box 2,
Chaffee,101,77,50,Box 2,
Chaffee,101,78,50,Box 2,
Chaffee,101,79,50,Box 2,
Chaffee,101,80,50,Box 2,
Chaffee,101,81,50,Box 3,
Chaffee,101,82,50,Box 3,
Chaffee,101,83,50,Box 3,
Chaffee,101,84,50,Box 3,
Chaffee,101,85,50,Box 3,
Chaffee,101,86,50,Box 3,
Chaffee,101,87,50,Box 3,
Chaffee,101,88,50,Box 3,
Chaffee,101,89,50,Box 3,
Chaffee,101,90,50,Box 3,
Chaffee,101,91,50,Box 3,
Chaffee,101,92,50,Box 3,
Chaffee,101,93,50,Box 3,
Chaffee,101,94,50,Box 3,
Chaffee,101,95,50,Box 3,
Chaffee,101,96,50,Box 3,
Chaffee,101,97,50,Box 3,
Chaffee,101,98,50,Box 3,
Chaffee,101,99,50,Box 3,
Chaffee,101,100,50,Box 3,
Chaffee,101,101,50,Box 3,
Chaffee,101,102,50,Box 3,
Chaffee,101,103,50,Box 3,
Chaffee,101,104,50,Box 3,
Chaffee,101,105,50,Box 3,
Chaffee,101,106,50,Box 3,
Chaffee,101,107,50,Box 3,
Chaffee,101,108,50,Box 3,
Chaffee,101,109,50,Box 3,
Chaffee,101,110,50,Box 3,
Chaffee,101,111,50,Box 3,
Chaffee,101,112,50,Box 3,
Chaffee,101,113,50,Box 3,
Chaffee,101,114,50,Box 3,
Chaffee,101,115,50,Box 3,
Chaffee,101,116,50,Box 3,
Chaffee,101,117,50,Box 3,
Chaffee,101,118,50,Box 3,
Chaffee,101,119,50,Box 3,
Chaffee,101,120,50,Box 3,
Chaffee,101,121,50,Box 4,
Chaffee,101,122,50,Box 4,
Chaffee,101,123,50,Box 4,
Chaffee,101,124,50,Box 4,
Chaffee,101,125,50,Box 4,
Chaffee,101,126,50,Box 4,
Chaffee,101,127,50,Box 4,
Chaffee,101,128,50,Box 4,
Chaffee,101,129,50,Box 4,
Chaffee,101,130,50,Box 4,
Chaffee,101,131,50,Box 4,
Chaffee,101,132,50,Box 4,
Chaffee,101,133,50,Box 4,
Chaffee,101,134,50,Box 4,
Chaffee,101,135,50,Box 4,
Chaffee,101,136,50,Box 4,
Chaffee,101,137,50,Box 4,
Chaffee,101,138,50,Box 4,
Chaffee,101,139,50,Box 4,
Chaffee,101,140,50,Box 4,
Chaffee,101,141,50,Box 4,
Chaffee,101,142,50,Box 4,
Chaffee,101,143,50,Box 4,
Chaffee,101,144,50,Box 4,
Chaffee,101,145,51,Box 4,
Chaffee,101,146,50,Box 4,
Chaffee,101,147,50,Box 4,
Chaffee,101,148,50,Box 4,
Chaffee,101,149,8,Box 4,
Chaffee,101,150,66,Box 4,
Chaffee,101,151,16,Box 4,
Chaffee,101,152,1,Box 4,
