County,Tabulator,Batch,# of Ballots,Location
El Paso,101,1,74,Box 101-1
El Paso,101,2,89,Box 101-1
El Paso,101,3,74,Box 101-1
El Paso,101,4,97,Box 101-1
El Paso,101,5,99,Box 101-1
El Paso,101,6,100,Box 101-1
El Paso,101,7,74,Box 101-1
El Paso,101,8,100,Box 101-1
El Paso,101,9,99,Box 101-1
El Paso,101,10,98,Box 101-1
El Paso,101,11,25,Box 101-2
El Paso,101,12,25,Box 101-2
El Paso,101,13,25,Box 101-2
El Paso,101,14,25,Box 101-2
El Paso,101,15,97,Box 101-2
El Paso,101,16,91,Box 101-2
El Paso,101,17,96,Box 101-2
El Paso,101,18,92,Box 101-2
El Paso,101,19,4,Box 101-2
El Paso,101,20,99,Box 101-2
El Paso,101,21,25,Box 101-3
El Paso,101,22,25,Box 101-3
El Paso,101,23,97,Box 101-3
El Paso,101,24,98,Box 101-3
El Paso,101,25,4,Box 101-3
El Paso,101,26,24,Box 101-3
El Paso,101,27,92,Box 101-3
El Paso,101,28,95,Box 101-3
El Paso,101,29,95,Box 101-3
El Paso,101,30,95,Box 101-3
El Paso,101,31,25,Box 101-4
El Paso,101,32,25,Box 101-4
El Paso,101,33,99,Box 101-4
El Paso,101,34,98,Box 101-4
El Paso,101,35,95,Box 101-4
El Paso,101,36,91,Box 101-4
El Paso,101,37,96,Box 101-4
El Paso,101,38,86,Box 101-4
El Paso,101,39,99,Box 101-4
El Paso,101,40,98,Box 101-4
El Paso,101,41,99,Box 101-5
El Paso,101,42,99,Box 101-5
El Paso,101,43,94,Box 101-5
El Paso,101,44,95,Box 101-5
El Paso,101,45,97,Box 101-5
El Paso,101,46,100,Box 101-5
El Paso,101,47,97,Box 101-5
El Paso,101,48,95,Box 101-5
El Paso,101,49,100,Box 101-5
El Paso,101,50,93,Box 101-5
El Paso,101,51,99,Box 101-6
El Paso,101,52,99,Box 101-6
El Paso,101,53,100,Box 101-6
El Paso,101,54,100,Box 101-6
El Paso,101,55,99,Box 101-6
El Paso,101,56,99,Box 101-6
El Paso,101,57,59,Box 101-6
El Paso,101,58,100,Box 101-6
El Paso,101,59,99,Box 101-6
El Paso,101,60,100,Box 101-6
El Paso,101,61,98,Box 101-7
El Paso,101,62,98,Box 101-7
El Paso,101,63,96,Box 101-7
El Paso,101,64,1,Box 101-7
El Paso,101,65,99,Box 101-7
El Paso,101,66,95,Box 101-7
El Paso,101,67,98,Box 101-7
El Paso,101,68,97,Box 101-7
El Paso,101,69,96,Box 101-7
El Paso,101,70,97,Box 101-7
El Paso,101,71,99,Box 101-8
El Paso,101,72,34,Box 101-8
El Paso,101,73,97,Box 101-8
El Paso,101,74,95,Box 101-8
El Paso,101,76,96,Box 101-8
El Paso,101,77,100,Box 101-8
El Paso,101,78,99,Box 101-8
El Paso,101,79,100,Box 101-8
El Paso,101,80,100,Box 101-8
El Paso,101,81,100,Box 101-9
El Paso,101,82,100,Box 101-9
El Paso,101,83,100,Box 101-9
El Paso,101,84,96,Box 101-9
El Paso,101,85,98,Box 101-9
El Paso,101,86,95,Box 101-9
El Paso,101,87,94,Box 101-9
El Paso,101,88,100,Box 101-9
El Paso,101,89,98,Box 101-9
El Paso,101,90,98,Box 101-9
El Paso,101,91,78,Box 101-10
El Paso,101,92,86,Box 101-10
El Paso,101,93,98,Box 101-10
El Paso,101,94,100,Box 101-10
El Paso,101,95,65,Box 101-10
El Paso,101,96,97,Box 101-10
El Paso,101,97,94,Box 101-10
El Paso,101,98,99,Box 101-10
El Paso,101,99,98,Box 101-10
El Paso,101,100,88,Box 101-10
El Paso,101,101,99,Box 101-11
El Paso,101,102,96,Box 101-11
El Paso,101,103,92,Box 101-11
El Paso,101,104,96,Box 101-11
El Paso,101,105,99,Box 101-11
El Paso,101,106,100,Box 101-11
El Paso,101,107,99,Box 101-11
El Paso,101,108,94,Box 101-11
El Paso,101,109,95,Box 101-11
El Paso,101,110,95,Box 101-11
El Paso,101,111,96,Box 101-12
El Paso,101,112,99,Box 101-12
El Paso,101,113,100,Box 101-12
El Paso,101,114,100,Box 101-12
El Paso,101,115,98,Box 101-12
El Paso,101,116,98,Box 101-12
El Paso,101,117,97,Box 101-12
El Paso,101,118,99,Box 101-12
El Paso,101,119,96,Box 101-12
El Paso,101,120,100,Box 101-12
El Paso,101,121,99,Box 101-13
El Paso,101,122,99,Box 101-13
El Paso,101,123,99,Box 101-13
El Paso,101,124,99,Box 101-13
El Paso,101,125,62,Box 101-13
El Paso,101,126,100,Box 101-13
El Paso,101,127,100,Box 101-13
El Paso,101,128,97,Box 101-13
El Paso,101,129,100,Box 101-13
El Paso,101,130,76,Box 101-13
El Paso,101,131,99,Box 101-14
El Paso,101,132,97,Box 101-14
El Paso,101,133,99,Box 101-14
El Paso,101,134,93,Box 101-14
El Paso,101,135,98,Box 101-14
El Paso,101,136,95,Box 101-14
El Paso,101,137,100,Box 101-14
El Paso,101,138,98,Box 101-14
El Paso,101,139,99,Box 101-14
El Paso,101,140,100,Box 101-14
El Paso,101,141,99,Box 101-15
El Paso,101,142,93,Box 101-15
El Paso,101,143,99,Box 101-15
El Paso,101,144,100,Box 101-15
El Paso,101,145,100,Box 101-15
El Paso,101,146,99,Box 101-15
El Paso,101,147,100,Box 101-15
El Paso,101,148,95,Box 101-15
El Paso,101,149,28,Box 101-15
El Paso,101,150,99,Box 101-15
El Paso,101,151,95,Box 101-16
El Paso,101,152,100,Box 101-16
El Paso,101,153,99,Box 101-16
El Paso,101,154,98,Box 101-16
El Paso,101,155,99,Box 101-16
El Paso,101,156,39,Box 101-16
El Paso,101,157,97,Box 101-16
El Paso,101,158,98,Box 101-16
El Paso,101,159,98,Box 101-16
El Paso,101,160,99,Box 101-16
El Paso,101,161,95,Box 101-17
El Paso,101,162,100,Box 101-17
El Paso,101,163,95,Box 101-17
El Paso,101,164,99,Box 101-17
El Paso,101,165,99,Box 101-17
El Paso,101,166,99,Box 101-17
El Paso,101,167,96,Box 101-17
El Paso,101,168,100,Box 101-17
El Paso,101,169,96,Box 101-17
El Paso,101,170,98,Box 101-17
El Paso,101,171,99,Box 101-18
El Paso,101,172,99,Box 101-18
El Paso,101,173,99,Box 101-18
El Paso,101,174,99,Box 101-18
El Paso,101,175,100,Box 101-18
El Paso,101,176,99,Box 101-18
El Paso,101,177,99,Box 101-18
El Paso,101,178,97,Box 101-18
El Paso,101,179,100,Box 101-18
El Paso,101,180,99,Box 101-18
El Paso,101,181,98,Box 101-19
El Paso,101,182,100,Box 101-19
El Paso,101,183,96,Box 101-19
El Paso,101,184,91,Box 101-19
El Paso,101,185,90,Box 101-19
El Paso,101,186,100,Box 101-19
El Paso,101,187,98,Box 101-19
El Paso,101,188,99,Box 101-19
El Paso,101,189,99,Box 101-19
El Paso,101,190,99,Box 101-19
El Paso,101,191,94,Box 101-20
El Paso,101,192,99,Box 101-20
El Paso,101,193,95,Box 101-20
El Paso,101,194,98,Box 101-20
El Paso,101,195,93,Box 101-20
El Paso,101,196,88,Box 101-20
El Paso,101,197,95,Box 101-20
El Paso,101,198,99,Box 101-20
El Paso,101,199,99,Box 101-20
El Paso,101,200,99,Box 101-20
El Paso,101,201,99,Box 101-21
El Paso,101,202,97,Box 101-21
El Paso,101,203,17,Box 101-21
El Paso,101,204,98,Box 101-21
