County,Tabulator ID,Batch,# of Ballot Cards,Location/Box #
MESA,402,4194,100,408
MESA,402,4195,100,408
MESA,402,4196,100,408
MESA,402,4197,98,408
MESA,402,4198,7,408
MESA,402,4199,99,408
MESA,402,4200,2,408
MESA,402,4201,100,408
MESA,402,4202,13,408
MESA,402,4203,97,408
MESA,402,4204,99,408
MESA,402,4205,100,408
MESA,402,4206,100,408
MESA,402,4207,100,408
MESA,402,4208,97,408
MESA,402,4209,14,409
MESA,402,4210,100,409
MESA,402,4211,58,409
MESA,402,4212,71,409
MESA,402,4213,100,409
MESA,402,4214,98,409
MESA,402,4215,99,409
MESA,402,4216,13,409
MESA,402,4217,99,409
MESA,402,4218,92,409
MESA,402,4219,99,409
MESA,402,4220,99,409
MESA,402,4221,100,409
MESA,402,4222,20,409
MESA,402,4223,99,409
MESA,402,4224,47,409
MESA,402,4225,100,409
MESA,402,4226,100,409
MESA,402,4227,24,409
MESA,402,4228,99,409
MESA,402,4229,88,409
MESA,402,4230,99,409
MESA,402,4231,78,409
MESA,402,4232,72,409
MESA,402,4233,5,409
MESA,402,4234,100,410
MESA,402,4235,15,410
MESA,402,4236,85,410
MESA,402,4237,17,410
MESA,402,4238,67,410
MESA,402,4239,100,410
MESA,402,4240,100,410
MESA,402,4241,100,410
MESA,402,4242,8,410
MESA,402,4243,100,410
MESA,402,4244,4,410
MESA,402,4245,43,410
MESA,402,4246,100,410
MESA,402,4247,99,410
MESA,402,4248,88,410
MESA,402,4249,99,410
MESA,402,4250,100,410
MESA,402,4251,100,410
MESA,402,4252,99,410
MESA,402,4253,100,410
MESA,402,4254,100,410
MESA,402,4255,92,410
MESA,402,4256,44,410
MESA,402,4257,100,410
MESA,402,4258,8,410
MESA,402,4259,100,411
MESA,402,4260,23,411
MESA,402,4261,100,411
MESA,402,4262,80,411
MESA,402,4263,100,411
MESA,402,4264,16,411
MESA,402,4265,100,411
MESA,402,4266,100,411
MESA,402,4267,100,411
MESA,402,4268,5,411
MESA,402,4269,99,411
MESA,402,4270,16,411
MESA,402,4271,100,411
MESA,402,4272,13,411
MESA,402,4273,100,411
MESA,402,4274,16,411
MESA,402,4275,56,411
MESA,402,4276,100,411
MESA,402,4277,100,411
MESA,402,4278,98,411
MESA,402,4279,12,411
MESA,402,4280,100,411
MESA,402,4281,100,411
MESA,402,4282,99,411
MESA,402,4283,100,411
MESA,402,4284,73,411
MESA,402,4285,99,412
MESA,402,4286,100,412
MESA,402,4287,100,412
MESA,402,4288,100,412
MESA,402,4289,100,412
MESA,402,4290,66,412
MESA,402,4291,100,412
MESA,402,4292,100,412
MESA,402,4293,14,412
MESA,402,4294,33,412
MESA,402,4295,39,412
MESA,402,4296,1,412
MESA,402,4297,3,412
MESA,402,4298,30,412
MESA,402,4299,100,412
MESA,402,4300,98,412
MESA,402,4301,80,412
MESA,402,4302,100,412
MESA,402,4303,78,412
MESA,402,4304,99,412
MESA,402,4305,42,412
MESA,402,4306,25,412
MESA,402,4307,100,412
MESA,402,4308,79,412
MESA,402,4309,99,412
MESA,402,4310,69,412
MESA,402,4311,99,412
MESA,402,4312,2,413
MESA,402,4313,100,413
MESA,402,4314,1,413
MESA,402,4315,24,413
MESA,402,4316,7,413
MESA,402,4317,100,413
MESA,402,4318,17,413
MESA,402,4319,100,413
MESA,402,4320,25,413
MESA,402,4321,100,413
MESA,402,4322,10,413
MESA,402,4323,100,413
MESA,402,4324,98,413
