min_margin,contest_name,contest_cvr_ids
0,United States Senator - REP,[]
0,State Representative - District 11 - REP,[]
3537,United States Senator - DEM,[]
14010,Regent of the University of Colorado - Congressional District 2 - DEM,[]
0,Boulder County Commissioner - District 1 - REP,[]
0,State Representative - District 33 - REP,[]
0,State Representative - District 13 - REP,[]
0,District Attorney - 20th Judicial District - DEM,[]
0,State Senator - District 18 - REP,[]
0,Regent of the University of Colorado - Congressional District 2 - REP,[]
0,State Representative - District 11 - DEM,[]
0,State Representative - District 13 - DEM,[]
0,State Representative - District 33 - DEM,[]
0,State Senator - District 18 - DEM,[]
0,State Representative - District 12 - REP,[]
0,Representative to the 117th United States Congress-District 2 - DEM,[]
0,State Senator - District 17 - REP,[]
0,Representative to the 117th United States Congress-District 4 - REP,[]
0,State Representative - District 10 - DEM,[]
0,Boulder County Commissioner - District 2 - REP,[]
0,State Representative - District 12 - DEM,[]
0,State Senator - District 17 - DEM,[]
0,Representative to the 117th United States Congress-District 4 - DEM,[]
123,United States Senator - LBR,[]
3760,Boulder County Commissioner - District 2 - DEM,"[67181,16654,30166,81754,28712,72671,108246,69909,59554,95740,16379,67578,76835,22472,101979,62268,75633,78299,115274,120087,59254,38973,32542,88413,109268,83196,48887,24761,83827,103573,43377,66013,45904,71271,98152,112019,112671,77500,61146,97094,27771,117683,88179,82119,14499,33834,16648,95091,73956,84004,118643,29166,82427,93267,52474,75575,45014,59431,23491,86055,94355,76875,2515,69107,71208,116999,89950,51772,66359,10801,14949,47652,84735,92339,34880,96426,116165,93885,20370,1391,104107,4151,72437,53181,37724,46383,72221,96686,41369,95116,12549,79942,44585,53823,113621,46988,40037,74044,55801,51304,85246,87622,88427,32274,86599,72623,43166,77286,44897,56433,74267,25376,101281,37209,99151,63881,89078,119965,57798,29441,97451,102038,11976,75183,99050,87941,62730,112424,50973,50038,117729,83740,96238,94829,33522,91224,63111,75234,88930,38417,44573,24008,11617,18071,2219,4735,45700,68057,48952,14916,15357,38158,2733,60858,81562,49251,48374,85315,20952,80321,31049,18942,55687,47118,79604,54195,37733,53498,12859,25471,49470,39211,62189,55040,61556,34767,4652,16803,24787,17322,44211,20295,27378,49630,26271,52212,5813,3366,33556,8587,29754,12573,7543,13406,30104,33465,21014,31309,20127,29031,19930,7909,26323,20216,20261,4144,10762,6310,20841,16917,15754,5646,13482,7021,8162,90404,16293,97666,57042,72886,29567,67089,90584,92416,47748,108671,76806,9298,52707,17432,117718,79830,106879,28188,117806,57586,94580,35831,66953,100949,79253,54939,113495,56024,43663,80007,104486,73307,81044,105450,5531,120014,6426,90156,71431,95903,77435,97616,71107,8565,90534,51741,106193,112358,98110,76910,112154,114384,10525,118813,59008,46363,79943,106815,80659,7269,49683,107727,48671,90378,8170,116424,117523,92110,94758,14786,51066,37743,60105,118721,114421,64702,66028,93354,78378,33697,106584,25383,49861,96627,56043,42200,62211,77718,112024,38950,99001,116929,77783,84075,94388,98298,4534,44759,58095,106423,6919,116872,62559,45460,96952,70847,112457,37868,97469,76819,85456,68521,48314,78229,34098,83557,81065,34002,46307,96093,81972,68326,104343,99100,2342,107932,13488,9660,110736,27834,49207,109479,30457,16492,91505,4956,107275,56153,92732,89695,42607,55576,44726,43648,93428,40719,69637,87207,91766,16714,36322,94749,94835,68993,74169,14651,57547,58839,2709,63524,22135,49728,84345,47605,38834,41407,83942,78945,5361,37205,37030,41080,23292,11240,55389,42252,70785,51224,42469,48468,3666,25457,18299,48638,2375,30074,46144,6309,14805,31261,43358,49610,31903,12568,9505,9666,2088,17574,18268,28959,35390,2231,40389,36119,32023,3448,25867,10167,18597,10640,22295,15002,3708]"
0,Boulder County Commissioner - District 1 - DEM,[]
0,State Representative - District 10 - REP,[]
0,Representative to the 117th United States Congress-District 2 - REP,[]
