county_name,contest_name,imprinted_id,ballot_type,choice_per_voting_computer,audit_board_selection,consensus,record_type,audit_board_comment,timestamp,cvr_id
Boulder,Boulder County Commissioner - District 1 - DEM,3-92-1751,DS-01D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 11:15:51.877,116999
Boulder,Boulder County Commissioner - District 1 - DEM,5-2-10,DS-01D,"","",YES,uploaded,"",2020-07-11 09:56:10.659,4144
Boulder,Boulder County Commissioner - District 1 - DEM,7-4-48,DS-13D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 10:12:50.434,8587
Boulder,Boulder County Commissioner - District 1 - DEM,8-25-29,DS-19D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 16:07:16.342,22135
Boulder,Boulder County Commissioner - District 1 - DEM,5-29-17,DS-04D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 10:16:27.606,44211
Boulder,Boulder County Commissioner - District 1 - DEM,2-16-145,DS-10D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 15:24:49.676,17574
Boulder,Boulder County Commissioner - District 1 - DEM,10-1-53,DS-01D,"","",YES,uploaded,"",2020-07-11 16:14:32.434,34098
Boulder,Boulder County Commissioner - District 1 - DEM,1-9-138,DS-19D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 14:56:52.763,2375
Boulder,Boulder County Commissioner - District 1 - DEM,10-57-20,DS-28D,"","",YES,uploaded,"",2020-07-11 16:45:00.731,78945
Boulder,Boulder County Commissioner - District 1 - DEM,8-28-53,DS-01D,"","",YES,uploaded,"",2020-07-11 10:16:23.363,24008
Boulder,Boulder County Commissioner - District 1 - DEM,4-23-68,DS-07D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 10:13:45.111,26271
Boulder,Boulder County Commissioner - District 1 - DEM,2-75-144,DS-04D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 11:16:02.826,84004
Boulder,Boulder County Commissioner - District 1 - DEM,8-67-59,DS-10D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 16:45:17.059,96627
Boulder,Boulder County Commissioner - District 1 - DEM,4-74-64,DS-01D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 11:10:55.405,93885
Boulder,Boulder County Commissioner - District 1 - DEM,4-58-23,DS-13D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 15:56:54.024,68521
Boulder,Boulder County Commissioner - District 1 - DEM,10-3-76,DS-13D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 16:15:34.483,36119
Boulder,Boulder County Commissioner - District 1 - DEM,2-22-110,DS-01D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 10:15:15.306,20216
Boulder,Boulder County Commissioner - District 1 - DEM,10-67-22,DS-04D,"","",YES,uploaded,"",2020-07-11 11:14:20.603,87622
Boulder,Boulder County Commissioner - District 1 - DEM,2-22-89,DS-01D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 10:13:45.868,20127
Boulder,Boulder County Commissioner - District 1 - DEM,8-1-20,DS-04D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 15:21:22.666,6309
Boulder,Boulder County Commissioner - District 1 - DEM,4-13-56,DS-01D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 15:28:55.088,18268
Boulder,Boulder County Commissioner - District 1 - DEM,2-63-129,DS-04D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 16:22:50.792,67089
Boulder,Boulder County Commissioner - District 1 - DEM,5-22-101,DS-22D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 10:15:07.988,34880
Boulder,Boulder County Commissioner - District 1 - DEM,10-76-47,DS-19D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 11:10:52.436,94829
Boulder,Boulder County Commissioner - District 1 - DEM,4-49-42,DS-04D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 10:38:09.805,52212
Boulder,Boulder County Commissioner - District 1 - DEM,4-76-141,DS-04D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 16:33:21.454,96093
Boulder,Boulder County Commissioner - District 1 - DEM,8-1-1,DS-01D,"","",YES,uploaded,"",2020-07-11 10:14:09.536,6310
Boulder,Boulder County Commissioner - District 1 - DEM,4-45-38,DS-01D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 15:57:26.631,48638
Boulder,Boulder County Commissioner - District 1 - DEM,6-35-74,DS-19D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 15:45:28.025,84345
Boulder,Boulder County Commissioner - District 1 - DEM,4-61-106,DS-19D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 16:23:46.716,78229
Boulder,Boulder County Commissioner - District 1 - DEM,1-27-50,DS-10D,"","",YES,uploaded,"",2020-07-11 15:44:06.292,28188
Boulder,Boulder County Commissioner - District 1 - DEM,4-62-93,DS-04D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 16:24:54.247,79253
Boulder,Boulder County Commissioner - District 1 - DEM,4-8-123,DS-07D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 10:02:22.069,13482
Boulder,Boulder County Commissioner - District 1 - DEM,3-76-16,DS-04D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 16:26:59.775,93428
Boulder,Boulder County Commissioner - District 1 - DEM,10-25-66,DS-25D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 10:59:09.214,51772
Boulder,Boulder County Commissioner - District 1 - DEM,8-38-18,DS-31D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 10:35:19.492,55040
Boulder,Boulder County Commissioner - District 1 - DEM,8-51-56,DS-10D,"","",YES,uploaded,"",2020-07-11 10:38:15.016,62730
Boulder,Boulder County Commissioner - District 1 - DEM,5-13-50,DS-07D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 15:31:36.819,10640
Boulder,Boulder County Commissioner - District 1 - DEM,6-30-122,DS-07D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 15:43:56.468,79943
Boulder,Boulder County Commissioner - District 1 - DEM,2-27-7,DS-13D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 15:46:28.366,22295
Boulder,Boulder County Commissioner - District 1 - DEM,1-83-41,DS-01D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 10:57:54.908,81754
Boulder,Boulder County Commissioner - District 1 - DEM,1-85-36,DS-01D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 11:00:02.623,83196
Boulder,Boulder County Commissioner - District 1 - DEM,6-45-73,DS-01D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 10:34:13.669,97094
Boulder,Boulder County Commissioner - District 1 - DEM,10-11-10,DS-19D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 16:18:34.904,42200
Boulder,Boulder County Commissioner - District 1 - DEM,7-57-121,DS-01D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 10:38:51.558,73956
Boulder,Boulder County Commissioner - District 1 - DEM,6-59-99,DS-10D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 16:17:43.65,106423
Boulder,Boulder County Commissioner - District 1 - DEM,1-68-23,DS-01D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 16:21:37.304,63524
Boulder,Boulder County Commissioner - District 1 - DEM,4-37-56,DS-13D,"""Claire Levy""","""Claire Levy""",YES,uploaded,"",2020-07-11 15:33:31.847,38834
