County,Tabulator,ICC Batch #,Number of Ballots Batched,Bin/Bag # Ballots Stored
Archuleta,102,108,25,2
Archuleta,102,109,25,2
Archuleta,102,110,24,2
Archuleta,102,111,25,2
Archuleta,102,112,25,2
Archuleta,102,113,25,2
Archuleta,102,114,25,2
Archuleta,102,115,24,2
Archuleta,102,116,25,2
Archuleta,102,117,25,2
Archuleta,102,118,6,2
Archuleta,102,119,17,2
Archuleta,102,120,25,2
Archuleta,102,121,25,2
Archuleta,102,122,25,2
Archuleta,102,123,23,2
Archuleta,102,124,25,2
Archuleta,102,125,24,2
Archuleta,102,126,25,2
Archuleta,102,127,24,2
Archuleta,102,128,25,2
Archuleta,102,129,18,2
Archuleta,102,130,24,2
Archuleta,102,131,25,2
Archuleta,102,132,9,2
Archuleta,102,133,24,2
Archuleta,102,134,25,2
Archuleta,102,135,16,2
Archuleta,102,136,25,2
Archuleta,102,137,25,2
Archuleta,102,138,25,2
Archuleta,102,139,25,2
Archuleta,102,140,24,2
Archuleta,102,141,24,2
Archuleta,102,142,24,2
Archuleta,102,143,25,2
Archuleta,102,144,24,2
Archuleta,102,145,25,2
Archuleta,102,146,25,2
Archuleta,102,147,16,2
Archuleta,102,148,25,2
Archuleta,102,149,25,2
Archuleta,102,150,25,2
Archuleta,102,151,25,2
Archuleta,102,152,25,2
Archuleta,102,153,25,2
Archuleta,102,154,25,2
Archuleta,102,155,25,2
Archuleta,102,156,25,2
Archuleta,102,157,25,2
Archuleta,102,158,25,2
Archuleta,102,159,25,2
Archuleta,102,160,25,2
Archuleta,102,161,25,2
Archuleta,102,162,24,2
Archuleta,102,163,25,2
Archuleta,102,164,12,2
Archuleta,102,165,25,2
Archuleta,102,166,23,2
Archuleta,102,167,25,2
Archuleta,102,168,25,2
Archuleta,102,169,24,2
Archuleta,102,170,25,2
Archuleta,102,171,25,2
Archuleta,102,172,25,2
Archuleta,102,173,19,2
Archuleta,102,174,25,2
Archuleta,102,175,25,2
Archuleta,102,176,25,2
Archuleta,102,177,25,2
Archuleta,102,178,6,2
Archuleta,102,179,22,2
Archuleta,102,180,12,2
Archuleta,102,181,25,2
Archuleta,102,182,25,2
Archuleta,102,183,25,2
Archuleta,102,184,8,2
Archuleta,102,185,25,2
Archuleta,102,186,25,2
Archuleta,102,187,25,2
Archuleta,102,188,25,2
Archuleta,102,189,24,2
Archuleta,102,190,25,2
Archuleta,102,191,3,2
Archuleta,102,192,25,2
Archuleta,102,193,13,2
Archuleta,102,194,25,2
Archuleta,102,195,83,2
Archuleta,102,196,14,2
Archuleta,102,197,21,2
Archuleta,102,198,25,2
Archuleta,102,199,25,2
Archuleta,102,200,19,2
Archuleta,102,201,70,Final Tabulation
