County,Tabulator,Batch,# of Cards,Location
Huerfano,102,1,24,Box 1
Huerfano,102,2,3,Box 1
Huerfano,102,3,25,Box 1
Huerfano,102,4,9,Box 1
Huerfano,102,5,5,Box 1
Huerfano,102,6,10,Box 1
Huerfano,102,7,24,Box 1
Huerfano,102,8,25,Box 1
Huerfano,102,9,25,Box 1
Huerfano,102,10,10,Box 1
Huerfano,102,11,25,Box 1
Huerfano,102,12,13,Box 1
Huerfano,102,13,14,Box 1
Huerfano,102,14,22,Box 1
Huerfano,102,15,25,Box 1
Huerfano,102,16,25,Box 1
Huerfano,102,17,14,Box 1
Huerfano,102,18,21,Box 1
Huerfano,102,19,25,Box 1
Huerfano,102,20,15,Box 1
Huerfano,102,21,25,Box 1
Huerfano,102,22,1,Box 1
Huerfano,102,23,25,Box 1
Huerfano,102,24,17,Box 1
Huerfano,102,25,2,Box 1
Huerfano,102,26,11,Box 1
Huerfano,102,27,10,Box 1
Huerfano,102,28,18,Box 1
Huerfano,102,29,25,Box 1
Huerfano,102,30,24,Box 1
Huerfano,102,31,10,Box 1
Huerfano,102,32,21,Box 1
Huerfano,102,33,25,Box 1
Huerfano,102,34,25,Box 1
Huerfano,102,35,3,Box 1
Huerfano,102,36,23,Box 1
Huerfano,102,37,7,Box 1
Huerfano,102,38,1,Box 1
Huerfano,102,39,1,Box 1
Huerfano,102,40,25,Box 2
Huerfano,102,41,15,Box 2
Huerfano,102,42,5,box2
Huerfano,102,43,24,Box 2
Huerfano,102,44,25,Box 2
Huerfano,102,45,5,Box 2
Huerfano,102,46,24,Box 2
Huerfano,102,47,25,Box 2
Huerfano,102,48,25,Box 2
Huerfano,102,49,24,Box 2
Huerfano,102,50,18,Box 2
Huerfano,102,51,2,Box 2
Huerfano,102,52,2,Box 2
Huerfano,102,53,1,Box 2
Huerfano,102,54,1,Box 2
Huerfano,102,55,21,Box 2
Huerfano,102,56,2,Box 2
Huerfano,102,57,2,Box 2
Huerfano,102,58,10,Box 2
Huerfano,102,59,5,Box 2
Huerfano,102,60,2,Box 2
Huerfano,102,61,1,Box 2
Huerfano,102,62,8,Box 3
Huerfano,102,63,4,Box 3
Huerfano,102,64,1,Box 3
Huerfano,102,65,14, Box 3
Huerfano,102,66,2,Box 3
Huerfano,102,67,8,Box 3
Huerfano,102,68,5,Box 3
Huerfano,102,69,25,Box3
Huerfano,102,70,21, Box 3
Huerfano,102,71,13, Box 3
Huerfano,102,72,25, Box 3
Huerfano,102,73,25, Box 3
Huerfano,102,74,25, Box 3
Huerfano,102,75,5, Box 3
Huerfano,102,76,9, Box 3
Huerfano,102,77,22, Box 3
Huerfano,102,78,25, Box 3
Huerfano,102,79,25, Box 3
Huerfano,102,80,18, Box 3
Huerfano,102,81,1, Box 3
Huerfano,102,82,1,Box 4
Huerfano,102,83,25,Box 4
Huerfano,102,84,24,Box 4
Huerfano,102,85,18,Box 4
Huerfano,102,86,25,Box 4
Huerfano,102,87,1,Box 4
Huerfano,102,88,25,Box 4
Huerfano,102,89,3,Box 4
