County,Tabulator,Batch #,# of ballots,Location
Adams,101,66,100,Box 101-6
Adams,101,67,100,Box 101-6
Adams,101,68,100,Box 101-6
Adams,101,69,100,Box 101-6
Adams,101,70,99,Box 101-6
Adams,101,71,99,Box 101-6
Adams,101,72,99,Box 101-6
Adams,101,73,98,Box 101-6
Adams,101,74,99,Box 101-6
Adams,101,75,100,Box 101-6
Adams,101,76,100,Box 101-6
Adams,101,77,100,Box 101-6
Adams,101,78,100,Box 101-7
Adams,101,79,99,Box 101-7
Adams,101,80,100,Box 101-7
Adams,101,81,99,Box 101-7
Adams,101,82,100,Box 101-7
Adams,101,83,98,Box 101-7
Adams,101,84,100,Box 101-7
Adams,101,85,99,Box 101-7
Adams,101,86,100,Box 101-7
Adams,101,87,99,Box 101-7
Adams,101,88,100,Box 101-7
Adams,101,89,85,Box 101-7
Adams,101,90,99,Box 101-7
Adams,103,1,100,Box 103-1
Adams,103,2,100,Box 103-1
Adams,103,3,99,Box 103-1
Adams,103,4,100,Box 103-1
Adams,103,5,100,Box 103-1
Adams,103,6,100,Box 103-1
Adams,103,7,103,Box 103-1
Adams,103,8,100,Box 103-1
Adams,103,9,100,Box 103-1
Adams,103,10,100,Box 103-1
Adams,103,11,99,Box 103-1
Adams,103,12,100,Box 103-1
Adams,103,13,99,Box 103-1
Adams,103,14,100,Box 103-2
Adams,103,15,100,Box 103-2
Adams,103,16,97,Box 103-2
Adams,103,17,100,Box 103-2
Adams,103,18,100,Box 103-2
Adams,103,19,100,Box 103-2
Adams,103,20,100,Box 103-2
Adams,103,21,99,Box 103-2
Adams,103,22,100,Box 103-2
Adams,103,23,99,Box 103-2
Adams,103,24,100,Box 103-2
Adams,103,25,100,Box 103-2
Adams,103,26,100,Box 103-2
Adams,103,27,100,Box 103-3
Adams,103,28,100,Box 103-3
Adams,103,29,100,Box 103-3
Adams,103,30,100,Box 103-3
Adams,103,31,100,Box 103-3
Adams,103,32,100,Box 103-3
Adams,103,33,100,Box 103-3
Adams,103,34,100,Box 103-3
Adams,103,35,99,Box 103-3
Adams,103,36,49,Box 103-3
Adams,103,37,100,Box 103-3
Adams,103,38,100,Box 103-3
Adams,103,39,100,Box 103-3
Adams,103,40,99,Box 103-4
Adams,103,41,100,Box 103-4
Adams,103,42,98,Box 103-4
Adams,103,43,100,Box 103-4
Adams,103,44,100,Box 103-4
Adams,103,45,100,Box 103-4
Adams,103,46,100,Box 103-4
Adams,103,47,100,Box 103-4
Adams,103,48,100,Box 103-4
Adams,103,49,100,Box 103-4
Adams,103,50,100,Box 103-4
Adams,103,51,100,Box 103-4
