County,Tabulator,Batch,# of Ballot Cards,Location
Logan,102,232,25,13
Logan,102,233,25,13
Logan,102,234,25,13
Logan,102,235,2,13
Logan,102,236,25,13
Logan,102,237,25,13
Logan,102,238,14,13
Logan,102,239,25,13
Logan,102,240,25,13
Logan,102,241,29,14
Logan,102,242,24,14
Logan,102,243,24,14
Logan,102,244,25,14
Logan,102,245,25,14
Logan,102,246,25,14
Logan,102,247,2,14
Logan,102,248,25,14
Logan,102,249,25,14
Logan,102,250,23,14
Logan,102,251,25,14
Logan,102,252,25,14
Logan,102,253,25,14
Logan,102,254,34,14
Logan,102,255,25,14
Logan,102,256,25,14
Logan,102,257,25,14
Logan,102,258,31,14
Logan,102,259,25,14
Logan,102,260,25,14
Logan,102,261,19,14
Logan,102,262,23,15
Logan,102,263,25,15
Logan,102,264,19,15
Logan,102,265,25,15
Logan,102,266,1,15
Logan,102,267,24,15
Logan,102,268,25,15
Logan,102,269,25,15
Logan,102,270,24,15
Logan,102,271,1,15
Logan,102,272,25,15
Logan,102,273,21,15
Logan,102,274,2,15
Logan,102,275,24,16
