County,Tabulator ID,Batch #,# of Ballots Cards,Location
Morgan,102,1,50,Box 1
Morgan,102,2,50,Box 1
Morgan,102,3,50,Box 1
Morgan,102,4,50,Box 1
Morgan,102,5,50,Box 1
Morgan,102,6,47,Box 1
Morgan,102,7,50,Box 1
Morgan,102,8,50,Box 1
Morgan,102,9,50,Box 1
Morgan,102,10,50,Box 1
Morgan,102,11,15,Box 1
Morgan,102,12,50,Box 1
Morgan,102,13,50,Box 1
Morgan,102,14,50,Box 1
Morgan,102,15,50,Box 1
Morgan,102,16,50,Box 1
Morgan,102,17,10,Box 1
Morgan,102,18,50,Box 1
Morgan,102,19,50,Box 1
Morgan,102,20,50,Box 1
Morgan,102,21,54,Box 1
Morgan,102,22,50,Box 1
Morgan,102,23,45,Box 1
Morgan,102,24,50,Box 1
Morgan,102,25,50,Box 1
Morgan,102,26,50,Box 1
Morgan,102,27,50,Box 1
Morgan,102,28,20,Box 1
Morgan,102,29,50,Box 1
Morgan,102,30,50,Box 1
Morgan,102,31,50,Box 1
Morgan,102,32,50,Box 1
Morgan,102,33,39,Box 1
Morgan,102,34,45,Box 2
Morgan,102,35,50,Box 2
Morgan,102,36,50,Box 2
Morgan,102,37,54,Box 2
Morgan,102,38,50,Box 2
Morgan,102,39,50,Box 2
Morgan,102,40,50,Box 2
Morgan,102,41,50,Box 2
Morgan,102,42,33,Box 2
Morgan,102,43,50,Box 2
Morgan,102,44,50,Box 2
Morgan,102,45,50,Box 2
Morgan,102,46,50,Box 2
Morgan,102,47,33,Box 2
Morgan,102,48,50,Box 2
Morgan,102,49,50,Box 2
Morgan,102,50,50,Box 2
Morgan,102,51,51,Box 2
Morgan,102,52,50,Box 2
Morgan,102,53,50,Box 2
Morgan,102,54,50,Box 2
Morgan,102,55,56,Box 2
Morgan,102,56,50,Box 2
Morgan,102,57,50,Box 2
Morgan,102,58,50,Box 2
Morgan,102,59,31,Box 2
Morgan,102,60,50,Box 3
Morgan,102,61,50,Box 3
Morgan,102,62,50,Box 3
Morgan,102,63,57,Box 3
Morgan,102,64,50,Box 3
Morgan,102,65,33,Box 3
Morgan,102,66,50,Box 3
Morgan,102,67,50,Box 3
Morgan,102,68,50,Box 3
Morgan,102,69,50,Box 3
Morgan,102,70,42,Box 3
Morgan,102,71,50,Box 3
Morgan,102,72,50,Box 3
Morgan,102,73,33,Box 3
Morgan,102,74,50,Box 3
Morgan,102,75,50,Box 3
Morgan,102,76,50,Box 3
Morgan,102,77,10,Box 3
Morgan,102,78,50,Box 3
Morgan,102,79,50,Box 3
Morgan,102,80,48,Box 3
Morgan,102,81,50,Box 3
Morgan,102,82,50,Box 3
Morgan,102,83,36,Box 3
Morgan,102,84,50,Box 3
Morgan,102,85,50,Box 3
Morgan,102,86,50,Box 3
Morgan,102,87,47,Box 3
Morgan,102,88,50,Box 4
Morgan,102,89,50,Box 4
Morgan,102,90,50,Box 4
Morgan,102,91,51,Box 4
Morgan,102,92,50,Box 4
Morgan,102,93,50,Box 4
Morgan,102,94,50,Box 4
Morgan,102,95,36,Box 4
Morgan,102,96,50,Box 4
Morgan,102,97,50,Box 4
Morgan,102,98,50,Box 4
Morgan,102,99,50,Box 4
Morgan,102,100,21,Box 4
Morgan,102,101,50,Box 4
Morgan,102,102,50,Box 4
Morgan,102,103,50,Box 4
Morgan,102,104,28,Box 4
Morgan,102,105,50,Box 4
Morgan,102,106,50,Box 4
Morgan,102,107,50,Box 4
Morgan,102,108,50,Box 4
Morgan,102,109,47,Box 4
Morgan,102,110,50,Box 4
Morgan,102,111,50,Box 4
Morgan,102,112,50,Box 4
Morgan,102,113,50,Box 4
Morgan,102,114,41,Box 4
Morgan,102,115,50,Box 5
Morgan,102,116,50,Box 5
Morgan,102,117,50,Box 5
Morgan,102,118,36,Box 5
Morgan,102,119,50,Box 5
Morgan,102,120,50,Box 5
Morgan,102,121,50,Box 5
Morgan,102,122,31,Box 5
Morgan,102,123,50,Box 5
Morgan,102,124,50,Box 5
Morgan,102,125,50,Box 5
Morgan,102,126,57,Box 5
Morgan,102,127,50,Box 5
Morgan,102,128,50,Box 5
Morgan,102,129,14,Box 5
Morgan,102,130,50,Box 5
Morgan,102,131,50,Box 5
Morgan,102,132,50,Box 5
Morgan,102,133,50,Box 5
Morgan,102,134,17,Box 5
Morgan,102,135,50,Box 5
Morgan,102,136,30,Box 5
Morgan,102,137,50,Box 5
Morgan,102,138,50,Box 5
Morgan,102,139,50,Box 5
Morgan,102,140,41,Box 5
Morgan,102,141,50,Box 6
Morgan,102,142,50,Box 6
Morgan,102,143,50,Box 6
Morgan,102,144,16,Box 6
Morgan,102,145,50,Box 6
Morgan,102,146,50,Box 6
Morgan,102,147,51,Box 6
Morgan,102,148,50,Box 6
Morgan,102,149,38,Box 6
Morgan,102,150,12,Box 6
