County,Tabulator,Batch #,# in Batch,Location
Moffat,102,1,9,Ballot Box 1
Moffat,102,2,25,Ballot Box 1
Moffat,102,3,25,Ballot Box 1
Moffat,102,4,25,Ballot Box 1
Moffat,102,5,25,Ballot Box 1
Moffat,102,6,25,Ballot Box 1
Moffat,102,7,25,Ballot Box 1
Moffat,102,8,25,Ballot Box 1
Moffat,102,9,25,Ballot Box 1
Moffat,102,10,25,Ballot Box 1
Moffat,102,11,25,Ballot Box 1
Moffat,102,12,25,Ballot Box 1
Moffat,102,13,25,Ballot Box 1
Moffat,102,14,25,Ballot Box 1
Moffat,102,15,25,Ballot Box 1
Moffat,102,16,25,Ballot Box 1
Moffat,102,17,25,Ballot Box 1
Moffat,102,18,15,Ballot Box 1
Moffat,102,19,22,Ballot Box 1
Moffat,102,20,24,Ballot Box 1
Moffat,102,21,24,Ballot Box 1
Moffat,102,22,24,Ballot Box 1
Moffat,102,23,24,Ballot Box 1
Moffat,102,24,25,Ballot Box 1
Moffat,102,25,25,Ballot Box 1
Moffat,102,26,25,Ballot Box 1
Moffat,102,27,25,Ballot Box 1
Moffat,102,28,25,Ballot Box 1
Moffat,102,29,25,Ballot Box 1
Moffat,102,30,25,Ballot Box 1
Moffat,102,31,25,Ballot Box 1
Moffat,102,32,25,Ballot Box 1
Moffat,102,33,25,Ballot Box 1
Moffat,102,34,25,Ballot Box 1
Moffat,102,35,25,Ballot Box 1
Moffat,102,36,25,Ballot Box 1
Moffat,102,37,25,Ballot Box 1
Moffat,102,38,25,Ballot Box 1
Moffat,102,39,25,Ballot Box 1
Moffat,102,40,25,Ballot Box 1
Moffat,102,41,25,Ballot Box 1
Moffat,102,42,25,Ballot Box 1
Moffat,102,43,25,Ballot Box 1
Moffat,102,45,25,Ballot Box 1
Moffat,102,46,3,Ballot Box 1
Moffat,102,47,25,Ballot Box 1
Moffat,102,48,2,Ballot Box 1
Moffat,102,49,5,Ballot Box 1
Moffat,102,50,25,Ballot Box 1
Moffat,102,51,25,Ballot Box 2
Moffat,102,52,25,Ballot Box 2
Moffat,102,53,25,Ballot Box 2
Moffat,102,54,25,Ballot Box 2
Moffat,102,55,25,Ballot Box 2
Moffat,102,56,25,Ballot Box 2
Moffat,102,57,25,Ballot Box 2
Moffat,102,58,25,Ballot Box 2
Moffat,102,59,25,Ballot Box 2
Moffat,102,60,2,Ballot Box 2
Moffat,102,61,23,Ballot Box 2
Moffat,102,62,25,Ballot Box 2
Moffat,102,63,25,Ballot Box 2
Moffat,102,64,25,Ballot Box 2
Moffat,102,65,25,Ballot Box 2
Moffat,102,66,25,Ballot Box 2
Moffat,102,67,25,Ballot Box 2
Moffat,102,68,25,Ballot Box 2
Moffat,102,69,25,Ballot Box 2
Moffat,102,70,25,Ballot Box 2
Moffat,102,71,25,Ballot Box 2
Moffat,102,72,25,Ballot Box 2
Moffat,102,73,25,Ballot Box 2
Moffat,102,74,25,Ballot Box 2
Moffat,102,75,25,Ballot Box 2
Moffat,102,76,25,Ballot Box 2
Moffat,102,77,25,Ballot Box 2
Moffat,102,78,8,Ballot Box 2
Moffat,102,79,25,Ballot Box 2
Moffat,102,80,25,Ballot Box 2
Moffat,102,81,25,Ballot Box 2
Moffat,102,82,25,Ballot Box 2
Moffat,102,83,25,Ballot Box 2
Moffat,102,84,25,Ballot Box 2
Moffat,102,85,25,Ballot Box 2
Moffat,102,86,7,Ballot Box 2
Moffat,102,87,25,Ballot Box 2
Moffat,102,88,25,Ballot Box 2
Moffat,102,89,25,Ballot Box 2
Moffat,102,90,25,Ballot Box 2
Moffat,102,91,25,Ballot Box 2
Moffat,102,92,25,Ballot Box 2
Moffat,102,93,25,Ballot Box 2
Moffat,102,94,25,Ballot Box 2
Moffat,102,95,25,Ballot Box 2
Moffat,102,96,13,Ballot Box 2
Moffat,102,97,4,Ballot Box 2
Moffat,102,98,25,Ballot Box 2
Moffat,102,99,25,Ballot Box 2
Moffat,102,100,13,Ballot Box 2
Moffat,102,101,24,Ballot Box 2
Moffat,102,102,25,Ballot Box 2
Moffat,102,103,25,Ballot Box 2
Moffat,102,104,25,Ballot Box 2
Moffat,102,105,25,Ballot Box 2
Moffat,102,106,25,Ballot Box 2
Moffat,102,107,25,Ballot Box 2
Moffat,102,108,25,Ballot Box 2
Moffat,102,109,25,Ballot Box 2
Moffat,102,110,25,Ballot Box 2
Moffat,102,111,25,Ballot Box 2
Moffat,102,112,25,Ballot Box 2
Moffat,102,113,25,Ballot Box 2
Moffat,102,114,25,Ballot Box 2
Moffat,102,115,25,Ballot Box 2
Moffat,102,116,25,Ballot Box 2
Moffat,102,117,25,Ballot Box 2
Moffat,102,118,25,Ballot Box 2
Moffat,102,119,25,Ballot Box 2
Moffat,102,120,25,Ballot Box 2
Moffat,102,121,25,Ballot Box 2
Moffat,102,122,25,Ballot Box 2
Moffat,102,123,25,Ballot Box 2
Moffat,102,124,25,Ballot Box 2
Moffat,102,125,25,Ballot Box 2
Moffat,102,126,25,Ballot Box 2
Moffat,102,127,25,Ballot Box 2
Moffat,102,128,3,Ballot Box 2
Moffat,102,129,8,Ballot Box 2
Moffat,102,130,25,Ballot Box 2
Moffat,102,131,25,Ballot Box 2
Moffat,102,132,25,Ballot Box 2
Moffat,102,133,25,Ballot Box 2
Moffat,102,134,25,Ballot Box 2
Moffat,102,135,25,Ballot Box 2
Moffat,102,136,9,Ballot Box 2
Moffat,102,137,25,Ballot Box 2
Moffat,102,138,25,Ballot Box 2
Moffat,102,139,25,Ballot Box 2
Moffat,102,140,13,Ballot Box 2
Moffat,102,141,3,Ballot Box 2
Moffat,102,142,25,Ballot Box 2
Moffat,102,143,25,Ballot Box 2
Moffat,102,144,25,Ballot Box 2
Moffat,102,145,25,Ballot Box 2
Moffat,102,146,25,Ballot Box 2
Moffat,102,147,27,Ballot Box 2
