County,Tabulator,Batch,# of Ballots,Location
Delta,102,1,50,1
Delta,102,2,50,1
Delta,102,3,52,1
Delta,102,4,50,1
Delta,102,5,50,1
Delta,102,6,50,1
Delta,102,7,50,1
Delta,102,8,50,1
Delta,102,9,50,1
Delta,102,10,50,1
Delta,102,11,50,1
Delta,102,12,50,1
Delta,102,13,50,1
Delta,102,14,50,1
Delta,102,15,50,1
Delta,102,16,51,1
Delta,102,17,50,1
Delta,102,18,50,1
Delta,102,19,50,1
Delta,102,20,50,1
Delta,102,21,42,1
Delta,102,22,50,1
Delta,102,23,22,1
Delta,102,24,51,1
Delta,102,25,50,1
Delta,102,26,50,1
Delta,102,27,50,1
Delta,102,28,49,1
Delta,102,29,51,1
Delta,102,30,50,1
Delta,102,31,50,1
Delta,102,32,50,1
Delta,102,33,50,1
Delta,102,34,50,1
Delta,102,35,50,1
Delta,102,36,49,1
Delta,102,37,50,1
Delta,102,38,50,1
Delta,102,39,50,1
Delta,102,40,50,1
Delta,102,41,50,1
Delta,102,42,50,1
Delta,102,43,50,1
Delta,102,44,50,1
Delta,102,45,49,1
Delta,102,46,50,1
Delta,102,47,50,1
Delta,102,48,50,1
Delta,102,49,50,1
Delta,102,50,50,1
Delta,102,51,50,1
Delta,102,52,50,1
Delta,102,53,50,1
Delta,102,54,50,1
Delta,102,55,50,1
Delta,102,56,50,1
Delta,102,57,50,1
Delta,102,58,50,2
Delta,102,59,50,2
Delta,102,60,50,2
Delta,102,61,50,2
Delta,102,62,50,2
Delta,102,63,50,2
Delta,102,64,50,2
Delta,102,65,50,2
Delta,102,66,50,2
Delta,102,67,50,2
Delta,102,68,50,2
Delta,102,69,50,2
Delta,102,70,50,2
Delta,102,71,50,2
Delta,102,72,50,2
Delta,102,73,50,2
Delta,102,74,50,2
Delta,102,75,50,2
Delta,102,76,49,2
Delta,102,77,61,2
Delta,102,78,50,2
Delta,102,79,49,2
Delta,102,80,50,2
Delta,102,81,50,2
Delta,102,82,49,2
Delta,102,83,50,2
Delta,102,84,50,2
Delta,102,85,50,2
Delta,102,86,50,2
Delta,102,87,51,2
Delta,102,88,50,2
Delta,102,89,50,2
Delta,102,90,50,2
Delta,102,91,49,2
Delta,102,92,50,2
Delta,102,93,50,2
Delta,102,94,35,2
Delta,102,95,49,2
Delta,102,96,50,2
Delta,102,97,48,2
Delta,102,98,50,2
Delta,102,99,50,2
Delta,102,100,50,2
Delta,102,101,50,2
Delta,102,102,34,2
Delta,102,103,50,2
Delta,102,104,17,2
Delta,102,105,49,3
Delta,102,106,50,3
Delta,102,107,50,3
Delta,102,108,50,3
Delta,102,109,50,3
Delta,102,110,50,3
Delta,102,111,50,3
Delta,102,112,51,3
Delta,102,113,49,3
Delta,102,114,56,3
Delta,102,115,53,3
Delta,102,116,59,3
Delta,102,117,50,3
Delta,102,118,52,3
Delta,102,119,52,3
Delta,102,120,50,3
Delta,102,121,49,3
Delta,102,122,50,3
Delta,102,123,50,3
Delta,102,124,50,3
Delta,102,125,50,3
Delta,102,126,21,3
Delta,102,127,50,3
Delta,102,128,50,3
Delta,102,129,50,3
Delta,102,130,50,3
Delta,102,131,50,3
Delta,102,132,50,3
Delta,102,133,51,3
Delta,102,134,50,3
Delta,102,135,49,3
Delta,102,136,50,3
Delta,102,137,50,3
Delta,102,138,53,3
Delta,102,139,50,3
Delta,102,140,49,3
Delta,102,141,14,3
Delta,102,142,50,3
Delta,102,143,50,3
Delta,102,144,50,3
Delta,102,145,50,3
Delta,102,146,50,3
Delta,102,147,49,3
Delta,102,148,50,3
Delta,102,149,50,4
Delta,102,150,50,4
Delta,102,151,50,4
Delta,102,152,50,4
Delta,102,153,50,4
Delta,102,154,50,4
Delta,102,155,50,4
Delta,102,156,50,4
Delta,102,157,50,4
Delta,102,158,50,4
Delta,102,159,50,4
Delta,102,160,49,4
Delta,102,161,50,4
Delta,102,162,50,4
Delta,102,163,31,4
Delta,102,164,50,4
Delta,102,165,50,4
Delta,102,166,50,4
Delta,102,167,41,4
Delta,102,168,53,4
Delta,102,169,50,4
Delta,102,170,50,4
Delta,102,171,49,4
Delta,102,172,50,4
Delta,102,173,51,4
Delta,102,174,52,4
Delta,102,175,50,4
Delta,102,176,55,4
Delta,102,177,50,4
Delta,102,178,52,4
Delta,102,179,56,4
Delta,102,180,50,4
Delta,102,181,50,4
Delta,102,182,22,4
Delta,102,183,50,4
Delta,102,184,50,4
Delta,102,185,50,4
Delta,102,186,49,4
Delta,102,187,50,4
Delta,102,188,49,4
Delta,102,189,51,4
Delta,102,190,51,4
Delta,102,191,50,4
Delta,102,192,50,4
Delta,102,193,50,4
Delta,102,194,50,4
Delta,102,195,25,4
Delta,102,196,54,4
Delta,102,197,50,4
Delta,102,198,50,4
Delta,102,199,50,4
Delta,102,200,41,4
Delta,102,201,50,4
Delta,102,202,50,4
Delta,102,203,50,4
Delta,102,204,50,5
Delta,102,205,36,5
Delta,102,206,50,5
Delta,102,207,50,5
Delta,102,208,50,5
Delta,102,209,25,5
Delta,102,210,76,5
Delta,102,211,22,5
Delta,102,212,50,5
Delta,102,213,50,5
Delta,102,214,12,5
Delta,102,215,50,5
Delta,102,216,50,5
Delta,102,217,51,5
Delta,102,218,51,5
Delta,102,219,41,5
Delta,102,220,42,5
Delta,102,221,50,5
Delta,102,222,59,5
Delta,102,223,50,5
Delta,102,224,50,5
Delta,102,225,50,5
Delta,102,226,50,5
Delta,102,227,50,5
Delta,102,228,33,5
