County,Tabulator ID,Batch,. of Ballots,Location
Douglas,1,COORD-1789,117,115
Douglas,1,COORD-1788,107,115
Douglas,1,COORD-1786,147,72
Douglas,1,COORD-1785,138,72
Douglas,1,COORD-1784,137,133
Douglas,1,COORD-1783,132,133
Douglas,1,COORD-1782,165,133
Douglas,1,COORD-1781,5,80
Douglas,1,COORD-1779,12,82
Douglas,1,COORD-1778,10,82
Douglas,1,COORD-1777,27,82
Douglas,1,COORD-1776,33,82
Douglas,1,COORD-1775,141,72
Douglas,1,COORD-1774,5,80
Douglas,1,COORD-1773,5,80
Douglas,1,COORD-1772,5,80
Douglas,1,COORD-1771,7,91
Douglas,1,COORD-1770,6,91
Douglas,1,COORD-1769,3,41
Douglas,1,COORD-1768,6,41
Douglas,1,COORD-1767,5,57
Douglas,1,COORD-1766,7,57
Douglas,1,COORD-1765,2,76
Douglas,1,COORD-1764,5,76
Douglas,1,COORD-1763,6,25
Douglas,1,COORD-1762,11,89
Douglas,1,COORD-1761,3,89
Douglas,1,COORD-1760,4,89
Douglas,1,COORD-1759,5,25
Douglas,1,COORD-1758,7,25
Douglas,1,COORD-1757,2,25
Douglas,1,COORD-1756,3,25
Douglas,1,COORD-1755,10,8
Douglas,1,COORD-1754,6,8
Douglas,1,COORD-1753,4,8
Douglas,1,COORD-1751,1,8
Douglas,1,COORD-1363,70,124
Douglas,1,COORD-1362,100,72
Douglas,1,COORD-1361,31,124
Douglas,1,COORD-1360,50,124
Douglas,1,COORD-1359,100,124
Douglas,1,COORD-1358,100,72
Douglas,1,COORD-1357,67,72
Douglas,1,COORD-1356,84,124
Douglas,1,COORD-1355,100,124
Douglas,1,COORD-1350,25,72
Douglas,1,COORD-1349,10,124
Douglas,1,COORD-1348,99,72
Douglas,1,COORD-1347,74,72
Douglas,1,COORD-1346,54,124
Douglas,1,COORD-1345,100,124
Douglas,1,COORD-1344,100,72
Douglas,1,COORD-1343,100,72
Douglas,1,COORD-1342,100,124
Douglas,1,COORD-1341,94,124
Douglas,1,COORD-1340,91,72
Douglas,1,COORD-1339,100,88
Douglas,1,COORD-1338,100,72
Douglas,1,COORD-1337,100,115
Douglas,1,COORD-1336,100,72
Douglas,1,COORD-1335,100,133
Douglas,1,COORD-1334,100,124
Douglas,1,COORD-1333,46,133
Douglas,1,COORD-1332,77,133
Douglas,1,COORD-1331,100,124
Douglas,1,COORD-1330,100,115
Douglas,1,COORD-1329,100,72
Douglas,1,COORD-1328,100,115
Douglas,1,COORD-1327,100,88
Douglas,1,COORD-1326,100,72
Douglas,1,COORD-1325,100,88
Douglas,1,COORD-1324,56,133
Douglas,1,COORD-1323,100,88
Douglas,1,COORD-1322,100,124
Douglas,1,COORD-1321,100,124
Douglas,1,COORD-1320,100,115
Douglas,1,COORD-1319,100,124
Douglas,1,COORD-1318,100,133
Douglas,1,COORD-1317,100,115
Douglas,1,COORD-1316,100,88
Douglas,1,COORD-1315,100,122
Douglas,1,COORD-1314,100,115
Douglas,1,COORD-1313,100,88
Douglas,1,COORD-1312,81,72
Douglas,1,COORD-1311,100,72
Douglas,1,COORD-1310,100,88
Douglas,1,COORD-1309,100,115
Douglas,1,COORD-1308,100,115
Douglas,1,COORD-1307,100,115
Douglas,1,COORD-1306,100,70
Douglas,1,COORD-1305,100,88
Douglas,1,COORD-1304,100,133
Douglas,1,COORD-1303,83,133
Douglas,1,COORD-1302,100,122
Douglas,1,COORD-1301,100,122
Douglas,1,COORD-1300,100,115
Douglas,1,COORD-1299,100,124
Douglas,1,COORD-1298,100,124
Douglas,1,COORD-1297,100,115
Douglas,1,COORD-1296,48,115
Douglas,1,COORD-1295,45,70
Douglas,1,COORD-1294,100,72
Douglas,1,COORD-1293,100,133
Douglas,1,COORD-1292,100,122
Douglas,1,COORD-1291,100,70
Douglas,1,COORD-1290,100,70
Douglas,1,COORD-1289,100,133
Douglas,1,COORD-1288,72,122
Douglas,1,COORD-1287,86,88
Douglas,1,COORD-1286,100,88
Douglas,1,COORD-1285,100,88
Douglas,1,COORD-1284,100,133
Douglas,1,COORD-1283,100,122
Douglas,1,COORD-1282,100,70
Douglas,1,COORD-1281,100,70
Douglas,1,COORD-1280,100,115
Douglas,1,COORD-1279,80,133
Douglas,1,COORD-1278,100,70
Douglas,1,COORD-1277,100,133
Douglas,1,COORD-1276,100,122
Douglas,1,COORD-1275,100,133
Douglas,1,COORD-1274,100,88
Douglas,1,COORD-1273,100,70
Douglas,1,COORD-1272,100,122
Douglas,1,COORD-1271,100,122
Douglas,1,COORD-1270,100,115
Douglas,1,COORD-1269,44,88
Douglas,1,COORD-1268,89,115
Douglas,1,COORD-1267,100,88
Douglas,1,COORD-1266,100,122
Douglas,1,COORD-1265,96,88
Douglas,1,COORD-1264,100,70
Douglas,1,COORD-1263,100,115
Douglas,1,COORD-1262,104,133
Douglas,1,COORD-1261,100,70
Douglas,1,COORD-1260,100,131
Douglas,1,COORD-1259,100,133
Douglas,1,COORD-1258,49,113
Douglas,1,COORD-1257,81,122
Douglas,1,COORD-1256,100,131
Douglas,1,COORD-1255,100,122
Douglas,1,COORD-1254,100,122
Douglas,1,COORD-1253,100,88
Douglas,1,COORD-1252,100,115
Douglas,1,COORD-1251,100,88
Douglas,1,COORD-1250,100,88
Douglas,1,COORD-1249,100,70
Douglas,1,COORD-1248,100,115
Douglas,1,COORD-1247,65,88
Douglas,1,COORD-1246,100,72
Douglas,1,COORD-1245,100,131
Douglas,1,COORD-1244,100,115
Douglas,1,COORD-1243,100,115
Douglas,1,COORD-1242,100,122
Douglas,1,COORD-1241,100,72
Douglas,1,COORD-1240,100,70
Douglas,1,COORD-1239,100,88
Douglas,1,COORD-1238,100,131
Douglas,1,COORD-1237,100,115
Douglas,1,COORD-1236,100,122
Douglas,1,COORD-1235,98,70
Douglas,1,COORD-1234,100,88
Douglas,1,COORD-1233,100,122
Douglas,1,COORD-1232,100,113
Douglas,1,COORD-1231,100,131
Douglas,1,COORD-1230,100,113
Douglas,1,COORD-1229,100,113
Douglas,1,COORD-1228,100,70
Douglas,1,COORD-1227,100,88
Douglas,1,COORD-1226,100,70
Douglas,1,COORD-1225,100,122
Douglas,1,COORD-1224,95,88
Douglas,1,COORD-1223,100,131
Douglas,1,COORD-1222,100,88
Douglas,1,COORD-1221,100,122
Douglas,1,COORD-1220,100,113
Douglas,1,COORD-1219,100,88
Douglas,1,COORD-1218,100,70
Douglas,1,COORD-1217,100,86
Douglas,1,COORD-1216,100,122
Douglas,1,COORD-1215,100,131
Douglas,1,COORD-1214,100,122
Douglas,1,COORD-1213,100,113
Douglas,1,COORD-1212,100,70
Douglas,1,COORD-1211,100,131
Douglas,1,COORD-1210,100,131
Douglas,1,COORD-1209,94,113
Douglas,1,COORD-1208,100,70
Douglas,1,COORD-1207,100,70
Douglas,1,COORD-1206,100,122
Douglas,1,COORD-1205,100,113
Douglas,1,COORD-1204,100,131
Douglas,1,COORD-1203,100,70
Douglas,1,COORD-1202,100,122
Douglas,1,COORD-1201,100,113
Douglas,1,COORD-1200,49,72
Douglas,1,COORD-1199,91,86
Douglas,1,COORD-1198,100,68
Douglas,1,COORD-1197,100,119
Douglas,1,COORD-1196,100,113
Douglas,1,COORD-1195,100,70
Douglas,1,COORD-1194,100,86
Douglas,1,COORD-1193,100,86
Douglas,1,COORD-1192,49,115
Douglas,1,COORD-1191,100,131
Douglas,1,COORD-1190,100,113
Douglas,1,COORD-1189,58,131
Douglas,1,COORD-1188,83,68
Douglas,1,COORD-1187,100,70
Douglas,1,COORD-1186,65,131
Douglas,1,COORD-1185,100,119
Douglas,1,COORD-1184,100,70
Douglas,1,COORD-1183,100,122
Douglas,1,COORD-1182,100,131
Douglas,1,COORD-1181,100,113
Douglas,1,COORD-1180,84,119
Douglas,1,COORD-1179,100,113
Douglas,1,COORD-1178,100,113
Douglas,1,COORD-1177,100,113
Douglas,1,COORD-1176,100,68
Douglas,1,COORD-1175,100,131
Douglas,1,COORD-1174,100,68
Douglas,1,COORD-1173,100,113
Douglas,1,COORD-1172,100,113
Douglas,1,COORD-1171,100,131
Douglas,1,COORD-1170,100,113
Douglas,1,COORD-1169,100,131
Douglas,1,COORD-1168,100,119
Douglas,1,COORD-1167,100,70
Douglas,1,COORD-1166,84,119
Douglas,1,COORD-1165,100,131
Douglas,1,COORD-1164,100,131
Douglas,1,COORD-1163,100,119
Douglas,1,COORD-1162,100,119
Douglas,1,COORD-1161,100,131
Douglas,1,COORD-1160,100,119
Douglas,1,COORD-1159,100,131
Douglas,1,COORD-1158,100,131
Douglas,1,COORD-1157,3,113
Douglas,1,COORD-1156,47,68
Douglas,1,COORD-1155,82,84
Douglas,1,COORD-1154,100,111
Douglas,1,COORD-1153,100,119
Douglas,1,COORD-1152,100,68
Douglas,1,COORD-1151,99,86
Douglas,1,COORD-1150,100,129
Douglas,1,COORD-1149,100,86
Douglas,1,COORD-1148,100,86
Douglas,1,COORD-1147,100,111
Douglas,1,COORD-1146,100,84
Douglas,1,COORD-1145,88,101
Douglas,1,COORD-1144,100,117
Douglas,1,COORD-1143,100,129
Douglas,1,COORD-1142,100,129
Douglas,1,COORD-1141,100,129
Douglas,1,COORD-1140,100,119
Douglas,1,COORD-1139,100,68
Douglas,1,COORD-1138,95,101
Douglas,1,COORD-1137,100,101
Douglas,1,COORD-1136,100,66
Douglas,1,COORD-1135,100,101
Douglas,1,COORD-1134,100,109
Douglas,1,COORD-1133,100,84
Douglas,1,COORD-1132,100,66
Douglas,1,COORD-1131,100,129
Douglas,1,COORD-1130,100,84
Douglas,1,COORD-1129,100,129
Douglas,1,COORD-1128,48,117
Douglas,1,COORD-1127,50,66
Douglas,1,COORD-1126,100,109
Douglas,1,COORD-1125,100,109
Douglas,1,COORD-1124,100,84
Douglas,1,COORD-1123,100,66
Douglas,1,COORD-1122,100,117
Douglas,1,COORD-1121,100,109
Douglas,1,COORD-1120,100,109
Douglas,1,COORD-1119,100,129
Douglas,1,COORD-1118,100,84
Douglas,1,COORD-1117,100,117
Douglas,1,COORD-1116,100,117
Douglas,1,COORD-1115,100,66
Douglas,1,COORD-1114,53,101
Douglas,1,COORD-1113,100,109
Douglas,1,COORD-1112,100,68
Douglas,1,COORD-1111,100,101
Douglas,1,COORD-1110,100,64
Douglas,1,COORD-1109,100,66
Douglas,1,COORD-1108,100,101
Douglas,1,COORD-1107,100,64
Douglas,1,COORD-1106,100,101
Douglas,1,COORD-1105,100,64
Douglas,1,COORD-1104,100,66
Douglas,1,COORD-1103,100,117
Douglas,1,COORD-1102,100,101
Douglas,1,COORD-1101,58,68
Douglas,1,COORD-1100,100,86
Douglas,1,COORD-1099,100,109
Douglas,1,COORD-1098,100,84
Douglas,1,COORD-1097,100,84
Douglas,1,COORD-1096,100,86
Douglas,1,COORD-1095,100,86
Douglas,1,COORD-1094,100,109
Douglas,1,COORD-1093,43,111
Douglas,1,COORD-1092,76,111
Douglas,1,COORD-1091,94,129
Douglas,1,COORD-1090,100,111
Douglas,1,COORD-1089,100,95
Douglas,1,COORD-1088,100,109
Douglas,1,COORD-1087,100,109
Douglas,1,COORD-1086,100,111
Douglas,1,COORD-1085,100,66
Douglas,1,COORD-1084,100,111
Douglas,1,COORD-1083,100,129
Douglas,1,COORD-1082,100,84
Douglas,1,COORD-1081,36,117
