County,Tabulator ID,Batch ID,# of Ballot Cards,Location,,,,,,,,,,,,,,,,,,
La Plata,103,1,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,2,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,3,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,4,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,5,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,6,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,7,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,8,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,9,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,10,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,11,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,12,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,13,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,14,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,15,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,16,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,17,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,18,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,19,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,20,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,21,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,22,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,23,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,24,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,25,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,26,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,27,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,28,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,29,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,30,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,31,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,32,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,33,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,34,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,35,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,36,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,37,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,38,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,39,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,40,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,41,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,42,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,43,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,44,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,45,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,46,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,47,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,48,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,49,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,50,25,Bin # 1,,,,,,,,,,,,,,,,,,
La Plata,103,51,25,Bin # 2,,,,,,,,,,,,,,,,,,
La Plata,103,52,25,Bin # 2,,,,,,,,,,,,,,,,,,
La Plata,103,53,25,Bin # 2,,,,,,,,,,,,,,,,,,
