min_margin,contest_name,contest_cvr_ids
564867,President of the United States - REP,"[534577,394713,483699,462954,1699358,30640,832966,922544,940391,946308,1189431,1092973,1169776,267404,181415,277524,163330,143295,636812,638250,667016,1545441,1258121,1331726,1505996,1497434,1571456,69107,1450603,1451858]"
105075,President of the United States - DEM,"[534577,394713,483699,436987,462954,472343,560338,444989,532136,515561,487104,524901,519833,397100,477549,562217,1699358,1652371,1628718,1702474,1663718,1738122,1615449,1677223,1696164,370352,30640,832966,922544,940391,1052154,946308,958562,1012518,1055071,1056834,985545,950827,867707,936651,929349,990375,941374,1189431,1092973,1169776,1166954,1138995,1188831,1161077,1082413,1138358,1096834,1078690,591770,267404,181415,277524,163330,143295,218797,240072,254560,203641,233116,203747,200823,134006,116385,108299,278617,143839,156319,171595,243260,192719,136266,199174,118939,123796,227290,283992,62948,1218198,636812,638250,667016,788362,625908,681525,742420,701661,678730,721595,814629,809519,639090,617085,704400,725179,790821,808453,784562,813957,685407,1545441,1539711,1258121,1332986,1331726,1343544,1368346,1363924,1359071,1350898,1290042,1278153,1368497,1254648,1320741,1313262,1275941,1355043,597462,75849,1505996,1497434,1515375,1526156,1518350,1496196,1501566,1496034,321477,319304,1557292,1571456,1592127,1604219,1564290,1231809,1231954,362114,69107,1450603,1451858,1391200,1455954,1438978,1446085,1058565,340778,345140,350683,358300]"
