county_name,contest_name,imprinted_id,ballot_type,choice_per_voting_computer,audit_board_selection,consensus,record_type,audit_board_comment,timestamp,cvr_id
Arapahoe,President of the United States - DEM,5-232-31,1,"""Bernie Sanders""","""Bernie Sanders""",YES,uploaded,"",2020-03-13 13:40:53.9,524901
Arapahoe,President of the United States - DEM,7-20-73,1,"""Pete Buttigieg""","""Pete Buttigieg""",YES,uploaded,"",2020-03-13 13:41:52.86,394713
Arapahoe,President of the United States - DEM,2-94-15,1,"""Joseph R. Biden""","""Joseph R. Biden""",YES,uploaded,"",2020-03-13 13:40:37.438,462954
Arapahoe,President of the United States - DEM,2-276-44,1,"""Joseph R. Biden""","""Joseph R. Biden""",YES,uploaded,"",2020-03-13 13:41:05.504,562217
Arapahoe,President of the United States - DEM,3-56-27,1,"""Elizabeth Warren""","""Elizabeth Warren""",YES,uploaded,"",2020-03-13 13:41:28.681,397100
Arapahoe,President of the United States - DEM,3-139-74,1,"""Pete Buttigieg""","""Pete Buttigieg""",YES,uploaded,"",2020-03-13 13:41:55.822,444989
Arapahoe,President of the United States - DEM,7-224-49,1,"""Bernie Sanders""","""Bernie Sanders""",YES,uploaded,"",2020-03-13 13:43:02.461,532136
Arapahoe,President of the United States - DEM,5-224-21,1,"""Bernie Sanders""","""Bernie Sanders""",YES,uploaded,"",2020-03-13 13:43:46.483,519833
Arapahoe,President of the United States - DEM,3-339-96,1,"""Joseph R. Biden""","""Joseph R. Biden""",YES,uploaded,"",2020-03-13 13:42:50.84,534577
Arapahoe,President of the United States - DEM,7-166-78,1,"""Pete Buttigieg""","""Pete Buttigieg""",YES,uploaded,"",2020-03-13 13:42:38.833,487104
Arapahoe,President of the United States - DEM,9-186-39,1,"""Michael R. Bloomberg""","""Michael R. Bloomberg""",YES,uploaded,"",2020-03-13 13:43:56.631,483699
Arapahoe,President of the United States - DEM,9-167-64,1,"""Joseph R. Biden""","""Joseph R. Biden""",YES,uploaded,"",2020-03-13 13:43:27.526,472343
Arapahoe,President of the United States - DEM,5-312-25,1,"""Joseph R. Biden""","""Joseph R. Biden""",YES,uploaded,"",2020-03-13 13:41:27.433,560338
Arapahoe,President of the United States - REP,3-230-87,2,"""Donald J. Trump""","""Donald J. Trump""",YES,uploaded,"",2020-03-13 13:42:21.904,477549
Arapahoe,President of the United States - REP,7-98-62,2,"""Donald J. Trump""","""Donald J. Trump""",YES,uploaded,"",2020-03-13 13:42:14.145,436987
Arapahoe,President of the United States - REP,4-240-52,2,"""Donald J. Trump""","""Donald J. Trump""",YES,uploaded,"",2020-03-13 13:43:22.394,515561
Boulder,President of the United States - DEM,10-63-127,DS-01D,"""Bernie Sanders""","""Bernie Sanders""",YES,uploaded,"",2020-03-14 11:16:33.78,1696164
Boulder,President of the United States - DEM,7-52-76,DS-01D,"""Bernie Sanders""","""Bernie Sanders""",YES,uploaded,"",2020-03-14 11:17:01.934,1702474
Boulder,President of the United States - DEM,1-13-100,DS-01D,"""Joseph R. Biden""","""Joseph R. Biden""",YES,uploaded,"",2020-03-14 11:15:57.205,1615449
Boulder,President of the United States - DEM,4-31-94,DS-01D,"""Michael R. Bloomberg""","""Michael R. Bloomberg""",YES,uploaded,"",2020-03-14 11:16:36.055,1652371
Boulder,President of the United States - DEM,6-1-117,DS-01D,"""Pete Buttigieg""","""Pete Buttigieg""",YES,uploaded,"",2020-03-14 11:15:17.161,1628718
Boulder,President of the United States - DEM,10-57-130,DS-01D,"""Joseph R. Biden""","""Joseph R. Biden""",YES,uploaded,"",2020-03-14 11:17:41.68,1677223
Boulder,President of the United States - DEM,4-87-21,DS-01D,"""Michael R. Bloomberg""","""Michael R. Bloomberg""",YES,uploaded,"",2020-03-14 11:17:34.18,1738122
