County,Tabulator,Batch #,# of Cards,Location
Summit,1,260,25,9
Summit,1,261,25,9
Summit,1,262,25,9
Summit,1,263,25,9
Summit,1,264,25,9
Summit,1,265,25,9
Summit,1,266,25,9
Summit,1,267,25,9
Summit,1,268,25,9
Summit,1,269,25,9
Summit,1,270,25,9
Summit,1,271,25,10
Summit,1,272,25,10
Summit,1,273,25,10
Summit,1,274,25,10
Summit,1,275,25,10
Summit,1,276,25,10
Summit,1,277,25,10
Summit,1,278,25,10
Summit,1,279,25,10
Summit,1,280,25,10
Summit,1,281,25,10
Summit,1,282,25,10
Summit,1,283,25,10
Summit,1,284,25,10
Summit,1,285,25,10
Summit,1,286,25,10
Summit,1,287,25,10
Summit,1,288,25,10
Summit,1,289,25,10
Summit,1,290,25,10
Summit,1,291,25,10
Summit,1,292,25,10
Summit,1,293,25,10
Summit,1,294,25,10
Summit,1,295,25,10
Summit,1,296,25,10
Summit,1,297,25,10
Summit,1,298,25,10
Summit,1,299,25,10
Summit,1,300,25,10
Summit,1,301,25,11
Summit,1,302,25,11
Summit,1,303,25,11
Summit,1,304,25,11
Summit,1,305,25,11
Summit,1,306,25,11
Summit,1,307,25,11
Summit,1,308,25,11
Summit,1,309,25,11
Summit,1,310,25,11
Summit,1,311,25,11
Summit,1,312,25,11
Summit,1,313,25,11
Summit,1,314,25,11
Summit,1,315,25,11
Summit,1,316,25,11
Summit,1,317,25,11
Summit,1,318,25,11
Summit,1,319,25,11
Summit,1,320,25,11
Summit,1,321,25,11
Summit,1,322,25,11
Summit,1,323,25,11
Summit,1,324,25,11
Summit,1,325,25,11
Summit,1,326,25,11
Summit,1,327,25,11
Summit,1,328,25,11
Summit,1,329,25,11
Summit,1,330,25,11
Summit,1,331,25,11
Summit,1,332,25,11
Summit,1,333,26,11
Summit,1,334,25,12
Summit,1,335,25,12
Summit,1,336,25,12
Summit,1,337,20,12
Summit,1,338,1,12
Summit,7,1,25,1
Summit,7,2,25,1
Summit,7,3,25,1
Summit,7,4,25,1
Summit,7,5,25,1
Summit,7,6,25,1
Summit,7,7,25,1
Summit,7,8,25,1
Summit,7,9,25,1
Summit,7,10,25,1
Summit,7,11,25,1
Summit,7,12,25,1
Summit,7,13,25,1
Summit,7,14,25,1
Summit,7,15,25,1
Summit,7,16,43,1
Summit,7,17,17,1
Summit,7,18,3,1
Summit,7,19,3,1
Summit,8,1,25,1
Summit,8,2,25,1
Summit,8,3,25,1
Summit,8,4,25,1
Summit,8,5,25,1
Summit,8,6,5,1
Summit,8,7,5,1
