County,Tabulator ID,TrackingId,BatchCount,BallotStorageBox
Douglas,1,COORD-0179,100,8
Douglas,1,COORD-0180,100,10
Douglas,1,COORD-0181,100,14
Douglas,1,COORD-0182,100,14
Douglas,1,COORD-0183,100,28
Douglas,1,COORD-0184,100,8
Douglas,1,COORD-0185,100,14
Douglas,1,COORD-0186,100,14
Douglas,1,COORD-0187,100,14
Douglas,1,COORD-0188,100,8
Douglas,1,COORD-0189,100,43
Douglas,1,COORD-0190,100,35
Douglas,1,COORD-0191,100,14
Douglas,1,COORD-0192,100,8
Douglas,1,COORD-0193,100,14
Douglas,1,COORD-0194,100,40
Douglas,1,COORD-0195,100,14
Douglas,1,COORD-0196,100,50
Douglas,1,COORD-0197,100,8
Douglas,1,COORD-0198,100,35
Douglas,1,COORD-0199,100,28
Douglas,1,COORD-0200,100,37
Douglas,1,COORD-0201,100,28
Douglas,1,COORD-0202,100,6
Douglas,1,COORD-0203,100,30
Douglas,1,COORD-0204,100,37
Douglas,1,COORD-0205,100,6
Douglas,1,COORD-0206,66,30
Douglas,1,COORD-0207,100,28
Douglas,1,COORD-0208,100,28
Douglas,1,COORD-0209,100,30
Douglas,1,COORD-0210,100,49
Douglas,1,COORD-0211,99,43
Douglas,1,COORD-0212,100,35
Douglas,1,COORD-0213,100,41
Douglas,1,COORD-0214,100,28
Douglas,1,COORD-0215,100,35
Douglas,1,COORD-0216,100,28
Douglas,1,COORD-0217,100,36
Douglas,1,COORD-0218,100,37
Douglas,1,COORD-0219,12,29
Douglas,1,COORD-0220,100,35
Douglas,1,COORD-0221,100,35
Douglas,1,COORD-0222,100,50
Douglas,1,COORD-0223,100,17
Douglas,1,COORD-0224,100,36
Douglas,1,COORD-0225,100,24
Douglas,1,COORD-0226,100,30
Douglas,1,COORD-0227,100,50
Douglas,1,COORD-0228,100,35
Douglas,1,COORD-0229,100,36
Douglas,1,COORD-0230,100,28
Douglas,1,COORD-0231,100,37
Douglas,1,COORD-0232,100,29
Douglas,1,COORD-0233,100,37
Douglas,1,COORD-0234,100,43
Douglas,1,COORD-0235,100,36
Douglas,1,COORD-0236,100,36
Douglas,1,COORD-0237,100,17
Douglas,1,COORD-0238,100,36
Douglas,1,COORD-0239,100,29
Douglas,1,COORD-0240,100,17
Douglas,1,COORD-0241,100,35
Douglas,1,COORD-0242,82,35
Douglas,1,COORD-0243,100,35
Douglas,1,COORD-0244,100,43
Douglas,1,COORD-0245,100,35
Douglas,1,COORD-0246,100,40
Douglas,1,COORD-0247,100,40
Douglas,1,COORD-0248,100,40
Douglas,1,COORD-0249,100,40
Douglas,1,COORD-0250,100,40
Douglas,1,COORD-0251,100,40
Douglas,1,COORD-0252,100,41
Douglas,1,COORD-0253,100,48
Douglas,1,COORD-0254,100,40
Douglas,1,COORD-0255,99,40
Douglas,1,COORD-0256,99,37
Douglas,1,COORD-0257,100,40
Douglas,1,COORD-0258,100,62
Douglas,1,COORD-0259,100,43
Douglas,1,COORD-0260,100,40
Douglas,1,COORD-0261,100,4
Douglas,1,COORD-0262,100,48
Douglas,1,COORD-0263,100,43
Douglas,1,COORD-0264,100,40
Douglas,1,COORD-0265,100,41
Douglas,1,COORD-0266,100,43
Douglas,1,COORD-0267,100,49
Douglas,1,COORD-0268,100,45
Douglas,1,COORD-0269,100,45
Douglas,1,COORD-0270,100,41
Douglas,1,COORD-0271,100,41
Douglas,1,COORD-0272,100,41
Douglas,1,COORD-0273,100,40
Douglas,1,COORD-0274,100,37
Douglas,1,COORD-0275,100,41
Douglas,1,COORD-0276,100,41
Douglas,1,COORD-0277,100,43
Douglas,1,COORD-0278,100,43
Douglas,1,COORD-0279,100,37
Douglas,1,COORD-0280,100,45
Douglas,1,COORD-0281,100,41
Douglas,1,COORD-0282,100,43
Douglas,1,COORD-0283,100,43
Douglas,1,COORD-0284,100,45
Douglas,1,COORD-0285,100,37
Douglas,1,COORD-0286,100,41
Douglas,1,COORD-0287,100,44
Douglas,1,COORD-0288,100,37
Douglas,1,COORD-0289,100,45
Douglas,1,COORD-0290,100,45
Douglas,1,COORD-0291,100,41
Douglas,1,COORD-0292,100,45
Douglas,1,COORD-0293,100,44
Douglas,1,COORD-0294,13,44
Douglas,1,COORD-0295,2,49
Douglas,1,COORD-0296,3,50
Douglas,1,COORD-0297,5,37
Douglas,1,COORD-0298,3,37
Douglas,1,COORD-0299,3,37
Douglas,1,COORD-0300,4,37
Douglas,1,COORD-0301,100,48
Douglas,1,COORD-0302,100,44
Douglas,1,COORD-0303,100,45
Douglas,1,COORD-0304,100,60
Douglas,1,COORD-0305,100,48
Douglas,1,COORD-0306,100,51
Douglas,1,COORD-0307,100,36
Douglas,1,COORD-0308,100,45
Douglas,1,COORD-0309,100,44
Douglas,1,COORD-0310,100,54
Douglas,1,COORD-0311,100,61
Douglas,1,COORD-0312,100,57
Douglas,1,COORD-0313,100,36
Douglas,1,COORD-0314,100,36
Douglas,1,COORD-0315,100,45
Douglas,1,COORD-0316,100,50
Douglas,1,COORD-0317,100,36
Douglas,1,COORD-0318,100,45
Douglas,1,COORD-0319,100,48
Douglas,1,COORD-0320,100,36
Douglas,1,COORD-0321,100,57
Douglas,1,COORD-0322,100,59
Douglas,1,COORD-0323,50,44
Douglas,1,COORD-0324,100,51
Douglas,1,COORD-0325,100,44
Douglas,1,COORD-0326,100,51
Douglas,1,COORD-0327,100,44
Douglas,1,COORD-0328,100,44
Douglas,1,COORD-0329,100,44
Douglas,1,COORD-0330,100,36
Douglas,1,COORD-0331,100,54
Douglas,1,COORD-0332,100,36
Douglas,1,COORD-0333,100,54
Douglas,1,COORD-0334,100,44
Douglas,1,COORD-0335,100,45
Douglas,1,COORD-0336,100,61
Douglas,1,COORD-0337,100,44
Douglas,1,COORD-0338,100,44
Douglas,1,COORD-0339,100,45
Douglas,1,COORD-0340,100,59
Douglas,1,COORD-0341,100,57
Douglas,1,COORD-0342,100,44
Douglas,1,COORD-0343,100,41
Douglas,1,COORD-0344,100,36
Douglas,1,COORD-0345,100,37
Douglas,1,COORD-0346,100,62
Douglas,1,COORD-0347,100,36
Douglas,1,COORD-0348,100,44
Douglas,1,COORD-0349,17,40
Douglas,1,COORD-0350,12,49
Douglas,1,COORD-0351,100,60
Douglas,1,COORD-0352,100,49
Douglas,1,COORD-0353,100,49
Douglas,1,COORD-0354,100,49
Douglas,1,COORD-0355,100,61
Douglas,1,COORD-0356,100,50
Douglas,1,COORD-0357,100,50
Douglas,1,COORD-0358,100,49
Douglas,1,COORD-0359,100,49
Douglas,1,COORD-0360,100,49
Douglas,1,COORD-0361,100,50
Douglas,1,COORD-0362,100,50
Douglas,1,COORD-0363,100,51
Douglas,1,COORD-0364,100,73
Douglas,1,COORD-0365,100,61
Douglas,1,COORD-0366,100,50
Douglas,1,COORD-0367,100,49
Douglas,1,COORD-0368,100,50
Douglas,1,COORD-0369,100,51
Douglas,1,COORD-0370,100,50
Douglas,1,COORD-0371,100,49
Douglas,1,COORD-0372,100,49
Douglas,1,COORD-0373,99,50
Douglas,1,COORD-0374,99,54
Douglas,1,COORD-0375,100,51
Douglas,1,COORD-0376,100,51
Douglas,1,COORD-0377,20,50
Douglas,1,COORD-0378,100,57
Douglas,1,COORD-0379,100,51
Douglas,1,COORD-0380,100,49
Douglas,1,COORD-0381,100,54
Douglas,1,COORD-0382,100,61
Douglas,1,COORD-0383,100,50
Douglas,1,COORD-0384,100,51
Douglas,1,COORD-0385,100,50
Douglas,1,COORD-0386,100,57
Douglas,1,COORD-0387,100,54
Douglas,1,COORD-0388,100,51
Douglas,1,COORD-0389,100,59
Douglas,1,COORD-0390,100,54
Douglas,1,COORD-0391,100,51
Douglas,1,COORD-0392,100,54
Douglas,1,COORD-0393,100,54
Douglas,1,COORD-0394,100,54
Douglas,1,COORD-0395,100,59
Douglas,1,COORD-0396,100,51
Douglas,1,COORD-0397,100,59
Douglas,1,COORD-0398,100,61
Douglas,1,COORD-0399,100,59
Douglas,1,COORD-0400,100,51
Douglas,1,COORD-0401,100,51
Douglas,1,COORD-0402,100,59
Douglas,1,COORD-0403,100,57
Douglas,1,COORD-0404,100,51
Douglas,1,COORD-0405,100,61
Douglas,1,COORD-0406,100,54
Douglas,1,COORD-0407,100,57
Douglas,1,COORD-0408,100,51
Douglas,1,COORD-0409,100,57
Douglas,1,COORD-0410,100,62
Douglas,1,COORD-0411,100,60
Douglas,1,COORD-0412,100,61
Douglas,1,COORD-0413,100,61
Douglas,1,COORD-0414,100,59
Douglas,1,COORD-0415,100,57
Douglas,1,COORD-0416,100,48
Douglas,1,COORD-0417,100,60
Douglas,1,COORD-0418,100,64
Douglas,1,COORD-0419,100,60
Douglas,1,COORD-0420,100,48
Douglas,1,COORD-0421,82,57
Douglas,1,COORD-0422,100,66
Douglas,1,COORD-0423,100,48
Douglas,1,COORD-0424,100,48
Douglas,1,COORD-0425,99,62
Douglas,1,COORD-0426,100,60
Douglas,1,COORD-0427,100,59
Douglas,1,COORD-0428,100,59
Douglas,1,COORD-0429,100,59
Douglas,1,COORD-0430,100,60
Douglas,1,COORD-0431,100,66
Douglas,1,COORD-0432,100,64
Douglas,1,COORD-0433,100,59
Douglas,1,COORD-0434,100,57
Douglas,1,COORD-0435,100,60
Douglas,1,COORD-0436,100,54
Douglas,1,COORD-0437,100,62
Douglas,1,COORD-0438,100,59
Douglas,1,COORD-0439,100,59
Douglas,1,COORD-0440,100,69
Douglas,1,COORD-0441,100,59
Douglas,1,COORD-0442,100,99
Douglas,1,COORD-0443,100,64
Douglas,1,COORD-0444,100,64
Douglas,1,COORD-0445,6,57
Douglas,1,COORD-0446,100,48
Douglas,1,COORD-0447,100,60
Douglas,1,COORD-0448,100,60
Douglas,1,COORD-0449,100,48
Douglas,1,COORD-0450,100,48
Douglas,1,COORD-0451,100,61
Douglas,1,COORD-0452,100,61
Douglas,1,COORD-0453,100,66
Douglas,1,COORD-0454,100,66
Douglas,1,COORD-0455,100,64
Douglas,1,COORD-0456,100,66
Douglas,1,COORD-0457,100,60
Douglas,1,COORD-0458,100,61
Douglas,1,COORD-0459,100,60
Douglas,1,COORD-0460,100,64
Douglas,1,COORD-0461,100,57
Douglas,1,COORD-0462,99,57
Douglas,1,COORD-0463,6,137
Douglas,1,COORD-0464,19,137
Douglas,1,COORD-0500,100,64
Douglas,1,COORD-0501,100,57
Douglas,1,COORD-0502,100,60
Douglas,1,COORD-0503,100,48
Douglas,1,COORD-0504,100,57
Douglas,1,COORD-0505,100,66
Douglas,1,COORD-0506,100,57
Douglas,1,COORD-0507,100,64
Douglas,1,COORD-0508,100,64
Douglas,1,COORD-0509,100,60
Douglas,1,COORD-0510,100,64
