contest_name,audit_reason,random_audit_status,winners_allowed,ballot_card_count,contest_ballot_card_count,winners,min_margin,risk_limit,audited_sample_count,two_vote_over_count,one_vote_over_count,one_vote_under_count,two_vote_under_count,disagreement_count,other_count,gamma,overstatements,optimistic_samples_to_audit,estimated_samples_to_audit
Academy School District 20 Director,opportunistic_benefits,in_progress,2,178494,36256,"""Will Temby"",""Heather Cloninger""",1963,0.05000000,0,0,0,0,0,0,0,1.03905000,0,567,567
Adams-Arapahoe School District 28J Board of Directors - At Large,opportunistic_benefits,in_progress,3,263729,37801,"""Nichelle Ortiz"",""Vicki Reinhard"",""Stephanie Mason""",752,0.05000000,0,0,0,0,0,0,0,1.03905000,0,2184,2184
Adams County School District 14 Board Of Education,opportunistic_benefits,in_progress,3,100135,4139,"""Renee N. Lovato"",""Ramona Lewis"",""Regina Hurtado""",24,0.05000000,0,0,0,0,0,0,0,1.03905000,0,25975,25975
Aims College District Trustee - District A,opportunistic_benefits,not_auditable,1,321085,57808,"""Heidi Windell""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0,0,0
Aims College District Trustee - District B,opportunistic_benefits,in_progress,1,321085,57808,"""Mark Hout""",19769,0.05000000,0,0,0,0,0,0,0,1.03905000,0,102,102
Aims College District Trustee - District E,opportunistic_benefits,in_progress,1,321085,57808,"""Lyle Achziger""",6129,0.05000000,0,0,0,0,0,0,0,1.03905000,0,327,327
Alamosa School District RE-11J Director - District 1,opportunistic_benefits,in_progress,1,6801,3685,"""Eli Heredia""",723,0.05000000,0,0,0,0,0,0,0,1.03905000,0,59,59
Alamosa School District RE-11J Director - District 2,opportunistic_benefits,in_progress,1,6801,3685,"""April Gonzales""",211,0.05000000,0,0,0,0,0,0,0,1.03905000,0,201,201
Alamosa School District RE-11J Director - District 5,opportunistic_benefits,not_auditable,1,6801,3685,"""Michael Mumper""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0,0,0
Alamosa School District RE-11J Director - District 6,opportunistic_benefits,not_auditable,1,6801,3685,"""Katrina Brown""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0,0,0
Animas Mosquito Control District Ballot Issue 6B,opportunistic_benefits,in_progress,1,17113,6977,"""Yes/for""",412,0.05000000,0,0,0,0,0,0,0,1.03905000,0,259,259
Animas Mosquito Control District Ballot Question 6C,opportunistic_benefits,in_progress,1,17113,6977,"""No/against""",1090,0.05000000,0,0,0,0,0,0,0,1.03905000,0,98,98
Arapahoe County Ballot Issue 1A,opportunistic_benefits,in_progress,1,163594,162788,"""No/against""",52851,0.05000000,0,0,0,0,0,0,0,1.03905000,0,20,20
Arapahoe County School District #6 Littleton Public Schools School Director - At Large,county_wide_contest,risk_limit_achieved,2,163594,35439,"""Lindley Mccrary"",""Robert Reichardt""",3655,0.05000000,280,0,0,0,0,0,0,1.03905000,0,279,279
Arapahoe Park and Recreation District Ballot Issue 6A,opportunistic_benefits,in_progress,1,163594,14579,"""No/against""",990,0.05000000,0,0,0,0,0,0,0,1.03905000,0,1029,1029
Arriba-Flagler Consolidated School District #20 Director,opportunistic_benefits,in_progress,3,4150,509,"""Jonathan Hart"",""K. Renae Saffer"",""Janelle Kountz""",59,0.05000000,0,0,0,0,0,0,0,1.03905000,0,438,438
Aspen School District School Board Director,county_wide_contest,risk_limit_achieved,2,5240,4022,"""Katy Frisch"",""Jonathan Nickell""",598,0.05000000,56,0,0,0,0,0,0,1.03905000,0,55,55
Aspen Valley Hospital District Ballot Issue 6A,opportunistic_benefits,in_progress,1,5240,4921,"""Yes/for""",2162,0.05000000,0,0,0,0,0,0,0,1.03905000,0,16,16
Bayfield School District 10 Jt-R School Board Director - 2 year term,opportunistic_benefits,in_progress,1,21364,3314,"""Mary Lynn Herr""",129,0.05000000,0,0,0,0,0,0,0,1.03905000,0,1032,1032
Bayfield School District 10 Jt-R School Board Director - 4 year term,opportunistic_benefits,in_progress,3,21364,3314,"""Mike Foutz"",""Amy Davlin"",""Debbie Wilhelm""",297,0.05000000,0,0,0,0,0,0,0,1.03905000,0,448,448
Bennett School District 29J Ballot Issue 5B,opportunistic_benefits,in_progress,1,263729,2286,"""No/against""",372,0.05000000,0,0,0,0,0,0,0,1.03905000,0,4414,4414
Bennett School District 29J School Director - At Large,opportunistic_benefits,in_progress,3,263729,2286,"""Melissa Walkup"",""Dennis E. Smialek"",""Nancy Barden""",63,0.05000000,0,0,0,0,0,0,0,1.03905000,0,26061,26061
Bethune School District R-5 Ballot Issue 4A,opportunistic_benefits,in_progress,1,2515,229,"""Yes/for""",7,0.05000000,0,0,0,0,0,0,0,1.03905000,0,2237,2237
Bethune School District R-5 Directors - 2 Year Term,opportunistic_benefits,in_progress,2,2515,229,"""Mark Beringer"",""Shawna Calhoon""",3,0.05000000,0,0,0,0,0,0,0,1.03905000,0,5219,5219
Bethune School District R-5 Directors - 4 Year Term,opportunistic_benefits,not_auditable,2,2515,229,"""Scott Powell"",""Eric Ziegler""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0,0,0
Boulder County Question 1A,county_wide_contest,risk_limit_achieved,1,115283,115162,"""Yes/for""",8177,0.05000000,89,0,0,0,0,0,0,1.03905000,0,88,88
Boulder Valley School District RE-2 Director - District A,opportunistic_benefits,in_progress,1,141430,83330,"""Lisa Sweeney-marin""",24376,0.05000000,0,0,0,0,0,0,0,1.03905000,0,37,37
Boulder Valley School District RE-2 Director - District C,opportunistic_benefits,not_auditable,1,141430,83330,"""Kathy Gebhardt""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0,0,0
Boulder Valley School District RE-2 Director - District D,opportunistic_benefits,in_progress,1,141430,83330,"""Stacey Zis""",33179,0.05000000,0,0,0,0,0,0,0,1.03905000,0,27,27
Boulder Valley School District RE-2 Director - District G,opportunistic_benefits,not_auditable,1,141430,83330,"""Richard L. Garcia""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0,0,0
Brook Forest Water District Ballot Issue 6A,opportunistic_benefits,in_progress,1,195165,306,"""Yes/for""",82,0.05000000,0,0,0,0,0,0,0,1.03905000,0,14817,14817
