County,Device ID,Batch,# of Ballot Cards,Location
Conejos,101,1,25,Box 1
Conejos,101,2,25,Box 1
Conejos,101,3,25,Box 1
Conejos,101,4,25,Box 1
Conejos,101,5,25,Box 1
Conejos,101,6,25,Box 1
Conejos,101,7,25,Box 1
Conejos,101,8,25,Box 1
Conejos,101,9,25,Box 1
Conejos,101,10,25,Box 1
Conejos,101,11,25,Box 1
Conejos,101,12,25,Box 1
Conejos,101,13,25,Box 1
Conejos,101,14,25,Box 1
Conejos,101,15,25,Box 1
Conejos,101,16,25,Box 1
Conejos,101,17,25,Box 1
Conejos,101,18,25,Box 1
Conejos,101,19,25,Box 1
Conejos,101,20,25,Box 1
Conejos,101,21,25,Box 1
Conejos,101,22,25,Box 1
Conejos,101,23,25,Box 1
Conejos,101,24,25,Box 1
Conejos,101,25,25,Box 1
Conejos,101,26,25,Box 1
Conejos,101,27,25,Box 1
Conejos,101,28,25,Box 1
Conejos,101,29,25,Box 1
Conejos,101,30,25,Box 1
Conejos,101,31,25,Box 1
Conejos,101,32,25,Box 1
Conejos,101,33,25,Box 1
Conejos,101,34,25,Box 1
Conejos,101,35,25,Box 1
Conejos,101,36,25,Box 1
Conejos,101,37,25,Box 1
Conejos,101,38,25,Box 1
Conejos,101,39,25,Box 1
Conejos,101,40,25,Box 1
Conejos,101,41,25,Box 1
Conejos,101,42,25,Box 1
Conejos,101,43,25,Box 1
Conejos,101,44,25,Box 1
Conejos,101,45,25,Box 1
Conejos,101,46,25,Box 1
Conejos,101,47,25,Box 1
Conejos,101,48,25,Box 1
Conejos,101,49,25,Box 1
Conejos,101,50,25,Box 1
Conejos,101,51,25,Box 1
Conejos,101,52,25,Box 1
Conejos,101,53,25,Box 1
Conejos,101,54,25,Box 1
Conejos,101,55,25,Box 1
Conejos,101,56,25,Box 1
Conejos,101,57,25,Box 1
Conejos,101,58,25,Box 2
Conejos,101,59,25,Box 2
Conejos,101,60,25,Box 2
Conejos,101,61,25,Box 2
Conejos,101,62,25,Box 2
Conejos,101,63,25,Box 2
Conejos,101,64,25,Box 2
Conejos,101,65,25,Box 2
Conejos,101,66,25,Box 2
Conejos,101,67,25,Box 2
Conejos,101,68,25,Box 2
Conejos,101,69,25,Box 2
Conejos,101,70,25,Box 2
Conejos,101,71,25,Box 2
Conejos,101,72,25,Box 2
Conejos,101,73,25,Box 2
Conejos,101,74,25,Box 2
Conejos,101,75,25,Box 2
Conejos,101,76,25,Box 2
Conejos,101,77,25,Box 2
Conejos,101,78,25,Box 2
Conejos,101,79,25,Box 2
Conejos,101,80,25,Box 2
Conejos,101,81,25,Box 2
Conejos,101,82,25,Box 2
Conejos,101,83,25,Box 2
Conejos,101,84,25,Box 2
Conejos,101,85,25,Box 2
Conejos,101,86,25,Box 2
Conejos,101,87,25,Box 2
Conejos,101,88,25,Box 2
Conejos,101,89,25,Box 2
Conejos,101,90,25,Box 2
Conejos,101,91,25,Box 2
Conejos,101,92,25,Box 2
Conejos,101,93,25,Box 2
Conejos,101,94,25,Box 2
Conejos,101,95,25,Box 2
Conejos,101,96,25,Box 2
Conejos,101,97,25,Box 2
Conejos,101,98,25,Box 2
Conejos,101,99,25,Box 2
Conejos,101,100,25,Box 2
Conejos,101,101,25,Box 2
Conejos,101,102,25,Box 2
Conejos,101,103,25,Box 2
Conejos,101,104,25,Box 2
Conejos,101,105,25,Box 2
Conejos,101,106,25,Box 2
Conejos,101,107,25,Box 2
Conejos,101,108,25,Box 2
Conejos,101,109,28,Box 2
Conejos,101,110,18,Box 2
