County,Device,Batch,#of Ballots,Location
Routt,201,1,25,55
Routt,201,2,25,55
Routt,201,3,25,55
Routt,201,4,25,55
Routt,201,5,25,55
Routt,201,6,25,55
Routt,201,7,25,55
Routt,201,8,25,55
Routt,201,9,25,55
Routt,201,10,25,55
Routt,201,11,25,55
Routt,201,12,25,55
Routt,201,13,25,55
Routt,201,14,25,55
Routt,201,15,25,55
Routt,201,16,25,55
Routt,201,17,25,55
Routt,201,18,25,55
Routt,201,19,25,55
Routt,201,20,25,55
Routt,201,21,25,55
Routt,201,22,25,55
Routt,201,23,25,55
Routt,201,24,25,55
Routt,201,25,25,55
Routt,201,26,25,55
Routt,201,27,25,55
Routt,201,28,25,55
Routt,201,29,25,55
Routt,201,30,25,55
Routt,201,31,25,55
Routt,201,32,25,55
Routt,201,33,25,55
Routt,201,34,25,55
Routt,201,35,25,55
Routt,201,36,25,55
Routt,201,37,4,55
Routt,201,38,21,55
Routt,201,39,17,55
Routt,201,40,13,55
Routt,201,41,24,55
Routt,201,42,24,55
Routt,201,43,24,55
Routt,201,44,24,55
Routt,201,45,24,55
Routt,201,46,24,55
Routt,201,47,24,55
Routt,201,48,24,23
Routt,201,49,25,23
Routt,201,50,25,23
Routt,201,51,25,23
Routt,201,52,25,23
Routt,201,53,25,23
Routt,201,54,25,23
Routt,201,55,25,23
Routt,201,56,25,23
Routt,201,57,25,23
Routt,201,58,25,23
Routt,201,59,24,23
Routt,201,60,24,23
Routt,201,61,25,23
Routt,201,62,25,23
Routt,201,63,25,23
Routt,201,64,25,23
Routt,201,65,25,23
Routt,201,66,25,23
Routt,201,67,25,23
Routt,201,68,25,23
Routt,201,69,25,23
Routt,201,70,25,23
Routt,201,71,25,23
Routt,201,72,25,23
Routt,201,73,25,23
Routt,201,74,25,23
Routt,201,75,25,23
Routt,201,76,25,23
Routt,201,77,25,23
Routt,201,78,25,23
Routt,201,79,25,23
Routt,201,80,25,23
Routt,201,81,25,23
Routt,201,82,25,23
Routt,201,83,25,23
Routt,201,84,25,23
Routt,201,85,25,23
Routt,201,86,25,23
Routt,201,87,25,23
Routt,201,88,25,23
Routt,201,89,25,23
Routt,201,90,25,23
Routt,201,91,25,23
Routt,201,92,25,23
Routt,201,93,25,23
Routt,201,94,25,23
Routt,201,95,25,23
Routt,201,96,25,23
Routt,201,97,25,23
Routt,201,98,25,23
Routt,201,99,25,23
Routt,201,100,25,23
Routt,201,101,25,133
Routt,201,102,25,133
Routt,201,103,25,133
Routt,201,104,25,133
Routt,201,105,25,133
Routt,201,106,25,133
Routt,201,107,25,133
Routt,201,108,25,133
Routt,201,109,25,133
Routt,201,110,25,133
Routt,201,111,25,133
Routt,201,112,25,133
Routt,201,113,25,133
Routt,201,114,25,133
Routt,201,115,25,133
Routt,201,116,25,133
Routt,201,117,25,133
Routt,201,118,24,133
Routt,201,119,24,133
Routt,201,120,24,133
Routt,201,121,24,133
Routt,201,122,19,133
Routt,201,123,22,133
Routt,201,124,22,133
Routt,201,125,10,133
Routt,201,126,17,133
Routt,201,127,20,133
Routt,201,128,24,133
Routt,201,129,24,133
Routt,201,130,24,133
Routt,201,131,24,133
Routt,201,132,24,133
Routt,201,133,22,133
Routt,201,134,23,133
Routt,201,135,24,24
Routt,201,136,15,24
Routt,201,137,25,24
Routt,201,138,25,24
Routt,201,139,20,24
Routt,201,140,25,24
Routt,201,141,25,24
Routt,201,142,25,24
Routt,201,143,25,24
Routt,201,144,25,24
Routt,201,145,25,24
Routt,201,146,25,24
Routt,201,147,25,24
Routt,201,148,25,24
Routt,201,149,25,24
Routt,201,150,25,24
Routt,201,151,25,24
Routt,201,152,25,24
Routt,201,153,25,24
Routt,201,154,24,24
Routt,201,155,25,24
Routt,201,156,26,24
Routt,201,157,25,24
Routt,201,158,25,24
Routt,201,159,25,24
Routt,201,160,25,24
Routt,201,161,25,24
Routt,201,162,25,24
Routt,201,163,25,24
Routt,201,164,25,24
Routt,201,165,25,24
Routt,201,166,25,24
Routt,201,167,25,24
Routt,201,168,25,24
Routt,201,169,25,24
Routt,201,170,25,24
Routt,201,171,25,24
Routt,201,172,25,24
Routt,201,173,25,24
Routt,201,174,25,24
Routt,201,175,25,24
Routt,201,176,25,24
Routt,201,177,25,24
Routt,201,178,25,24
Routt,201,179,25,24
Routt,201,180,25,24
Routt,201,181,25,88
