contest_name,audit_reason,random_audit_status,winners_allowed,ballot_card_count,contest_ballot_card_count,winners,min_margin,risk_limit,audited_sample_count,two_vote_over_count,one_vote_over_count,one_vote_under_count,two_vote_under_count,disagreement_count,other_count,gamma,overstatements,optimistic_samples_to_audit,estimated_samples_to_audit
Lake - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,1470,730,"""Joseph R Biden Jr""",500,0.03000000,23,0,0,0,0,0,0,1.03905000,0,22,22
La Plata - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,17901,7248,"""Joseph R Biden Jr""",5468,0.03000000,25,0,0,0,0,0,0,1.03905000,0,24,24
Larimer - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,104355,43377,"""Joseph R Biden Jr""",32278,0.03000000,25,0,0,0,0,0,0,1.03905000,0,24,24
Las Animas - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,4299,1840,"""Joseph R Biden Jr""",1219,0.03000000,27,0,0,0,0,0,0,1.03905000,0,26,26
Lincoln - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,1546,176,"""Joseph R Biden Jr""",97,0.03000000,118,0,0,0,0,0,0,1.03905000,0,117,117
Logan - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,6056,904,"""Joseph R Biden Jr""",600,0.03000000,75,0,0,0,0,0,0,1.03905000,0,74,74
Mesa - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,49584,11599,"""Joseph R Biden Jr""",8912,0.03000000,42,0,0,0,0,0,0,1.03905000,0,41,41
Mineral - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,504,167,"""Joseph R Biden Jr""",114,0.03000000,34,0,0,0,0,0,0,1.03905000,0,33,33
Moffat - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,3554,377,"""Joseph R Biden Jr""",258,0.03000000,102,0,0,0,0,0,0,1.03905000,0,101,101
Montezuma - President of the United States - DEM,county_wide_contest,in_progress,1,8640,2251,"""Joseph R Biden Jr""",1720,0.03000000,38,0,1,0,0,0,0,1.03905000,0,44,44
Montrose - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,14603,3086,"""Joseph R Biden Jr""",2467,0.03000000,45,0,0,0,0,0,0,1.03905000,0,44,44
