min_margin,contest_name,contest_cvr_ids
21,Cheyenne - President of the United States - DEM,"[798837,798902,798524,798571,799032,798702,798741,799029,798854,798519,799077,798752,798798,798642,798793,798969,798490,798554,799055,798663,798857,798646,799032,798730,798950,798811,798641,799062,798671,799095,798428,798992,798881,798529,799091,798945,799092,799038,798713,798960,798471,798579,798772,798502,798779,798782,799073,798597,798518,798896,798845,798631,799092,799007,798449,798891,798669,798809,798741,798913,798731,798521,798701,798974,798829,798986,799026,798981,798424,798626,798972,798905,798736,798824,798979,798845,799060,799020,798863,798991,798775,798996,798711,798868,799026,798715,798656,798965,798859,798975,798740,798894,798524,798790,798918,798699,798640,798931,798720,798479,798772,798479,799014,799045,799057,798429,798933,798943,799008,799033,798701,799074,798843,798928,798653,798518,799080,799088,798768,799055,799063,799088,798499,798641,798999,798867,798981,798773,799073,798996,798954,798789,798654,798996,799031,798679,798890,798653,799083,799030,798781,798881,798734,798526,798510,799040,798633,799015,799058,799064,798876,799020,798744,798644,799016,798701,799016,798874,798974,799056,798940,798672,799046,798958,798466,798928,798680,798795,798582,799031,798432,798595,798571,798500,798579,798915,798942,798850,798603,798943,798509,798685,798611,798665,798569,798793,798867,798962,798756,798602,798698,798878,798819,798496,798689,798666,798848,798445,798646,798592,798758,798530,798641,798568,798835,798816,798428,798662,798632,798753,798693,798613,798496,798779,798678,798736,798452,798718,798467,798544,798707,798670,798580,798462,798469,798561,798635,798540,798477,798525,798646,798562,798575,798473,798554,798572,798552,798428,798524,798438]"
3600,Eagle - President of the United States - DEM,"[768386,773635,775312,765810,766382,774025,771506,774501,765990,769697,766802,772455,765430,770740,766221,772524,765375,767853,765050,771409,766630,772987,769597,767462]"
97,Phillips - President of the United States - DEM,"[623574,623720,623891,623306,622808,623666,623241,623494,622806,623629,623907,624021,623442,623761,623867,623879,623266,623182,623941,622670,623741,623021,623633,623249,623953,623720,623905,623967,623714,623252,623472,623602,623883,623732,622776,622769,623878,623001,622674,624029,623816,623235,623148,624009,623851,624073,622848,623496,623294,623894,622842,622970,623058,623261,623554,623894,622723,623342,623963,623815,623585,622678,622893,623588,623871,622802,623928,623730,623992,623320,622912,623848,623000,623668,623340,623814,623119,622628,623639,623830,623408,622622,623152,622782,623753,622755,623724,622638,623204,622903,622812,622893,623059,622720,623363,623040,623453,622912,622864,622993,623088,623101,623180,623199,622884,622937,622943,622889,622980,623010,622736]"
64321,Denver - President of the United States - DEM,"[1101648,1126249,1129570,1185607,1206778,1236151,1126688,1194293,1102615,1100230,1108752,1148198,1100827,1117651,1125523,1177784,1222466]"
139,Rio Blanco - President of the United States - DEM,"[804013,804700,804365,803304,804901,804048,804541,804512,804252,803813,804668,804514,805336,804552,804111,805294,803958,803515,804950,805093,803283,804666,803845,803904,804458,805067,804748,804160,805266,804027,805289,804708,804954,803406,805093,804393,805336,804800,803531,803894,803983,803748,805245,803470,804941,805122,804828,804982,805241,804480,803648,804876,805208,805249,803577,803798,804930,805414,804096,803961,803392,805144,803573,804668,803996,804723,804468,804174,804832,804346,803713,805263,804549,805038,804294,804683,804864,804885,803797,803835,803309,804675,803592,804882,804417,803986,803955,804210,804882,803299,804044,804807,804045,803653,803288,803892,804259,803584,804505,804244,804351,804493,804278,804196,804160,804168,804162,803986,803801,803339,803806,803388,803785,803788,803338,803563]"
121,Kit Carson - President of the United States - DEM,"[721717,722289,722127,721557,721623,723072,721502,721789,721865,722236,722019,722282,722737,722736,721478,722453,722201,722832,722629,721161,722759,722858,722705,721731,722915,722841,722067,723074,723087,722144,723025,723006,723133,722291,722585,722959,722063,722808,722722,721475,722186,722830,723114,722142,723045,722761,721689,721110,723000,722092,722667,721500,722211,722937,722810,722130,720993,721849,722562,722595,722744,722996,723040,722773,722182,722920,722230,721659,722309,721760,721777,722430,723006,722870,722388,722779,722372,722560,722626,722740,722227,722741,722276,722021,721549,721391,722044,722746,722834,721355,720972,721298,721836,722138,721115,721987,722151,722764,722278,721645,721013,722174,722018,721142,722079,722114,722018,721263,721610,720914,721377,721390,722177,721865,721916,722077,721676,721688,721165,722008,721761,721817,721928,721142,721381,721594,721741,721250,721196,721405,721534,721625,721247,721299,721088,721229,721033,720874]"
178,Yuma - President of the United States - DEM,"[612605,612973,612794,612355,610778,612047,612680,612106,610675,612258,613114,610834,612711,611303,612835,612951,611109,611309,612435,610598,610985,612868,610653,612097,610950,612918,612496,612108,612726,611971,611859,612330,612957,611175,611422,612429,612562,612942,611399,612019,612077,612775,610284,611568,611812,610361,612211,611375,611886,612762,612660,612826,611441,611794,612075,612700,610844,611610,611867,610413,612871,611779,611194,611586,612982,611093,612540,612991,611987,612572,612331,613058,610619,611663,612532,611530,610734,612578,610294,611694,612168,612714,612296,611177,612716,611778,611184,611360,612089,611196,612088,610912,610605,611089,611183,611890,611189,611396,610555,610861,611972,610518,611723,611053,610941,611181,610699,611533,611290,610775,610826,610840,610594,610485,610456,610281,610657,610372]"
421,Costilla - President of the United States - DEM,"[1241065,1241086,1240997,1241717,1241179,1240851,1241605,1240880,1240821,1241061,1241446,1240884,1241133,1240908,1240921,1241384,1241407,1241584,1241692,1241668]"
97,Lincoln - President of the United States - DEM,"[705655,705766,705723,705951,704569,705589,705685,704915,704683,705851,705436,705876,705224,705912,704717,705013,705537,704776,705618,705986,705789,705983,704947,705379,705728,705594,705350,705857,705964,705987,704816,704983,705975,705892,705544,706028,704593,705931,705380,705152,706019,705984,705981,705422,705343,705598,704957,704986,705620,704620,705178,705480,704986,705644,705803,705685,704703,704964,704796,705279,705725,705282,705433,705637,705656,706035,705199,705201,705582,705838,704840,705882,705711,705699,704534,705258,705080,705612,705472,705357,704585,705081,705123,705736,705321,705649,705695,704771,704905,705454,705283,704598,705276,705379,704776,705364,705429,705088,705179,704542,705018,705160,704595,705208,705184,704590,704863,704663,704751,704976,705136,704547,705048,704574,704823,704583,704625,704745]"
1947,Pitkin - President of the United States - DEM,"[794090,792617,795813,796494,793060,794162,794450,796549,794621,794525,795425,793809,796165,793472,793558,795152,795091,795536]"
