county_name,contest_name,imprinted_id,ballot_type,choice_per_voting_computer,audit_board_selection,consensus,record_type,audit_board_comment,timestamp,cvr_id,audit_reason,discrepancy
Adams,Adams 12 Five Star School District Director District No 1,101-205-77,37,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 12:31:08.170,1283236,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,101-206-16,48,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 12:32:47.090,1283292,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,101-40-11,34,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 09:51:27.430,1205781,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,101-51-41,33,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 09:53:59.650,1212865,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,101-54-85,48,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 09:55:02.420,1213785,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,101-63-78,33,,,YES,uploaded,,2023-11-20 10:08:27.520,1218043,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,101-72-5,48,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:11:01.300,1221493,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,101-87-100,33,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:19:27.290,1229456,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,101-87-36,33,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:17:21.040,1229477,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,101-93-13,37,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 10:22:18.570,1232254,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,101-97-75,37,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:23:58.730,1233724,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-101-14,34,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:09:01.600,1241101,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-101-34,35,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:10:01.500,1241087,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-106-18,33,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:12:37.160,1243792,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-114-91,34,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:20:09.140,1251059,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-118-66,45,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 10:25:52.250,1252731,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-121-52,32,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:26:33.300,1254679,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-121-56,34,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 10:27:23.410,1254648,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-121-65,34,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 10:28:22.070,1254706,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-126-88,33,,,YES,uploaded,,2023-11-20 10:29:45.290,1258475,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-130-45,33,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:31:50.450,1261743,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-134-38,33,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 10:34:48.970,1264531,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-136-18,38,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:36:04.170,1265373,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-138-58,41,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:39:26.010,1266165,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-143-58,35,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:40:27.030,1269062,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-14-94,33,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 12:40:12.490,1195603,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-165-63,35,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:53:01.590,1278767,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-16-74,33,,,YES,uploaded,,2023-11-20 12:41:03.990,1196175,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-182-27,37,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:57:48.630,1287269,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-184-62,37,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 11:10:02.200,1288191,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-32-37,34,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 12:45:33.390,1204467,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-33-55,34,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 12:47:21.840,1204828,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-41-52,34,,,YES,uploaded,,2023-11-20 12:50:35.210,1210377,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-45-14,45,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 12:52:32.910,1211808,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-48-32,45,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 12:54:36.120,1214270,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-53-61,37,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 12:56:11.860,1216081,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-5-70,41,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 12:36:12.270,1189805,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-63-19,46,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 12:59:04.390,1221701,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-72-39,33,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 13:00:15.980,1225462,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-72-62,41,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 13:00:46.840,1225454,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-73-10,38,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 13:01:40.340,1225888,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-73-98,32,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 09:44:07.680,1225907,,FALSE
