County,Tabulator ID,Batch,# of Ballots Cards,Location
Morgan,101,359,20,Box 1
Morgan,101,360,20,Box 1
Morgan,101,361,20,Box 1
Morgan,101,362,20,Box 1
Morgan,101,363,20,Box 1
Morgan,101,364,20,Box 1
Morgan,101,7,21,Box 1
Morgan,101,8,20,Box 1
Morgan,101,9,20,Box 1
Morgan,101,10,25,Box 1
Morgan,101,11,20,Box 1
Morgan,101,12,20,Box 1
Morgan,101,13,20,Box 1
Morgan,101,14,20,Box 1
Morgan,101,15,20,Box 1
Morgan,101,16,20,Box 1
Morgan,101,17,20,Box 1
Morgan,101,18,20,Box 1
Morgan,101,19,20,Box 1
Morgan,101,20,20,Box 1
Morgan,101,21,20,Box 1
Morgan,101,22,20,Box 1
Morgan,101,23,22,Box 1
Morgan,101,24,19,Box 1
Morgan,101,25,20,Box 1
Morgan,101,26,20,Box 1
Morgan,101,27,20,Box 1
Morgan,101,28,20,Box 1
Morgan,101,29,20,Box 1
Morgan,101,30,20,Box 1
Morgan,101,31,20,Box 1
Morgan,101,32,20,Box 1
Morgan,101,33,20,Box 1
Morgan,101,34,20,Box 1
Morgan,101,35,20,Box 1
Morgan,101,36,22,Box 1
Morgan,101,37,20,Box 1
Morgan,101,38,20,Box 1
Morgan,101,39,20,Box 1
Morgan,101,40,20,Box 1
Morgan,101,41,20,Box 1
Morgan,101,42,20,Box 1
Morgan,101,43,20,Box 1
Morgan,101,44,20,Box 1
Morgan,101,45,20,Box 1
Morgan,101,46,20,Box 1
Morgan,101,47,20,Box 1
Morgan,101,48,20,Box 1
Morgan,101,49,21,Box 1
Morgan,101,50,15,Box 1
Morgan,101,51,20,Box 1
Morgan,101,52,20,Box 1
Morgan,101,53,20,Box 1
Morgan,101,54,20,Box 1
Morgan,101,55,20,Box 1
Morgan,101,56,20,Box 1
Morgan,101,57,20,Box 1
Morgan,101,58,20,Box 1
Morgan,101,59,20,Box 1
Morgan,101,60,20,Box 1
Morgan,101,61,20,Box 1
Morgan,101,62,29,Box 1
Morgan,101,63,20,Box 1
Morgan,101,64,20,Box 1
Morgan,101,65,20,Box 1
Morgan,101,66,20,Box 1
Morgan,101,67,20,Box 1
Morgan,101,68,20,Box 1
Morgan,101,69,20,Box 1
Morgan,101,70,22,Box 1
Morgan,101,71,20,Box 2
Morgan,101,72,20,Box 2
Morgan,101,73,20,Box 2
Morgan,101,74,19,Box 2
Morgan,101,75,20,Box 2
Morgan,101,76,20,Box 2
Morgan,101,77,20,Box 2
Morgan,101,78,20,Box 2
Morgan,101,79,20,Box 2
Morgan,101,80,20,Box 2
Morgan,101,81,20,Box 2
Morgan,101,82,20,Box 2
Morgan,101,83,20,Box 2
Morgan,101,84,20,Box 2
Morgan,101,85,20,Box 2
Morgan,101,86,20,Box 2
Morgan,101,87,20,Box 2
Morgan,101,88,20,Box 2
Morgan,101,89,20,Box 2
Morgan,101,90,20,Box 2
Morgan,101,91,20,Box 2
Morgan,101,92,20,Box 2
Morgan,101,93,20,Box 2
Morgan,101,94,20,Box 2
Morgan,101,95,26,Box 2
Morgan,101,96,20,Box 2
Morgan,101,97,20,Box 2
Morgan,101,98,20,Box 2
Morgan,101,99,20,Box 2
Morgan,101,100,20,Box 2
Morgan,101,101,20,Box 2
Morgan,101,102,20,Box 2
Morgan,101,103,20,Box 2
Morgan,101,104,20,Box 2
Morgan,101,105,20,Box 2
Morgan,101,106,20,Box 2
Morgan,101,107,27,Box 2
Morgan,101,108,20,Box 2
Morgan,101,109,20,Box 2
Morgan,101,110,20,Box 2
Morgan,101,111,20,Box 2
Morgan,101,112,20,Box 2
Morgan,101,113,20,Box 2
Morgan,101,114,22,Box 2
Morgan,101,115,20,Box 2
Morgan,101,116,20,Box 2
Morgan,101,117,20,Box 2
Morgan,101,118,19,Box 2
Morgan,101,119,20,Box 2
Morgan,101,120,20,Box 2
Morgan,101,121,20,Box 2
Morgan,101,122,20,Box 2
Morgan,101,123,20,Box 2
Morgan,101,124,20,Box 2
Morgan,101,125,20,Box 2
Morgan,101,126,21,Box 2
Morgan,101,127,23,Box 2
Morgan,101,128,20,Box 2
Morgan,101,129,20,Box 2
Morgan,101,130,20,Box 2
Morgan,101,131,20,Box 2
Morgan,101,132,20,Box 2
Morgan,101,133,20,Box 2
Morgan,101,134,20,Box 2
Morgan,101,135,20,Box 2
Morgan,101,136,20,Box 2
Morgan,101,137,20,Box 2
Morgan,101,138,20,Box 2
Morgan,101,139,20,Box 2
Morgan,101,140,20,Box 3
Morgan,101,141,20,Box 3
Morgan,101,142,20,Box 3
Morgan,101,143,20,Box 3
Morgan,101,144,20,Box 3
Morgan,101,145,20,Box 3
Morgan,101,146,20,Box 3
Morgan,101,147,20,Box 3
Morgan,101,148,20,Box 3
Morgan,101,149,24,Box 3
Morgan,101,150,20,Box 3
Morgan,101,151,20,Box 3
Morgan,101,152,20,Box 3
Morgan,101,153,20,Box 3
Morgan,101,154,20,Box 3
Morgan,101,155,20,Box 3
Morgan,101,156,20,Box 3
Morgan,101,157,20,Box 3
Morgan,101,158,20,Box 3
Morgan,101,159,20,Box 3
Morgan,101,160,20,Box 3
Morgan,101,161,17,Box 3
Morgan,101,162,20,Box 3
Morgan,101,163,20,Box 3
Morgan,101,164,20,Box 3
Morgan,101,165,20,Box 3
Morgan,101,166,20,Box 3
Morgan,101,167,20,Box 3
Morgan,101,168,20,Box 3
Morgan,101,169,20,Box 3
Morgan,101,170,20,Box 3
Morgan,101,171,20,Box 3
Morgan,101,172,20,Box 3
Morgan,101,173,20,Box 3
Morgan,101,174,15,Box 3
Morgan,101,175,20,Box 3
Morgan,101,176,20,Box 3
Morgan,101,177,20,Box 3
Morgan,101,178,20,Box 3
Morgan,101,179,20,Box 3
Morgan,101,180,20,Box 3
Morgan,101,181,20,Box 3
Morgan,101,182,20,Box 3
Morgan,101,183,19,Box 3
Morgan,101,184,20,Box 3
Morgan,101,185,20,Box 3
Morgan,101,186,20,Box 3
Morgan,101,187,23,Box 3
Morgan,101,188,20,Box 3
Morgan,101,189,20,Box 3
Morgan,101,190,20,Box 3
Morgan,101,191,20,Box 3
Morgan,101,192,20,Box 3
Morgan,101,193,20,Box 3
Morgan,101,194,20,Box 3
Morgan,101,195,20,Box 3
Morgan,101,196,20,Box 3
Morgan,101,197,20,Box 3
Morgan,101,198,20,Box 3
Morgan,101,199,20,Box 3
Morgan,101,200,20,Box 3
Morgan,101,201,20,Box 3
Morgan,101,202,22,Box 3
Morgan,101,203,20,Box 4
Morgan,101,204,20,Box 4
Morgan,101,205,20,Box 4
Morgan,101,206,20,Box 4
Morgan,101,207,20,Box 4
Morgan,101,208,20,Box 4
Morgan,101,209,20,Box 4
Morgan,101,210,20,Box 4
Morgan,101,211,25,Box 4
Morgan,101,212,25,Box 4
Morgan,101,213,20,Box 4
Morgan,101,214,20,Box 4
Morgan,101,215,20,Box 4
Morgan,101,216,20,Box 4
Morgan,101,217,20,Box 4
Morgan,101,218,20,Box 4
Morgan,101,219,20,Box 4
Morgan,101,220,18,Box 4
Morgan,101,221,20,Box 4
Morgan,101,222,20,Box 4
Morgan,101,223,20,Box 4
Morgan,101,224,20,Box 4
Morgan,101,225,20,Box 4
Morgan,101,226,20,Box 4
Morgan,101,227,20,Box 4
Morgan,101,228,20,Box 4
Morgan,101,229,20,Box 4
Morgan,101,230,20,Box 4
Morgan,101,231,20,Box 4
Morgan,101,232,26,Box 4
Morgan,101,233,20,Box 4
Morgan,101,234,20,Box 4
Morgan,101,235,20,Box 4
Morgan,101,236,20,Box 4
Morgan,101,237,14,Box 4
Morgan,101,238,20,Box 4
Morgan,101,239,20,Box 4
Morgan,101,240,20,Box 4
Morgan,101,241,20,Box 4
Morgan,101,242,20,Box 4
Morgan,101,243,20,Box 4
Morgan,101,244,20,Box 4
Morgan,101,245,20,Box 4
Morgan,101,246,20,Box 4
Morgan,101,247,20,Box 4
Morgan,101,248,20,Box 4
Morgan,101,249,20,Box 4
Morgan,101,250,14,Box 4
Morgan,101,251,20,Box 4
Morgan,101,252,20,Box 4
Morgan,101,253,20,Box 4
Morgan,101,254,20,Box 4
Morgan,101,255,20,Box 4
Morgan,101,256,20,Box 4
Morgan,101,257,20,Box 4
Morgan,101,258,20,Box 4
Morgan,101,259,20,Box 4
Morgan,101,260,20,Box 4
Morgan,101,261,20,Box 4
Morgan,101,262,28,Box 4
Morgan,101,263,20,Box 4
Morgan,101,264,20,Box 4
Morgan,101,265,20,Box 4
Morgan,101,266,20,Box 4
Morgan,101,267,20,Box 4
Morgan,101,268,20,Box 4
Morgan,101,269,20,Box 4
Morgan,101,270,20,Box 4
Morgan,101,271,20,Box 4
Morgan,101,272,25,Box 4
Morgan,101,273,20,Box 5
Morgan,101,274,20,Box 5
Morgan,101,275,20,Box 5
Morgan,101,276,20,Box 5
Morgan,101,277,20,Box 5
Morgan,101,278,20,Box 5
Morgan,101,279,20,Box 5
Morgan,101,280,20,Box 5
Morgan,101,281,20,Box 5
Morgan,101,282,20,Box 5
Morgan,101,283,20,Box 5
Morgan,101,284,20,Box 5
Morgan,101,285,20,Box 5
Morgan,101,286,29,Box 5
Morgan,101,287,20,Box 5
Morgan,101,288,20,Box 5
Morgan,101,289,20,Box 5
Morgan,101,290,20,Box 5
Morgan,101,291,20,Box 5
Morgan,101,292,20,Box 5
Morgan,101,293,20,Box 5
Morgan,101,294,20,Box 5
Morgan,101,295,20,Box 5
Morgan,101,296,20,Box 5
Morgan,101,297,20,Box 5
Morgan,101,298,20,Box 5
Morgan,101,299,27,Box 5
Morgan,101,300,20,Box 5
Morgan,101,301,20,Box 5
Morgan,101,302,20,Box 5
Morgan,101,303,20,Box 5
Morgan,101,304,20,Box 5
Morgan,101,305,20,Box 5
Morgan,101,306,20,Box 5
Morgan,101,307,20,Box 5
Morgan,101,308,20,Box 5
Morgan,101,309,23,Box 5
Morgan,101,310,20,Box 5
Morgan,101,311,20,Box 5
Morgan,101,312,25,Box 5
Morgan,101,313,20,Box 5
Morgan,101,314,20,Box 5
Morgan,101,315,20,Box 5
Morgan,101,316,20,Box 5
Morgan,101,317,20,Box 5
Morgan,101,318,20,Box 5
Morgan,101,319,20,Box 5
Morgan,101,320,20,Box 5
Morgan,101,321,20,Box 5
Morgan,101,322,19,Box 5
Morgan,101,323,20,Box 5
Morgan,101,324,20,Box 5
Morgan,101,325,20,Box 5
Morgan,101,326,20,Box 5
Morgan,101,327,20,Box 5
Morgan,101,328,20,Box 5
Morgan,101,329,20,Box 5
Morgan,101,330,20,Box 5
Morgan,101,331,20,Box 5
Morgan,101,332,20,Box 5
Morgan,101,333,20,Box 5
Morgan,101,334,20,Box 5
Morgan,101,335,20,Box 5
Morgan,101,336,20,Box 5
Morgan,101,337,20,Box 5
Morgan,101,338,20,Box 5
Morgan,101,339,20,Box 5
Morgan,101,340,19,Box 5
Morgan,101,341,20,Box 6
Morgan,101,342,20,Box 6
Morgan,101,343,20,Box 6
Morgan,101,344,19,Box 6
Morgan,101,345,20,Box 6
Morgan,101,346,20,Box 6
Morgan,101,347,12,Box 6
Morgan,101,348,20,Box 6
Morgan,101,349,20,Box 6
Morgan,101,350,20,Box 6
Morgan,101,351,20,Box 6
Morgan,101,352,20,Box 6
Morgan,101,353,24,Box 6
Morgan,101,354,18,Box 6
Morgan,101,355,20,Box 6
Morgan,101,356,20,Box 6
Morgan,101,357,20,Box 6
Morgan,101,358,11,Box 6
Morgan,101,365,26,Box 6
